date,source,review,new_reviews,rating,sentiment,review_len,word_count
2019,tripadvisor,"Love it, pas Elmo birthday. Cocok buat anak2. Kalau ke sini pakai baju yang nyamannn. Sepatu atau sandal yang enak dikaki Karena jalann terussss😆 permainannya ok.",love pas elmo birthday cocok anak2 pakai baju nyamannn sepatu sandal enak kaki jalann terussss puas main,10,positive,104,17
2019,tripadvisor,"Universal Studio Singapore, seperti kita ketahui ini adalah Universal Studio pertama di luar Amerika sebelum mereka membuka yang terbaru di Jepang. Berlokasi di Resord World Sentosa di Pulau Sentosa, taman bermain ini sangat luas dengan beragam wahana permainan. Usahakan datang dari saat taman buka yaitu jam 10 pagi, di hari libur taman tutup lebih larut yaitu jam 10 malam, tapi di hari libur antrian untuk wahana-wahana favorit bisa mencapai 1 jam lebih untuk ride yang tidak lebih dari 5 menit. Di tiap pintu masuk wahana ada informasi antrian berapa menit, cermati apabila ingin masuk, jangan lupa ambil peta di pintu masuk, untuk mempermudah mobiltas kita di dalam taman. Sempatkan untuk menonton atraksi Waterworld, karena menurut saya ini adalah atraksi terbaik di sini, atraksi favorit lainnya menurut saya adalah Transformers, Jurasic Park (siap-siap untuk basah), Battlestar Galactica Human vs Cylone dan juga Istana Far Fara Away. Selamat berlibur.",universal studio singapore universal studio amerika buka jepang lokasi resord sentosa pulau sentosa taman main luas agam wahana main usaha taman buka jam 10 pagi libur taman tutup larut jam 10 malam libur antri wahana wahana favorit capai 1 jam ride 5 menit pintu masuk wahana informasi antri menit cermat masuk lupa ambil peta pintu masuk mudah mobiltas dalam taman tonton atraksi waterworld atraksi atraksi favorit transformers jurasic park siapsiap basah battlestar galactica human vs cylone istana fara selamat libur,8,positive,520,80
2019,tripadvisor,"Tempatnya penuh dengan Permainan yang sangat menarik mulai dari untuk anak kecil hingga orang dewasa, di sini juga ada restoran, tempat belanja, dan semua petugas dari universl studio siap membantu jika diperlukan, keren..",penuh main tarik anak kecil hingga dewasa restoran belanja tugas universl studio bantu keren,10,positive,92,14
2019,tripadvisor,"overall memang best.tapi,masa pagi had bad experience dlm game river raft.waiting dalam 1hour.then ada announcement kate ade issue dan game delay dan ambil mase yg lame.wth 🤬 kami dah beratur lame,then ada issue begitu,sepatotnye pihak RWS beri express pass pd yg menunggu lama utk game river raft tu. then bolehla kami waiting utk game yg lain pula. dahla ambil mase kat river raft,then,waiting utk game lain pon ambil mase yg lame..mmg kat situ je dah jammed la.masa dahla terhad. dpt main river raft semula pd lewat ptg sblm USS dah nak tutup😣 tak dapat nak main semua game.tiket dahla mahal.tp setiap game dapat main 1 sahaja?tu pon bkn semua game dapat kami main.meet&greet/tayangan2 seperti waterworld dan lain2,tak dpt nak tengok pon disebabkan ambil mase waiting utk game2 yg kene beratur tu😑 kire hnye beberape game shjla dpt main.dahla panas satu hal.please RWS🙏tingkatkan la lagi servis yang sedia ade ke tahap yg lebih boom setanding dgn harga tiket yg dah kami bayar",memang besttapi pagi bad experience dlm game river raftwaiting dalam 1hourthen announcement kate ade issue game delay ambil mase lamewth wajah simbol mulut deh atur lame issue sepatotnye rws express pass tunggu game river raft tu bolehla waiting game dahla ambil mase kat river raft waiting game pon ambil mase lame mmg kat situ je deh jammed lamasa dahla main river raft mula ptg sblm uss deh nak tutup tekun nak main gametiket dahla mahaltp game main 1 sahajatu pon game mainmeetgreet tayangan2 waterworld lain2tak nak jenguk pon ambil mase waiting game2 kene atur tu ekspresi kire hnye beberape game shjla maindahla panas halplease rws doa servis sedia ade tahap boom tanding harga tiket deh bayar,4,negative,700,116
2018,tripadvisor,"Pas banget buat teman teman yang mau ajak anaknya liburan ... tiket ke singapore sih murah , tapi siapin budget extra ya, you gonna spend lots of money there , but thats fine , all for fun . . . Pokonya pas buat liburan keluarga",pas banget teman teman ajak anak libur tiket singapore sih murah siapin budget extra iya gon na spend lots money s fine fun poko pas libur keluarga,10,positive,147,27
2019,tripadvisor,"Beberapa hari yang lalu saya ke singapura untuk mencoba Universal Studios, dan WOW! pengalaman pertama kali dan paling mengagumkan, wahananya sangat menantang dan memacu adrenalin, saya mencoba beberapa wahana seperti The Mummy Revenge, Battlestar Galactica, Transformer, dan beberapa wahana lainnya. Satu hal yang pasti yaitu saya pasti akan kembali!!!",singapura coba universal studios wow alam kagum wahana tantang pacu adrenalin coba wahana mummy revenge battlestar galactica transformer wahana,10,neutral,143,19
2019,tripadvisor,"Rekomendasi untuk taman hiburan. Lebih baik datang saat weekday, supaya antrian saat masuk wahana tidak terlalu panjang. Datang pagi hari & keluar saat menjelang tutup, untuk dapat menaiki semua wahana serta menonton semua pertunjukan yang ada.",rekomendasi taman hibur weekday antri masuk wahana pagi keluar jelang tutup wahana tonton,10,positive,89,13
2018,tripadvisor,"Kalau dana liburan kalian terbatas, cukup berfoto di depan icon universal studio Singapore ini. Di luar nya saja sudah bagus untuk foto2.Banyak spot foto menarik disini.",dana libur batas foto icon universal studio singapore bagus foto2banyak spot foto tarik,8,positive,87,13
2019,tripadvisor,masuknya cukup mudah dng beli tiket online ..suasananya rame bgt klu pas liburan ..yg paling capek antrinya panjang ..tiap permainan krg lebih 1-2 jam utk antrinya itu yg bikin capek ..tp it'ok utk over all ...cocok utk anak2 dan remaja bagi yg muslim tempat utk sholatx kecil bgt padahal wisata sebesar itu ..,masuk mudah dng beli tiket online suasana ramai banget klu pas libur capek antri main krg 1 2 jam antri bikin capek itok cocok anak2 remaja muslim sholatx kecil banget wisata,6,positive,174,31
2019,tripadvisor,Untuk kedua kalinya kami berkunjung kesini sekaluarga bersama teman-teman. Cuaca yang cerah namun matahari cukup terik tetapi tidak mengurangi semangat kami semua berkunjung kesini.,kunjung kesini sekaluarga temanteman cuaca cerah matahari terik semangat kunjung kesini,10,positive,87,11
2018,tripadvisor,"mari bersenang-senang di sini. kali ini, saya hanya mengambil foto di globe uss. tapi masih bisa melihat begitu banyak orang di sini. Anda masih bisa membeli cenderahati tetapi harganya cukup mahal.",mari bersenangsenang ambil foto globe uss lihat beli cenderahati harga mahal,10,neutral,76,11
2018,tripadvisor,"Universal Studio Singapore selalu memiliki daya tarik tersendiri untuk menarik wisatawan. Tak hanya anak-anak, orang dewasa ternyata tak kalah excited dengan berbagai wahana yg disediakan USS. Untuk tiket mudah didapatkan dari berbagai penyedia layanan perjalanan wisata dan harganya relatif lebih murah dibandingkan ots. Namun untuk berkunjung di USS disarankan untuk memakai pakaian yg nyaman serta sediakan payung dan kacamata untuk menghindari cuaca panas ataupun hujan.USS sangat tepat jika dikunjungi bersama keluarga atau dengan teman-teman.",universal studio singapore daya tarik tarik wisatawan anakanak dewasa nyata kalah excited wahana sedia uss tiket mudah sedia layan jalan wisata harga relatif murah banding ots kunjung uss saran pakai pakai nyaman sedia payung kacamata hindar cuaca panas hujanuss kunjung keluarga temanteman,8,positive,290,42
2019,tripadvisor,"Pergi ke Singapura harus banget ke Universal Studi Singapore (USS). Tiketnya bisa dibeli langsung di USS atau membeli melalui Traveloka/Klook (biasanya lebih murah melalui online). Perjalanan dari tengah kota ke Sentosa bisa menggunakan MRT ke Stasiun Harbourfront lalu menaiki Sentosa Express dengan biaya 4 SGD. Selain menggunakan Sentosa Express terdapat satu alternatif yang lebih murah yaitu menggunakan bis. Bis yang biasa dipakai yaitu RWS208 bisa naik melalui bus stand yang ada di Vivo City Shopping, biayanya 1 SGD. Sayangnya, kalian harus menyediakan waktu yang lebih untuk menunggu bis menuju Sentosa.Tips ke USS agar bisa mencoba semua wahana adalah sampai disana pagi-pagi lalu langsung mengantri di depan pintu masuk. Masuki dulu wahana yang biasanya ramai diserbu orang seperti Transformer dan Revenge of the Mummy (kalau sudah antriannya mengular biasanya mennggu hingga lebih dari 1 jam). Jangan lupa mambawa botol minum, di USS banyak sekali tempat untuk mendapatkan air. Selain itu, disarankan untuk membawa payung karena panas atau berjaga-jaga apabila hujan. Bawa juga uang yang berlebih, karena di dalam USS terdapat toko-toko souvenir yang lucu-lucu meskipun terkadanga harganya pricey dan makanan serta minuman yang dijual juga cenderung lebih mahal. Setidaknya makan dan minum saja harus merogoh kocek 10 SGD. Untuk yang suka banget makanan India, di USS ada toko makanan India yang menurut saya enak. Porsi makanannya pun besar dengan harga 16 SGD, untuk para wanita bisa makan berdua. Selamat menikmati liburan di USS!",sentosa express alternatif murah bis bis,10,positive,40,6
2018,tripadvisor,"Bola dunia yang dikelilingi tulisan universal studio ini menjadi icon wisata di sentosa island Singapura, kamu yang suka selfie wajib mengabadikan moment di spot yang 1 ini. Nggak afdhal rasanya jika berliburan ke Singapura tanpa selfie disini. Selain itu, banyak wahana permainan dan pemandangan yang menarik disini. Ada pusat belanja oleh2 juga.",bola dunia keliling tulis universal studio icon wisata sentosa island singapura suka selfie wajib abadi moment spot 1 afdhal libur singapura selfie wahana main pandang tarik pusat belanja oleh2,8,neutral,193,29
2019,tripadvisor,Tempat yang wajib di kunjungi jika berlibur ke singapura. Tiketnya bisa dipesan langsung sewaktu di Indonesia ataupun membeli OTS namun harganya lebih murah beli di Indonesia. Disini sebaiknya seharian agar puas mencoba wahana permainannya.,wajib kunjung libur singapura tiket pes indonesia beli ots harga murah beli indonesia puas coba wahana main,10,positive,107,17
2019,tripadvisor,Ga lengkap rasanya jika ke Singapore tanpa mengunjungi Universal Studio Singapore. Tiket masuknya saya beli di Indonesia karena lebih murah daripada beli OTS. Disini banyak wahana permainan yg bisa dicoba.,lengkap singapore unjung universal studio singapore tiket masuk beli indonesia murah beli ots wahana main coba,10,positive,110,16
2019,tripadvisor,"Mengunjungi tempat ini bila ke singapore membawa anak2 kecil Jadi sebuah ""keharusan"" Hehe.. Anak2 menikmati beberapa permainan dan suasana di dalam lebih kurang mirip dengan US di tempat lainnya. Pada akhirnya saya lebih mereview biaya masuk sekitar 70 sgd buat dewasa dan anak2 lebih murah dikit. Catatan nya saya beli via online apps non Univ Studio site ya.",unjung singapore bawa anak2 kecil buah anak2 nikmat main suasana dalam mirip mereview biaya masuk 70 sgd dewasa anak2 murah dikit catat beli online apps univ studio site iya,8,positive,173,29
2018,tripadvisor,"Universal Studio adalah salah satu bucket list untuk teman teman yang akan pergi ke singapore berfoto di depan bola dunianya dan merasakan pengalaman seru mencoba wahana wahana extreme nya, saya sudah sering ke singapore dan pasti di waktu yang mepet selalu menyempatkan berkunjung kesini, bagi teman teman yang mau kesini jangan lupa makan di food court nya ya banyak banget pilihan.",universal studio salah bucket list teman teman pergi singapore foto bola dunia alam seru coba wahana wahana extreme singapore kunjung kesini teman teman kesini lupa makan food court iya banget pilih,10,positive,198,31
2018,tripadvisor,"Universal Studio singapore mempunyai wahana yang lebih cocok untuk teenager dan adult, cuaca yang sangat panas disarankan untuk membawa topi dan botol minum untuk refill air minum yang mudah, disarankan untuk berkunjung pagi jam 10 atau sesudah jam 16Pembelian tiket online di indonesia melalui bukalapak atau tokopedia sangat membantu kemudahanMusim natal dan tahun baru membuat anda harus sabar mengantri di tiap wahana (35-45 menit) kecuali membeli tiket vipKebetulan kami datang pukul 13 sampai 18 saja karena kelelahan mengantri dan hanya dapat 3 wahana dengan harga tiket Rp.500rb - 700rb, menurut saya cukup rugi apabila anda tidak punya stamina yang baikBeberapa tempat baik untuk diambil sebagai background fotoBanyak wahana baru di USS dan merchandise apabila anda suka berbelanja",universal studio singapore wahana cocok teenager adult cuaca panas saran bawa topi botol minum refill air minum mudah saran kunjung pagi jam 10 jam 16pembelian tiket online indonesia bukalapak tokopedia bantu kemudahanmusim natal sabar antri wahana 35 45 menit beli tiket vipkebetulan 13 18 lelah antri 3 wahana harga tiket rp500 rb 700 rb rugi stamina baikbeberapa ambil background fotobanyak wahana uss merchandise suka belanja,6,positive,429,65
2018,tripadvisor,"Tak lengkap rasanya kalau mengunjungi Singapura tidak mendatangi tempat ini.  Lokasi sangat mudah dijangkau.  Bisa jalan kaki, naik bus ataupun naik kereta.  Tempat sangat luas, butuh waktu seharian untuk menjangkau seluruh wilayah disini .  Walau tiket relatif mahal, namun tidak mengecewakan.   Apalagi membawa anak-anak yang berusia diatas 8 tahun.  Beragam permainan dapat dicoba menghunus sekaligus menguji andrenalin.",lengkap unjung singapura lokasi mudah jangkau jalan kaki bus kereta luas butuh jangkau wilayah tiket relatif mahal kecewa bawa anakanak usia 8 agam main coba hunus uji andrenalin,10,neutral,178,28
2018,tripadvisor,"Sepertinya tidak akan cukup ke universal studio dalam sehari, kemarin sy hanya masuk ke sea world nya sj.. butuh waktu setengah harii... itupun udah pegel kaki heheehenext trip pengen punya waktu 3 hari hanya di sentosa Island, biar main-mainnya puasdari saran transportasi sdh bagus.. malah keren makanan halal pun tidak sulit didapatkan.. yg serunya karena banyak toko coklat di sana.. gemesss",universal studio dalam masuk sea butuh gel kaki heheehenext trip ken 3 sentosa island biar main main puasdari saran transportasi sdh bagus keren makan halal sulit seru toko coklat gemesss,10,positive,187,30
2018,tripadvisor,Sebagai tempat wisata Universal Studio ini pasti jadi tujuan berlibur terutama utk Keluarga. Banyak permainan dan hiburan disin sangat menarik sekali. Menurut saya USS ini tidak terlalu besar satu hari saja rasanya cukup kita nikmati ber wisata disini. Kalau kesini dalam cuaca Singapore yg panas jangan lupa membawa payung atau topi.,wisata universal studio tuju libur utama keluarga main hibur sin tarik uss nikmat ber wisata kesini dalam cuaca singapore panas lupa bawa payung topi,8,positive,149,24
2018,tripadvisor,"saya mengunjungi uss pada bulan mei 2015,,tempatnya bagus, modern,atraktif,, namun sayang prayerroom sangat kecil..menurut saya permainan disini lebih banyak untuk orang dewasa, jika membawa balita atau anak2 hanya ada beberapa wahana.. pakailah sepatu yang nyaman karena tempat ini sangat besar..",unjung uss mei 2015tempatnya bagus modern atraktif sayang prayerroom kecil main dewasa bawa balita anak2 wahana pakai sepatu nyaman,8,positive,131,19
2018,tripadvisor,"luar biasa sekali tempat ini, untuk backpacker seperti saya harga tiket masuk tergolong mahal tapi puas banget setelah apa tau di dalamnyajangan lupa berfofo di depan bola dunia universal yg iconic inijika lapar beli KFC saja, karena disini mahal, untuk 1 buah ice cream Magnum saja harganya $6",backpacker harga tiket masuk golong mahal puas banget dalamnyajangan lupa berfofo bola dunia universal iconic inijika lapar beli kfc mahal 1 buah ice cream magnum harga 6,10,positive,170,27
2018,tripadvisor,"Saya pertama kali ke Singapura, dan saya langsung menuju tempat ini, Universal Studio di pulau Sentosa, Singapura. Pertama kali saya agak heran karena area parkirnya di basement alias di bawah tanah, namun begitu naik kembali ke lantai dasar, saya takjub dengan pemandangan indah yang ada. Begitu banyak tempayt yang bagus, restoran dan tempat-tempat dengan pemandangan indah, serta berbagai area rekreasi yang banyak. Namun sayang, kami ke sini hanya sebentar, untuk makan siang dan sekadar jalan-jalan selama setengah jam saja.Akhirnya, kami makan siang dengan makanan yang disediakan travel, mengambil tempat di tempat duduk di tengah area Universal Studio, dekat globe Universal Studio. Cukup nyaman karena tempatnya teduh namun terbuka, sehingga angin sepoi-sepoi pun menyambut kami yang sedang menikmati hidangan makan siang.Adapun tempat, kami tidak sempat ke tempat rekreasi yang banyak, namun setidaknya banyak tempat-tempat bagus yang bisa difoto di sini. Sangat enak. Hanya saja, waktu yang terbatas membuat kami kurang menikmati perjalanan dan rekreasi di sini.Secara keseluruhan, tempat ini sangat bagus untuk rekreasi, jika anda berkesempatan untuk mengunjungi Singapura. Maka ini menjadi salah satu tempat yang wajib dikunjungi di Singapura.",singapura tuju universal studio pulau sentosa singapura agak heran area parkir basement alias tanah lantai dasar takjub pandang indah tempayt bagus restoran tempattempat pandang indah area rekreasi sayang sebentar makan siang jalanjalan jam sajaakhirnya makan siang makan sedia travel ambil duduk area universal studio globe universal studio nyaman teduh buka angin sepoisepoi sambut nikmat hidang makan siangadapun rekreasi tempattempat bagus foto enak batas nikmat jalan rekreasi sinisecara bagus rekreasi unjung singapura maka salah wajib kunjung singapura,10,positive,559,76
2018,tripadvisor,Salah satu alasan kenapa banyak wisatawan datang ke SIngapura yaitu datang kesini. Menyuguhkan berbagai wahana dan atraksi yang menarik dari film2 karya Universal. Untuk datang kesini siapkan kamera anda untuk mengabadikan segala moment anda. Kalau datang siang hari sangat terasa panas teriknya jadi persiapkan topi dan payung anda. Ada beberapa kran air minum gratis disini dan juga food court serta toko oleh-oleh.,salah alas wisatawan singapura kesini suguh wahana atraksi tarik film2 karya universal kesini kamera abadi moment siang asa panas terik topi payung kran air minum gratis food court toko oleholeh,8,positive,194,30
2018,tripadvisor,"Fasilitas dan pelayanan cukup baik dan memadai, banyak air minum gratis yang dapat diisi di botol melalui keran, dapat menggunakan sky train gratis menuju pantai dan sebaliknya.",fasilitas layan air minum gratis isi botol keran sky train gratis tuju pantai,8,positive,77,13
