user,date,rating,review,page_url,date_scraped,source,attraction
Ardiansyah K Dachlan,2019,8,"Di Universal studio, anda bisa menemui semua wahana yg bisa memanjakan anak anda dg berbagai atraksi dan permainan, jangan lupa mengambil gambar di Bola dunia dan menikmati garret yg terkenal. Naik skytrain dari vivo city atau bisa melalui jembatan penghubung dibawahnya.",https://www.tripadvisor.co.id/Attraction_Review-g294264-d2439664-Reviews-or10-Universal_Studios_Singapore-Sentosa_Island.html,4/26/2022,tripadvisor,uss
benny y,2019,8,Lokasi mudah diakses. Banyak tempat mainannya yang masing-masing mempunyai keasikan dan pengalam tersendiri. Fasiltas cukup lengkap dan bersih. Disarankan untuk memulai dari sebelah kiri memutar.,https://www.tripadvisor.co.id/Attraction_Review-g294264-d2439664-Reviews-or10-Universal_Studios_Singapore-Sentosa_Island.html,4/26/2022,tripadvisor,uss
Christiena A,2019,10,"Taman bermain yang cocok dikunjungi wisatawan untuj segala usia. Universal studio berada di dalam kawasan sentosa island. Harus sediakan waktu 1 hari penuh untuk bermain supaya puas. Untuk hunting foto juga banyak spot2 foto yang cantik. Untuk tiket bisa beli online atau lsg beli di lokasi. Di komplek universal juga banyak tempat wisata lain yang bisa dikunjungi dan banyak toko2, tempat makan, toko souvenir untuk oleh2😁",https://www.tripadvisor.co.id/Attraction_Review-g294264-d2439664-Reviews-or10-Universal_Studios_Singapore-Sentosa_Island.html,4/26/2022,tripadvisor,uss
arwana tour malang,2019,10,wahana sangat cocok dinikmati sekeluarga ada banyak pilihan permainan ekstrim hingga yang ringan dilengkapi foodcourt dengan ragam menu.,https://www.tripadvisor.co.id/Attraction_Review-g294264-d2439664-Reviews-or10-Universal_Studios_Singapore-Sentosa_Island.html,4/26/2022,tripadvisor,uss
Linda,2019,10,"Menyenangkan menghabiskan waktu di Universal Studio. Lebih nyaman berkunjung kesana tidak dalam masa liburan sekolah, karena akan sangat penuh di setiap arena",https://www.tripadvisor.co.id/Attraction_Review-g294264-d2439664-Reviews-or10-Universal_Studios_Singapore-Sentosa_Island.html,4/26/2022,tripadvisor,uss
ade,2019,10,"Keren ini salah satu icon singapur, walaupun ga masuk kedalam tapi tetep bisa foto disini gratis tis tis loh🤭",https://www.tripadvisor.co.id/Attraction_Review-g294264-d2439664-Reviews-or10-Universal_Studios_Singapore-Sentosa_Island.html,4/26/2022,tripadvisor,uss
Ariadi Tjokrodiningrat,2018,8,"Kalau sudah urusan dunia fantasi, play ground dan sejenisnya...gak cuma anak2 yang hepi.. Orang tuanya juga sangat hepi. Pada kesempatan inipun kami sekelurga menyemoatkan diri ikut bermain dan bersuka cita disalah satu wahana permainan yang besar di asia tenggara di Singapura. Universal Singapura menurut saya sudah cukup baik hanya saja krn udara cukup panas dan lokasi cooling down sedikit menyebabkan badan lekas lelah.Spot makanan dan minuman cukup baik, namun jenisnya yang kurang beragam katena saat saya kesana terkesan dimonopoli sponsor.Tokoh2 yang ada kurang sehidup universal studio lainnya atau walt disney, but anyway we are fun, and I wish I can comeback some day with my fam...",https://www.tripadvisor.co.id/Attraction_Review-g294264-d2439664-Reviews-or10-Universal_Studios_Singapore-Sentosa_Island.html,4/26/2022,tripadvisor,uss
George Tanaga,2018,10,"Pertama kali diajak ke Universal Studio saya awalnya agak malas karena tidak begitu suka wahana anak2, tetapi saat tiba di sana, penilaian saya berubah, suasana di sana menakjubkan, walau panas dan capek tidak terasa. Air bersih bebas refill di fountain yang ada di dekat toilet, layak dan segar untuk diminum maupun dimasukkan botol minum. Amazing place...",https://www.tripadvisor.co.id/Attraction_Review-g294264-d2439664-Reviews-or10-Universal_Studios_Singapore-Sentosa_Island.html,4/26/2022,tripadvisor,uss
novierampengan,2019,6,"Kemarin (16 juni 2019), saya, istri dan 3 anak mengunjungi universal studio Singapura. Kami datang pagi sebelum universal studio buka supaya antriannya tidak begitu panjang. Anak2 hanya merasa bagus di transformers the ride: the ultimate 3D battle (antri 1 jam), light camera action hosted by Steven Spielberg dan water world show jam 13.00. Untuk makan yang cocok dengan anak2 susah didapat di dalam universal studio, jadi kami makan di luar universal studio (ada texas chicken, mc donals fll). Untungnya masih bisa masuk lagi asalkan melapor dan akan di cap tangan qt dengan cap warna ungu (tidak kelihatan dengan mata biasa).",https://www.tripadvisor.co.id/Attraction_Review-g294264-d2439664-Reviews-or10-Universal_Studios_Singapore-Sentosa_Island.html,4/26/2022,tripadvisor,uss
mawaddah yahya,2019,6,"Kalau anaknya masih di bawah 5 tahun kayaknya jangan kesini dulu deh.Ngabisin waktu, ngabisin duit kayaknya. Karna ga banyak tempat juga bisa dimasuki anak anak dengan tinggi dibawah minimal. Ga seru juga kalo mesti ganti gantian jaga.Kalo ga mau antri lama lama bisa beli tiket universal express nya. Kami kemaren ‘kejebak’ antri luamaaaaaa di transformer the ride. Ampun itu, ada buanyak ruangan buat diantriin.Kalo lupa bawa stroller, ga usah panik, disana ada stroller sewaan. Wajib pake stroller kalo punya anak, daripada nyesel anaknya capek jalan trus minta gendong dan jadi encok 😂Jadi kalo bawa anak kecil gimana? Lebih baik cari tempat lain, karna di singapore masih banyak sekali yang di eksplor yang child friendly.",https://www.tripadvisor.co.id/Attraction_Review-g294264-d2439664-Reviews-or10-Universal_Studios_Singapore-Sentosa_Island.html,4/26/2022,tripadvisor,uss
Eddygun,2019,8,"Universal studios singapore memiliki banyak wahana yang bisa ditumpangi dan salah satu wahana yang saya suka adalah transformers dan human alliance yang berupa roller coaster dan di universal studios singapore ini pun juga ada semacam tempat untuk membeli makanan jika lapar ,sayangnya untuk memasuki wahana yang terkenal harus antri yang panjang dan itu membuat kita menghabiskan waktu hanya dengan mengantri",https://www.tripadvisor.co.id/Attraction_Review-g294264-d2439664-Reviews-or20-Universal_Studios_Singapore-Sentosa_Island.html,4/26/2022,tripadvisor,uss
ferdianto,2018,10,Universal studio singapore tempat yang harus kalian kunjungi kalau berlibur di singapore tempat nya sangat bagus dan banyak permainan sangat rekomended,https://www.tripadvisor.co.id/Attraction_Review-g294264-d2439664-Reviews-or20-Universal_Studios_Singapore-Sentosa_Island.html,4/26/2022,tripadvisor,uss
Puji Berlian Renata Siregar,2019,10,"Sangat cocok untuk liburan keluarga, tapi beberapa permainan ada yang memiliki minimum tinggi badan.",https://www.tripadvisor.co.id/Attraction_Review-g294264-d2439664-Reviews-or20-Universal_Studios_Singapore-Sentosa_Island.html,4/26/2022,tripadvisor,uss
Arfani,2018,10,"Datang saat hari kerja adalah salah satu kunci untuk melihat USS tidak penuh sesak dengan wisatawan, walau tetap banyak turis yang berkunjung tapi tidak seramai saat liburan tiba. Biar nggak rugi datanglah dari pagi hari karna tempatnya luas banget dan banyak tempat wisata disekitar USS yang bisa dikunjungi.",https://www.tripadvisor.co.id/Attraction_Review-g294264-d2439664-Reviews-or20-Universal_Studios_Singapore-Sentosa_Island.html,4/26/2022,tripadvisor,uss
nafatali,2018,10,"Kalau ke singapore, ini tempat wajib banget buat didatangi! rasanya seharian aja nga cukup untuk mainin semua wahana. Sampe capek deh..tapi worthed banget!",https://www.tripadvisor.co.id/Attraction_Review-g294264-d2439664-Reviews-or20-Universal_Studios_Singapore-Sentosa_Island.html,4/26/2022,tripadvisor,uss
freandydavid,2019,10,"Ke Singapura nggak lengkap kalau nggak ke US. Sempetin disini seharian buat keliling-keliling. Datang pas buka, biar bisa nikmatin seluruh wahana. Sebisa mungkin jangan datang pas weekend, antrian tiap wahana panjaaaang, bisa sampai 70 menit. Ada time reminder di setiap entrance, biar bisa kira-kira bakalan masuk atau nggak. Beli tiket bisa online atau di loket. Tapi lebih menguntungkan via online karena murah dan banyak promonya. Nginaplah di hotel daerah Sentosa, supaya tidak jauh untuk datang kesini. Saya hanya butuh waktu 5 menit untuk nyampe kesini dengan shuttle bus hotel yang ready tiap 30 menit, begitu juga balik ke hotel. Banyak sekali toko suvenir dan restoran juga foodcourt yang bisa mampir sewaktu-waktu kalau capek jalan.",https://www.tripadvisor.co.id/Attraction_Review-g294264-d2439664-Reviews-or20-Universal_Studios_Singapore-Sentosa_Island.html,4/26/2022,tripadvisor,uss
Nadnic06,2019,10,"Love it, pas Elmo birthday. Cocok buat anak2. Kalau ke sini pakai baju yang nyamannn. Sepatu atau sandal yang enak dikaki Karena jalann terussss😆 permainannya ok.",https://www.tripadvisor.co.id/Attraction_Review-g294264-d2439664-Reviews-or20-Universal_Studios_Singapore-Sentosa_Island.html,4/26/2022,tripadvisor,uss
Rizki Perdana,2019,8,"Universal Studio Singapore, seperti kita ketahui ini adalah Universal Studio pertama di luar Amerika sebelum mereka membuka yang terbaru di Jepang. Berlokasi di Resord World Sentosa di Pulau Sentosa, taman bermain ini sangat luas dengan beragam wahana permainan. Usahakan datang dari saat taman buka yaitu jam 10 pagi, di hari libur taman tutup lebih larut yaitu jam 10 malam, tapi di hari libur antrian untuk wahana-wahana favorit bisa mencapai 1 jam lebih untuk ride yang tidak lebih dari 5 menit. Di tiap pintu masuk wahana ada informasi antrian berapa menit, cermati apabila ingin masuk, jangan lupa ambil peta di pintu masuk, untuk mempermudah mobiltas kita di dalam taman. Sempatkan untuk menonton atraksi Waterworld, karena menurut saya ini adalah atraksi terbaik di sini, atraksi favorit lainnya menurut saya adalah Transformers, Jurasic Park (siap-siap untuk basah), Battlestar Galactica Human vs Cylone dan juga Istana Far Fara Away. Selamat berlibur.",https://www.tripadvisor.co.id/Attraction_Review-g294264-d2439664-Reviews-or20-Universal_Studios_Singapore-Sentosa_Island.html,4/26/2022,tripadvisor,uss
holimanchandra,2019,10,"Tempatnya penuh dengan Permainan yang sangat menarik mulai dari untuk anak kecil hingga orang dewasa, di sini juga ada restoran, tempat belanja, dan semua petugas dari universl studio siap membantu jika diperlukan, keren..",https://www.tripadvisor.co.id/Attraction_Review-g294264-d2439664-Reviews-or20-Universal_Studios_Singapore-Sentosa_Island.html,4/26/2022,tripadvisor,uss
Nurzahirah M,2019,4,"overall memang best.tapi,masa pagi had bad experience dlm game river raft.waiting dalam 1hour.then ada announcement kate ade issue dan game delay dan ambil mase yg lame.wth 🤬 kami dah beratur lame,then ada issue begitu,sepatotnye pihak RWS beri express pass pd yg menunggu lama utk game river raft tu. then bolehla kami waiting utk game yg lain pula. dahla ambil mase kat river raft,then,waiting utk game lain pon ambil mase yg lame..mmg kat situ je dah jammed la.masa dahla terhad. dpt main river raft semula pd lewat ptg sblm USS dah nak tutup😣 tak dapat nak main semua game.tiket dahla mahal.tp setiap game dapat main 1 sahaja?tu pon bkn semua game dapat kami main.meet&greet/tayangan2 seperti waterworld dan lain2,tak dpt nak tengok pon disebabkan ambil mase waiting utk game2 yg kene beratur tu😑 kire hnye beberape game shjla dpt main.dahla panas satu hal.please RWS🙏tingkatkan la lagi servis yang sedia ade ke tahap yg lebih boom setanding dgn harga tiket yg dah kami bayar",https://www.tripadvisor.co.id/Attraction_Review-g294264-d2439664-Reviews-or20-Universal_Studios_Singapore-Sentosa_Island.html,4/26/2022,tripadvisor,uss
jovian reyes junior,2018,10,"Pas banget buat teman teman yang mau ajak anaknya liburan ... tiket ke singapore sih murah , tapi siapin budget extra ya, you gonna spend lots of money there , but thats fine , all for fun . . . Pokonya pas buat liburan keluarga",https://www.tripadvisor.co.id/Attraction_Review-g294264-d2439664-Reviews-or30-Universal_Studios_Singapore-Sentosa_Island.html,4/26/2022,tripadvisor,uss
Risky Rantung,2019,10,"Beberapa hari yang lalu saya ke singapura untuk mencoba Universal Studios, dan WOW! pengalaman pertama kali dan paling mengagumkan, wahananya sangat menantang dan memacu adrenalin, saya mencoba beberapa wahana seperti The Mummy Revenge, Battlestar Galactica, Transformer, dan beberapa wahana lainnya. Satu hal yang pasti yaitu saya pasti akan kembali!!!",https://www.tripadvisor.co.id/Attraction_Review-g294264-d2439664-Reviews-or30-Universal_Studios_Singapore-Sentosa_Island.html,4/26/2022,tripadvisor,uss
agneskashogi,2019,10,"Rekomendasi untuk taman hiburan. Lebih baik datang saat weekday, supaya antrian saat masuk wahana tidak terlalu panjang. Datang pagi hari & keluar saat menjelang tutup, untuk dapat menaiki semua wahana serta menonton semua pertunjukan yang ada.",https://www.tripadvisor.co.id/Attraction_Review-g294264-d2439664-Reviews-or30-Universal_Studios_Singapore-Sentosa_Island.html,4/26/2022,tripadvisor,uss
teti m,2018,8,"Kalau dana liburan kalian terbatas, cukup berfoto di depan icon universal studio Singapore ini. Di luar nya saja sudah bagus untuk foto2.Banyak spot foto menarik disini.",https://www.tripadvisor.co.id/Attraction_Review-g294264-d2439664-Reviews-or30-Universal_Studios_Singapore-Sentosa_Island.html,4/26/2022,tripadvisor,uss
Dewi,2019,6,masuknya cukup mudah dng beli tiket online ..suasananya rame bgt klu pas liburan ..yg paling capek antrinya panjang ..tiap permainan krg lebih 1-2 jam utk antrinya itu yg bikin capek ..tp it'ok utk over all ...cocok utk anak2 dan remaja bagi yg muslim tempat utk sholatx kecil bgt padahal wisata sebesar itu ..,https://www.tripadvisor.co.id/Attraction_Review-g294264-d2439664-Reviews-or30-Universal_Studios_Singapore-Sentosa_Island.html,4/26/2022,tripadvisor,uss
maz pradnya,2019,10,Untuk kedua kalinya kami berkunjung kesini sekaluarga bersama teman-teman. Cuaca yang cerah namun matahari cukup terik tetapi tidak mengurangi semangat kami semua berkunjung kesini.,https://www.tripadvisor.co.id/Attraction_Review-g294264-d2439664-Reviews-or30-Universal_Studios_Singapore-Sentosa_Island.html,4/26/2022,tripadvisor,uss
qiminkyu,2018,10,"mari bersenang-senang di sini. kali ini, saya hanya mengambil foto di globe uss. tapi masih bisa melihat begitu banyak orang di sini. Anda masih bisa membeli cenderahati tetapi harganya cukup mahal.",https://www.tripadvisor.co.id/Attraction_Review-g294264-d2439664-Reviews-or30-Universal_Studios_Singapore-Sentosa_Island.html,4/26/2022,tripadvisor,uss
@celinmarcelina,2018,8,"Universal Studio Singapore selalu memiliki daya tarik tersendiri untuk menarik wisatawan. Tak hanya anak-anak, orang dewasa ternyata tak kalah excited dengan berbagai wahana yg disediakan USS. Untuk tiket mudah didapatkan dari berbagai penyedia layanan perjalanan wisata dan harganya relatif lebih murah dibandingkan ots. Namun untuk berkunjung di USS disarankan untuk memakai pakaian yg nyaman serta sediakan payung dan kacamata untuk menghindari cuaca panas ataupun hujan.USS sangat tepat jika dikunjungi bersama keluarga atau dengan teman-teman.",https://www.tripadvisor.co.id/Attraction_Review-g294264-d2439664-Reviews-or30-Universal_Studios_Singapore-Sentosa_Island.html,4/26/2022,tripadvisor,uss
ayunaid,2019,10,"Pergi ke Singapura harus banget ke Universal Studi Singapore (USS). Tiketnya bisa dibeli langsung di USS atau membeli melalui Traveloka/Klook (biasanya lebih murah melalui online). Perjalanan dari tengah kota ke Sentosa bisa menggunakan MRT ke Stasiun Harbourfront lalu menaiki Sentosa Express dengan biaya 4 SGD. Selain menggunakan Sentosa Express terdapat satu alternatif yang lebih murah yaitu menggunakan bis. Bis yang biasa dipakai yaitu RWS208 bisa naik melalui bus stand yang ada di Vivo City Shopping, biayanya 1 SGD. Sayangnya, kalian harus menyediakan waktu yang lebih untuk menunggu bis menuju Sentosa.Tips ke USS agar bisa mencoba semua wahana adalah sampai disana pagi-pagi lalu langsung mengantri di depan pintu masuk. Masuki dulu wahana yang biasanya ramai diserbu orang seperti Transformer dan Revenge of the Mummy (kalau sudah antriannya mengular biasanya mennggu hingga lebih dari 1 jam). Jangan lupa mambawa botol minum, di USS banyak sekali tempat untuk mendapatkan air. Selain itu, disarankan untuk membawa payung karena panas atau berjaga-jaga apabila hujan. Bawa juga uang yang berlebih, karena di dalam USS terdapat toko-toko souvenir yang lucu-lucu meskipun terkadanga harganya pricey dan makanan serta minuman yang dijual juga cenderung lebih mahal. Setidaknya makan dan minum saja harus merogoh kocek 10 SGD. Untuk yang suka banget makanan India, di USS ada toko makanan India yang menurut saya enak. Porsi makanannya pun besar dengan harga 16 SGD, untuk para wanita bisa makan berdua. Selamat menikmati liburan di USS!",https://www.tripadvisor.co.id/Attraction_Review-g294264-d2439664-Reviews-or30-Universal_Studios_Singapore-Sentosa_Island.html,4/26/2022,tripadvisor,uss
rifa'atul K,2018,8,"Bola dunia yang dikelilingi tulisan universal studio ini menjadi icon wisata di sentosa island Singapura, kamu yang suka selfie wajib mengabadikan moment di spot yang 1 ini. Nggak afdhal rasanya jika berliburan ke Singapura tanpa selfie disini. Selain itu, banyak wahana permainan dan pemandangan yang menarik disini. Ada pusat belanja oleh2 juga.",https://www.tripadvisor.co.id/Attraction_Review-g294264-d2439664-Reviews-or30-Universal_Studios_Singapore-Sentosa_Island.html,4/26/2022,tripadvisor,uss
Ayu Harry Sundariyati,2019,10,Tempat yang wajib di kunjungi jika berlibur ke singapura. Tiketnya bisa dipesan langsung sewaktu di Indonesia ataupun membeli OTS namun harganya lebih murah beli di Indonesia. Disini sebaiknya seharian agar puas mencoba wahana permainannya.,https://www.tripadvisor.co.id/Attraction_Review-g294264-d2439664-Reviews-or40-Universal_Studios_Singapore-Sentosa_Island.html,4/26/2022,tripadvisor,uss
Putu Agus Purna... W,2019,10,Ga lengkap rasanya jika ke Singapore tanpa mengunjungi Universal Studio Singapore. Tiket masuknya saya beli di Indonesia karena lebih murah daripada beli OTS. Disini banyak wahana permainan yg bisa dicoba.,https://www.tripadvisor.co.id/Attraction_Review-g294264-d2439664-Reviews-or40-Universal_Studios_Singapore-Sentosa_Island.html,4/26/2022,tripadvisor,uss
EddiMak,2019,8,"Mengunjungi tempat ini bila ke singapore membawa anak2 kecil Jadi sebuah ""keharusan"" Hehe.. Anak2 menikmati beberapa permainan dan suasana di dalam lebih kurang mirip dengan US di tempat lainnya. Pada akhirnya saya lebih mereview biaya masuk sekitar 70 sgd buat dewasa dan anak2 lebih murah dikit. Catatan nya saya beli via online apps non Univ Studio site ya.",https://www.tripadvisor.co.id/Attraction_Review-g294264-d2439664-Reviews-or40-Universal_Studios_Singapore-Sentosa_Island.html,4/26/2022,tripadvisor,uss
Bicky Subarkah,2018,10,"Universal Studio adalah salah satu bucket list untuk teman teman yang akan pergi ke singapore berfoto di depan bola dunianya dan merasakan pengalaman seru mencoba wahana wahana extreme nya, saya sudah sering ke singapore dan pasti di waktu yang mepet selalu menyempatkan berkunjung kesini, bagi teman teman yang mau kesini jangan lupa makan di food court nya ya banyak banget pilihan.",https://www.tripadvisor.co.id/Attraction_Review-g294264-d2439664-Reviews-or40-Universal_Studios_Singapore-Sentosa_Island.html,4/26/2022,tripadvisor,uss
depan b,2018,6,"Universal Studio singapore mempunyai wahana yang lebih cocok untuk teenager dan adult, cuaca yang sangat panas disarankan untuk membawa topi dan botol minum untuk refill air minum yang mudah, disarankan untuk berkunjung pagi jam 10 atau sesudah jam 16Pembelian tiket online di indonesia melalui bukalapak atau tokopedia sangat membantu kemudahanMusim natal dan tahun baru membuat anda harus sabar mengantri di tiap wahana (35-45 menit) kecuali membeli tiket vipKebetulan kami datang pukul 13 sampai 18 saja karena kelelahan mengantri dan hanya dapat 3 wahana dengan harga tiket Rp.500rb - 700rb, menurut saya cukup rugi apabila anda tidak punya stamina yang baikBeberapa tempat baik untuk diambil sebagai background fotoBanyak wahana baru di USS dan merchandise apabila anda suka berbelanja",https://www.tripadvisor.co.id/Attraction_Review-g294264-d2439664-Reviews-or40-Universal_Studios_Singapore-Sentosa_Island.html,4/26/2022,tripadvisor,uss
fitrizandra,2018,10,"Tak lengkap rasanya kalau mengunjungi Singapura tidak mendatangi tempat ini.  Lokasi sangat mudah dijangkau.  Bisa jalan kaki, naik bus ataupun naik kereta.  Tempat sangat luas, butuh waktu seharian untuk menjangkau seluruh wilayah disini .  Walau tiket relatif mahal, namun tidak mengecewakan.   Apalagi membawa anak-anak yang berusia diatas 8 tahun.  Beragam permainan dapat dicoba menghunus sekaligus menguji andrenalin.",https://www.tripadvisor.co.id/Attraction_Review-g294264-d2439664-Reviews-or40-Universal_Studios_Singapore-Sentosa_Island.html,4/26/2022,tripadvisor,uss
Santia Gardenia Widyaswari,2018,10,"Sepertinya tidak akan cukup ke universal studio dalam sehari, kemarin sy hanya masuk ke sea world nya sj.. butuh waktu setengah harii... itupun udah pegel kaki heheehenext trip pengen punya waktu 3 hari hanya di sentosa Island, biar main-mainnya puasdari saran transportasi sdh bagus.. malah keren makanan halal pun tidak sulit didapatkan.. yg serunya karena banyak toko coklat di sana.. gemesss",https://www.tripadvisor.co.id/Attraction_Review-g294264-d2439664-Reviews-or40-Universal_Studios_Singapore-Sentosa_Island.html,4/26/2022,tripadvisor,uss
Chiquita P,2018,8,Sebagai tempat wisata Universal Studio ini pasti jadi tujuan berlibur terutama utk Keluarga. Banyak permainan dan hiburan disin sangat menarik sekali. Menurut saya USS ini tidak terlalu besar satu hari saja rasanya cukup kita nikmati ber wisata disini. Kalau kesini dalam cuaca Singapore yg panas jangan lupa membawa payung atau topi.,https://www.tripadvisor.co.id/Attraction_Review-g294264-d2439664-Reviews-or40-Universal_Studios_Singapore-Sentosa_Island.html,4/26/2022,tripadvisor,uss
pudji dwi L,2018,8,"saya mengunjungi uss pada bulan mei 2015,,tempatnya bagus, modern,atraktif,, namun sayang prayerroom sangat kecil..menurut saya permainan disini lebih banyak untuk orang dewasa, jika membawa balita atau anak2 hanya ada beberapa wahana.. pakailah sepatu yang nyaman karena tempat ini sangat besar..",https://www.tripadvisor.co.id/Attraction_Review-g294264-d2439664-Reviews-or40-Universal_Studios_Singapore-Sentosa_Island.html,4/26/2022,tripadvisor,uss
Whendy Ananda,2018,10,"luar biasa sekali tempat ini, untuk backpacker seperti saya harga tiket masuk tergolong mahal tapi puas banget setelah apa tau di dalamnyajangan lupa berfofo di depan bola dunia universal yg iconic inijika lapar beli KFC saja, karena disini mahal, untuk 1 buah ice cream Magnum saja harganya $6",https://www.tripadvisor.co.id/Attraction_Review-g294264-d2439664-Reviews-or40-Universal_Studios_Singapore-Sentosa_Island.html,4/26/2022,tripadvisor,uss
M. Firdan J,2018,10,"Saya pertama kali ke Singapura, dan saya langsung menuju tempat ini, Universal Studio di pulau Sentosa, Singapura. Pertama kali saya agak heran karena area parkirnya di basement alias di bawah tanah, namun begitu naik kembali ke lantai dasar, saya takjub dengan pemandangan indah yang ada. Begitu banyak tempayt yang bagus, restoran dan tempat-tempat dengan pemandangan indah, serta berbagai area rekreasi yang banyak. Namun sayang, kami ke sini hanya sebentar, untuk makan siang dan sekadar jalan-jalan selama setengah jam saja.Akhirnya, kami makan siang dengan makanan yang disediakan travel, mengambil tempat di tempat duduk di tengah area Universal Studio, dekat globe Universal Studio. Cukup nyaman karena tempatnya teduh namun terbuka, sehingga angin sepoi-sepoi pun menyambut kami yang sedang menikmati hidangan makan siang.Adapun tempat, kami tidak sempat ke tempat rekreasi yang banyak, namun setidaknya banyak tempat-tempat bagus yang bisa difoto di sini. Sangat enak. Hanya saja, waktu yang terbatas membuat kami kurang menikmati perjalanan dan rekreasi di sini.Secara keseluruhan, tempat ini sangat bagus untuk rekreasi, jika anda berkesempatan untuk mengunjungi Singapura. Maka ini menjadi salah satu tempat yang wajib dikunjungi di Singapura.",https://www.tripadvisor.co.id/Attraction_Review-g294264-d2439664-Reviews-or50-Universal_Studios_Singapore-Sentosa_Island.html,4/26/2022,tripadvisor,uss
Uul D. Handoko,2018,8,Salah satu alasan kenapa banyak wisatawan datang ke SIngapura yaitu datang kesini. Menyuguhkan berbagai wahana dan atraksi yang menarik dari film2 karya Universal. Untuk datang kesini siapkan kamera anda untuk mengabadikan segala moment anda. Kalau datang siang hari sangat terasa panas teriknya jadi persiapkan topi dan payung anda. Ada beberapa kran air minum gratis disini dan juga food court serta toko oleh-oleh.,https://www.tripadvisor.co.id/Attraction_Review-g294264-d2439664-Reviews-or50-Universal_Studios_Singapore-Sentosa_Island.html,4/26/2022,tripadvisor,uss
leonard s,2018,8,"Fasilitas dan pelayanan cukup baik dan memadai, banyak air minum gratis yang dapat diisi di botol melalui keran, dapat menggunakan sky train gratis menuju pantai dan sebaliknya.",https://www.tripadvisor.co.id/Attraction_Review-g294264-d2439664-Reviews-or50-Universal_Studios_Singapore-Sentosa_Island.html,4/26/2022,tripadvisor,uss
