web-scraper-order,web-scraper-start-url,user,date,review
,klook.com/id/hotels/detail/98729-resorts-world-sentosa--crockfords-tower-sg-clean,Klara Shelton,Diulas: 30 Mei 2019,Menyenangkan
,klook.com/id/hotels/detail/98729-resorts-world-sentosa--crockfords-tower-sg-clean,Precious Tanner,Diulas: 7 Mei 2019,Lokasi luar biasa
,klook.com/id/hotels/detail/98729-resorts-world-sentosa--crockfords-tower-sg-clean,Tsz Ki,Diulas: 31 Okt 2017,"Pengalaman keseluruhan sangat bagus, tetapi check-in terlalu lama, ada terlalu sedikit komentar saat memesan, dan ada sedikit kekhawatiran, tetapi kedatangan sebenarnya menemukan hotel itu indah. Menyarankan"
,klook.com/id/hotels/detail/98729-resorts-world-sentosa--crockfords-tower-sg-clean,Verified traveler,Diulas: 6 Des 2020,The picture is a scam. Totally different from the picture. Room is no where similar to the picture. Only the bathroom looks the same. This hotel is so weird. They have to check my NRIC every time I enter. Many inconvenience. They cannot even serve wine glasses. Only disposable paper cups will be served. They cannot serve bottle opener too. No in room dining available too. The price is not worth at all. Other hotels during this Covid period do serves as per usual and they do not check NRIC every single time I enter. Just normal Safe Entry will suffice. But this hotel is really weird. The room is not as per picture too. Please update your pictures.
,klook.com/id/hotels/detail/98729-resorts-world-sentosa--crockfords-tower-sg-clean,Cheong Boou,Diulas: 22 Nov 2020,"Mismatch between the room rate and the quality of the room, a bit rundown. Though the room is spacious but there were stains on the marble top of the bedside table and dressing table."
,klook.com/id/hotels/detail/98729-resorts-world-sentosa--crockfords-tower-sg-clean,Verified traveler,Diulas: 5 Okt 2020,"The rooms are great but due to COVID the buffet breakfast was not available. Unfortunately the replacement was very disappointing. The food was very 2nd rate and obviously lacking any thought. Sausages were tasteless, For the price paid we would have been much better off going to McDonalds or the closest hawker centre."
,klook.com/id/hotels/detail/98729-resorts-world-sentosa--crockfords-tower-sg-clean,Verified traveler,Diulas: 14 Sep 2020,"Service was exceptional, and the location was extremely convenient in Sentosa."
,klook.com/id/hotels/detail/98729-resorts-world-sentosa--crockfords-tower-sg-clean,Verified traveler,Diulas: 11 Sep 2020,"Crocksford was peaceful and quiet unlike the others which were crowded, especially for the check-in! Swift and smooth check-in, good service, and I had no issues requesting for a later check out. Swimming pool was smallish. Suite was beautiful, spacious, and had a great view! Love the bath tub and the steam bath in our room!"
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
