Bingzhu,Reviewed: 17 Jan 2022,4.35.0Great,Wonderful Room (King Bed) · 2 Adults · 1 Nights,the room was clean. no shuttle services provided to vivo. got to take sentosa bus. got bitten by mosquitoes while walking to the pool area. the slide was fun. the food was not great.,Translate Review To English
Kavita Rachel,Reviewed: 17 Jan 2022,5.05.0Superb,Marvelous Suite · 2 Adults · 2 Nights,"Enjoyed my stay here, loved the hotel and will definitely come back again.",
Jing Wen,Reviewed: 14 Jan 2022,4.85.0Superb,Wonderful Room · 2 Adults · 1 Nights,Overall had a great experience. Loved the pool that has a slide and certain areas with mini jacuzzi functions. We took public transport there (by train from vivocity to beach station then take bus B) and went back via BlueSG as the station is a walkable distance away from the hotel. I would recommend this hotel if you like to have a staycation in a quiet environment. Staff service was good too!,Translate Review To English
Aloysius,Reviewed: 12 Jan 2022,5.05.0Superb,"Room, 1 King Bed (Away King, Guest Room, Plunge Pool) · 3 Adults · 1 Nights",24hrs pool was amazing and the staffs were all really friendly,Translate Review To English
CHEN HONG SIANG,Reviewed: 7 Jan 2022,3.05.0Good,Wonderful Room · 2 Adults · 1 Nights,Good with good with good,Translate Review To English
YU LE,Reviewed: 7 Jan 2022,5.05.0Superb,Wonderful Room · 2 Adults · 1 Nights,"The hotel was clean and the service by the staff was good, the location was also good as there was free shuttle service between Beach Station and the hotel",Translate Review To English
Damien,Reviewed: 5 Jan 2022,5.05.0Superb,"Room, 1 King Bed (Away King, Guest Room, Plunge Pool) · 2 Adults · 1 Nights",The staffs working there were very friendly and kind. They are able to attend the questions and complaints from me very quickly. Cleanliness is excellent . Atmosphere is good and there are variety of facilities for me and my gf to enjoy. Recommended to have a staycay with your love ones here!!,
Damien,Reviewed: 5 Jan 2022,5.05.0Superb,Wonderful Room · 2 Adults · 1 Nights,The staffs working there were very friendly and kind. They are able to attend the question and complaint very quickly. The cleanliness is excellent. There are a good atmosphere and variety of facilities for me and my gf to enjoy. Manage to take a lot of nice photos in the hotel itself too,
Sue Lynn Yizhen,Reviewed: 3 Jan 2022,5.05.0Superb,,Superb hotel for staycay. Nice vibes and friendly staff,Translate Review To English
Chuen Hou,Reviewed: 2 Jan 2022,5.05.0Superb,Wonderful Room · 2 Adults · 2 Nights,We had a great time and enjoyed the WET pool and water slide.,
Natalie,Reviewed: 31 Dec 2021,1.35.0Below Average,"Spectacular Room, Room, 1 King Bed, Harbor View · 2 Adults · 1 Nights","Everything wasn’t working in the room, TV was down, USB port and charging port isn’t working too. Went down and called the concierge but they told us that someone would come up to help us settle. However, we waited for 1hr plus to no avail. Called the concierge again, and was informed that TV would be down the entire night. We requested for a room change, request was agreed to, however, the new room’s bedsheet has got dried blood stains.",
Fong Min,Reviewed: 31 Dec 2021,4.55.0Superb,Wonderful Room (King Bed) · 2 Adults · 1 Nights,Loved the room and swimming pool. Can’t vacay so stayca. Good choice!,Translate Review To English
melissa,Reviewed: 30 Dec 2021,5.05.0Superb,Wonderful Room · 2 Adults · 1 Nights,Had the best time here as a titanium member - AWAY SPA masseuses (Atiqah and yeni) were amazing,
Yumnah,Reviewed: 30 Dec 2021,5.05.0Superb,Wonderful Room · 2 Adults · 2 Nights,absolutely amazing hotel. super clean and comfortable with friendly staff. perfect location on Sentosa. I cant wait to be back,Translate Review To English
Andy,Reviewed: 27 Dec 2021,5.05.0Superb,,Seamless check in and staff was ever so attentive. Overall process with covid guidelines were well abided at the hotel premises to give guests a peace of mind.,
Yeam Na,Reviewed: 27 Dec 2021,5.05.0Superb,,Nice hotel and staffs are very friendly. We reached early and they already for us to check in.,Translate Review To English
K,Reviewed: 26 Dec 2021,5.05.0Superb,,Really friendly hotel staff and great service! Overall wonderful experience especially with the thoughtful birthday arrangement!,Translate Review To English
K,Reviewed: 26 Dec 2021,5.05.0Superb,,"Loved the whole vibe of the hotel, the spacious pool, the array of breakfast selection and the easy access to beaches of Sentosa!",Translate Review To English
Eleen,Reviewed: 24 Dec 2021,5.05.0Superb,,Very awesome stay at W! Would definitely be back if klook has more awesome deals like this!,
Shuying,Reviewed: 24 Dec 2021,5.05.0Superb,,The hotel was great and the food was good. Will definitely come back to stay again.,Translate Review To English
Cheryl,Reviewed: 23 Dec 2021,5.05.0Superb,,Room is spacious and very clean. Staff is friendly and very responsive. Liked the overall feel and ambiance. Will visit again.,
Shahirah,Reviewed: 22 Dec 2021,5.05.0Superb,,Spacious room! And def is coming back to this hotel!! We love the pool! Great for kids,
SI CHOON JANET,Reviewed: 18 Dec 2021,3.05.0Good,,"Hotel facilities pretty much like any hotel… Swimming pool is a great for kids. Breakfast is good. Dinner is not up to expectations. Inform front desk that this stay is for my hubby birthday celebration, they said will do something but nothing was done, very disappointing.",Translate Review To English
SI CHOON JANET,Reviewed: 18 Dec 2021,3.05.0Good,,Hotel room furnishing is dated needs to be refurbished. Dinner is not fantastic. It is abit over-priced. Overall experience is way below my expectations.,Translate Review To English
Michael,Reviewed: 16 Dec 2021,5.05.0Superb,,"Maybe I was lucky, hotel was not packed, very peaceful and enjoyable experience. Staffs were very helpful and friendly. Liked the desserts the best in the 3 course dinner. Breakfast was great. Pool is so HUGE and beautiful. Too bad they were doing some minor renovation at one side of the pool during the day which is weird seeing maintenance guy getting into the pool with work clothes.",Translate Review To English
boon gee,Reviewed: 14 Dec 2021,5.05.0Superb,,Nice place to rest and relax. enjoyed my anniversary there,Translate Review To English
Mei Yi,Reviewed: 7 Dec 2021,5.05.0Superb,,"Highly recommended hotel for a vacation since it’s away from the bustling cities making you feel like you are really overseas. Room is spacious and clean with a classy mirror and bathtub. Gymming comes with a fantastic view, and the pool comes with a mini slide. They even surprised us by offering us a complimentary mango slush while we were chilling at the pool. Overall, a great experience!",
Cheyenne Delisa,Reviewed: 6 Dec 2021,5.05.0Superb,,gorgeous rooms & views. great food and awesome service from the staff.,Translate Review To English
,Reviewed: 6 Dec 2021,5.05.0Superb,,"Definitely a chill and relax place for staycay, had their breakfast overall was good. Staff are friendly and assist you at your need.",Translate Review To English
Gao you,Reviewed: 5 Dec 2021,5.05.0Superb,,Nice hotel with good customer service. One of the Top Hotel in the world,
NOOR SHAHIDAH,Reviewed: 3 Dec 2021,5.05.0Superb,,"Love the location, quiet and peaceful. The pool is what I really like & the best part it open till late. The service is great too.",
Hui Zhen Joanne,Reviewed: 1 Dec 2021,4.05.0Great,,Great staycation. A little inconvenient if didn’t drive cuz the hotel is really far. Restaurants are just walking distance.,
Xinlei,Reviewed: 30 Nov 2021,5.05.0Superb,,"Enjoyable stay, nice clean rooms. Breakfast options was food.",
Yiin Shin,Reviewed: 30 Nov 2021,5.05.0Superb,,"Pleasant stay at W Singapore, hotel was quite crowded but service was great!",
Tang,Reviewed: 28 Nov 2021,4.85.0Superb,"Fabulous Room, ??, 2 ????, ??, ???? · 2 Adult(s), 2 child(ren) · 2 Nights",W hotel??????????????????????????????????????????????????????????????????????????,Translate Review To English
Tomy,Reviewed: 22 Nov 2021,5.05.0Superb,,Amazing staycation experience. We've experienced the best hotel service in W hotel. Would come back again when schedule allows.,Translate Review To English
Edwin,Reviewed: 20 Nov 2021,5.05.0Superb,,Good service and enjoy the 3 course dining at W Singapore. First time staying in this property managed to secure at an attractive rate with SRV and vouchers. Pool was big. Thou room isn’t at the best condition but all else 5 stars,
Jian Wei,Reviewed: 18 Nov 2021,5.05.0Superb,,The best hotel I have stayed in currently. Loved everything from the room stay to the 3 course dinner set 11/ 10 for the stay!,Translate Review To English
wai ee,Reviewed: 15 Nov 2021,4.05.0Great,,"Had a relaxing staycation at W. Lovely environment, feels like I was on holiday. Staff was friendly especially the pool staff and the restaurant staff. Had dinner and breakfast at the kitchen table and both times the food was great! Staff Wai Meng and the rest were friendly and helpful. Had a wonderful time lazing by the beautiful pool and a relaxing walk around the marina, truly relaxing!",Translate Review To English
Tong,Reviewed: 14 Nov 2021,5.05.0Superb,"Wonderful Room, Room, 2 Double Beds · 3 Adult(s), 1 child(ren) · 2 Nights","We booked the Wonderful room. Room spacious and it came with a king bed. Very comfortable. Personally, I really enjoyed the tea selection in the room’s minibar. Most hotels provide only 1-2 selections of tea. This hotel gave us 5 selections of tea. As someone who enjoys tea throughout the day…. This was a fantastic perk for me. The location of our room had faced the condo infront but had a city view and sea view too. We also face a roof structure and when it rained, the noise was too loud. Perhaps for light sleepers, should check with front desk when they assign u the room. We spent 2 nights. Mostly spend the days at the hotel by the great pool. The pool came with an awesome slide! Woke up early one morning for a leisurely walk before breakfast. It was really relaxing.Spent some time at the luge. Breakfast was good. Nice selection of food. Food quality was generally good. Staff was very attentive and friendly. I loved the crab cakes egg Benedict. The dimsum basket was so so, especially the Har Gao. Think that can be improved.",
Wee Jie,Reviewed: 13 Nov 2021,4.05.0Great,,Cleanliness was in tip-top conditions. Staff were friendly and helpful making our stay there a great experience!,
Siok chin,Reviewed: 13 Nov 2021,5.05.0Superb,,The room was pleasant and dine in room service was really nice.,
Soek Ling Janice,Reviewed: 13 Nov 2021,4.05.0Great,,enjoyed the staycation with my family. the hotel gave us a cake to celebrate birthday. the food served at the restaurant of the hotel is really good as well. enjoyed time at the swimming pool too!,Translate Review To English
Nurhaziqah,Reviewed: 9 Nov 2021,4.05.0Great,,overall was good. place was nice and clean.great place.. not easy to get food but can always grab.. nice outside view.,Translate Review To English
stephanie,Reviewed: 9 Nov 2021,5.05.0Superb,,nice hotel but raining so couldnt get to use the pool much :(,Translate Review To English
Jie Rui,Reviewed: 8 Nov 2021,5.05.0Superb,,Room is nice with pool view. My children enjoy the pool slide very much.,Translate Review To English
Yukiko,Reviewed: 6 Nov 2021,3.05.0Good,,"I booked 2 nights for this package, but the hotel didn't give us SGD75 F&B Dining Credit per night. I think the package description wasn't indicated clearly on that. However, the hotel was great, all staff are helpful and kids friendly. Food selection wasn't fantastic but I guess it was good enough for light lunch/snacks.",Translate Review To English
Shannon,Reviewed: 1 Nov 2021,5.05.0Superb,,"Excellent ! Superb stay, nice environment and clean room, most importantly good service and nice location!",
Chao Hui Jessica,Reviewed: 1 Nov 2021,4.05.0Great,,"Lovely service at the kitchen table restaurant staff, nice pool slide. The room and service was so so, not as good as shangrila orchard or capella",Translate Review To English
YANSONG,Reviewed: 31 Oct 2021,5.05.0Superb,,"W hotel is definitely one of my favourites since Starwood hotel chain time, for its unique morden design, simplified but still luxury. I always love the paint and sculptures in the hotel, to enjoy the cut edge fine arts with revolutionary thinkings. If you are looking for some unique travel or staycation experiences, Why not a W Hotel !",
Ahmad,Reviewed: 29 Oct 2021,5.05.0Superb,Wonderful Room (King Bed) · 2 Adults · 2 Nights,"Outstanding atmosphere with wonderful view. Staff were friendly and approachable. And also, great service such twilight turndown. Kudos W Cove, will see you again ????",
HUI CHIN,Reviewed: 28 Oct 2021,5.05.0Superb,,"Very nice experience, staffs are patience, we requested for birthday decoration and they did it well!",Translate Review To English
EMILYN,Reviewed: 26 Oct 2021,5.05.0Superb,,wonderful stay! loved everything! just that the 3 course dinner set is better to top up to have more variety to choose from portion was huge me and hubs couldnt finish after we topped up to other dishes which was quite worthwhile but too huge portion for us as we are not big eaters hahahahaha loved the nice pool scenery and wide selection of breakfast items too!!!! would definitely visit here again ??,Translate Review To English
Wenxin,Reviewed: 24 Oct 2021,5.05.0Superb,,The room is warm and the whole environment is quite peaceful.,Translate Review To English
Lynn,Reviewed: 22 Oct 2021,5.05.0Superb,,Second time @ W. Nice pool Food is nice View is nice Great room service too,
Lai Foong,Reviewed: 22 Oct 2021,5.05.0Superb,,"Very clean and nice hotel in Sentosa. The pool was very big with a slide. The staffs were very friendly and helpful. My family of four had a great time spending our staycation with a spacious room and the hotel was very kind to decorate our room as it was my 20th Wedding Anniversary. Thank you John, the hotel customer service staff for his help on the wavier of my kid’s breakfast.",Translate Review To English
Yongquan,Reviewed: 17 Oct 2021,4.05.0Great,,"Food is great. Breakfast and dinner are fantastic. But the interior of the room is not that well maintain eg the shower door not able to close fully, the bathroom shower head leaking and the spoiled sink drainage. But all and all the service was excellent and we are offered a complimentary cake for our anniversary, which is vvv nice. The bed and pillow is also one of the better as compared to the other hotels. And my wife enjoyed the bath tub a lot.",
Jin Wen Clarence,Reviewed: 17 Oct 2021,5.05.0Superb,,Great experience and overall very pleasant stay with the hotel.,Translate Review To English
Emily,Reviewed: 14 Oct 2021,5.05.0Superb,,Great stay. Enjoyed the food within the deal. Pool was fantastic and could stay longer than allocated time.,
Kay Miang,Reviewed: 14 Oct 2021,4.05.0Great,,Hotel is clean and service is good but only thing this hotel have this turn down service that we didnt know. My wife cant sleep and we have to checkout in the middle of the night.What a sad staycation and we are celebrate our annivasary there...,Translate Review To English
Chai Sien,Reviewed: 12 Oct 2021,4.05.0Great,,"The early check in, in room treats and balloons decoration, daily ice cream treats are part of experience journey deeply appreciated by entire family!",
Wai Teng,Reviewed: 10 Oct 2021,5.05.0Superb,,nice and comfortable environment. love to stay in. the food is great as well. one think i dislike will be the distant from hotel to Sentosa. shuttle bus need 30min to reach,Translate Review To English
Dawn,Reviewed: 8 Oct 2021,5.05.0Superb,,Nice and comfortable hotel with relaxing atmosphere. Smooth check in. Would love to stay again !!,Translate Review To English
Huan You,Reviewed: 7 Oct 2021,5.05.0Superb,,"Good experience as it felt that we were overseas due to the minimal people/crowd at that area. A pity as we were unable to dine in together, had to split 2 by 2 due to the restrictions. Food at Kitchen Table was ok, not amazing. Breakfast also could be better for a 5 Star hotel. Room was big and bathtub was huge. Bed was comfy as well. Pool and gym were great, but sadly the weather wasn’t the best.",Translate Review To English
Manoj Kumar,Reviewed: 6 Oct 2021,5.05.0Superb,,It was great experience and would like to visit an another time,
turnip,Reviewed: 6 Oct 2021,5.05.0Superb,,"I have been here twice. One of the best hotel in sentosa, you wont regret it",
E,Reviewed: 2 Oct 2021,4.05.0Great,,Modern hotel with a big pool. It’s located at one far end of Sentosa. But complimentary public sentosa bus stops right in front of the hotel which can bring you to USS/Resort World in 15mins. Hotel provides complimentary chocolate cake with balloons during birthday. Idyllic stay with a resort feeling despite it been in June school holidays as place feels empty during Covid restrictions (no dine in allowed during June).,Translate Review To English
stephanie,Reviewed: 29 Sep 2021,5.05.0Superb,,"Enjoyable stay, always prefer w hotel for staycations. pool nice, room clean.",Translate Review To English
Yi Hui,Reviewed: 29 Sep 2021,3.05.0Good,,"The check in process is seamless, we get to choose our preferred breakfast timing where there's a time limit for each slot. Their pool is available 24h, you can access anytime with your room card. There is complimentary parking, remember to take your coupon at the reception before you travel out. They are so sweet, knowing that our stay is for our honeymoon, they decorated our room with helium & ""LOVE"" balloons, and sent us a delicious cake ?. I like that there is a pillow menu to choose the type of pillow you prefer, just call them and they'll bring it over. They have various lightings for different moods, I like the one that will constantly change like rainbow colours ?? The window at the bathtub allows us to watch the TV while soaking in the bathtub. There is a speaker in the bathroom, connected to the radio in the TV, you can adjust the volume and dance with the music while in the shower ??. Our Dinner & Breakfast is done at The Kitchen Table. For dinner, the Wok Fried Hor Fun with Grilled Waygu Beef has a very strong wok-hey taste, the gravy is different from usual as its thicker and loaded with black pepper. The Wok Fried Hokkien Mee could be better. The nearest convenient store closes at 8pm so we drove to the nearby 7-Eleven to grab a cup noodle & lava egg for supper, this combination is so good ?. The breakfast menu is similar to St. Regis as they are from the same group, but we prefer the menu & food at St Regis. Check out is easy, just drop your room card in the basket and they will email to you the charges. Thank you for decorating the room.",Translate Review To English
Xin Yi Cindy,Reviewed: 27 Sep 2021,5.05.0Superb,,"Everything was great! The breakfast selection were plenty and the dinner was delicious! Loved the pool, the room and the bathtub!",
Soo Feng,Reviewed: 25 Sep 2021,5.05.0Superb,,Beautiful views from w hotel and room is clean with bathtub.,Translate Review To English
Soo Feng,Reviewed: 25 Sep 2021,5.05.0Superb,,great rooms with 2 double beds and beautiful swimming pool with slides for thr children.,Translate Review To English
Alyssa An Qi,Reviewed: 17 Sep 2021,5.05.0Superb,,"Great customer service, and the food was aplenty. Really liked the environment at Sentosa Cove too!",Translate Review To English
Yi Ting,Reviewed: 14 Sep 2021,5.05.0Superb,,Had a wonderful time at W Sentosa. It truly feels like a getaway because of its exclusive location at sentosa cove. The pool was the main attraction. It's quite rare to see such a big hotel pool in SG. The room and toilet was very spacious as well.,
Muhammad Akbar,Reviewed: 13 Sep 2021,5.05.0Superb,,Awesome Klook and W Hotel staffs who helped us create a special weekend for us!,Translate Review To English
Katherine,Reviewed: 13 Sep 2021,5.05.0Superb,,Lovely place and excellent service! A good place to recharge,
MingWei,Reviewed: 10 Sep 2021,3.05.0Good,,We went during covid period where gym cannot be used. Kinda boring there.,Translate Review To English
Yi Shan,Reviewed: 8 Sep 2021,5.05.0Superb,,"The room was great, service staff were friendly and food was fantastic! Definitely will be back and I have already recommended this to many of my friends! Check in was swift and check out was fuss-free too!",
Marvin,Reviewed: 7 Sep 2021,5.05.0Superb,,Clean and friendly staff. And I got an upgrade for my wedding anniversary.,Translate Review To English
Nur Shahidah,Reviewed: 4 Sep 2021,5.05.0Superb,,good service and best place for couples or friends to just chill,
Abdul Rahim,Reviewed: 4 Sep 2021,5.05.0Superb,,"Nice view, friendly staff, would definitely stay here again..",Translate Review To English
GUNAREVATHI,Reviewed: 3 Sep 2021,5.05.0Superb,,"Awesome Customer Service 100%. Food Was Yummylicious. Room Was So Beautiful. When For A Staycation For My Husband Birthday. Room Was Prepared With A Balloon, Birthday Card And Cake Too. My Husband And I Love The Whole Stay. The View From Our Room Was So Nice. Swimming Pool Was Splendid. Best Place To Have StayCation With Your Love Ones. Once Again Thank You.",Translate Review To English
Ilias,Reviewed: 2 Sep 2021,4.05.0Great,,"Super friendly staff, hotel room was spacious and clean. Only bad thing is no smart TV to watch netflix.",Translate Review To English
MUHAMMAD FAUZAN,Reviewed: 2 Sep 2021,5.05.0Superb,,W hotel a best hotel to have your staycay at. Will definitely book again. The only regret I have is that I only book for 1 night. ????????????????????,Translate Review To English
Jay,Reviewed: 1 Sep 2021,5.05.0Superb,,"great fun, we could get rooms side by side. food was fantastic too",Translate Review To English
Boon Tiong Daniel,Reviewed: 1 Sep 2021,5.05.0Superb,,Big room. Clean and bright decorations. Gym machines looks new and well maintained. Staff at The Kitchen were all very pleasant and cheery. Special mention of staff Wai Meng for her excellent service.,Translate Review To English
Samuel,Reviewed: 31 Aug 2021,5.05.0Superb,,The staycation in Wonderful Room was amazing. The room is spacious and nice. The hotel staff service is superb. Would definitely stay in this hotel again. Thumbs up.,Translate Review To English
Sharon,Reviewed: 31 Aug 2021,5.05.0Superb,,"My 2nd staycation but this time due to the higher occupancy rate, the service was not as prompt as when I went in May. Nonetheless it was a great time. Love W!",
Aiden,Reviewed: 30 Aug 2021,5.05.0Superb,,super helpful staff and the room was really big and cute with a bathtub,Translate Review To English
Lee Choo Roselyn,Reviewed: 29 Aug 2021,4.05.0Great,,we didnt do much at the hotel as we are not able to book the swimming timeslots tat we wanted. but the hotel was nice enough to send my son a b'day cake plus balloons.,Translate Review To English
Inderpaul,Reviewed: 28 Aug 2021,5.05.0Superb,,Fantastic hotel and the staff were all super nice! Did a 1-night stay for my wife as it was her birthday! Will recommend this to all family and friends!,
mustafa,Reviewed: 27 Aug 2021,5.05.0Superb,,"Enjoyed our staycation immensely, was not crowded thanks to Covid, great service and a well maintained room. Would highly recommend it.",
Wei Fang,Reviewed: 26 Aug 2021,5.05.0Superb,,Great experience for my hubby birthday staycation. Staffs were helpful. Breakfast was delicious. Room is really spacious and clean and comfy. Birthday cake is provided for my hubby birthday.,Translate Review To English
Bee Tee,Reviewed: 25 Aug 2021,5.05.0Superb,,2nd time staying in this hotel. Very pleasant stay experience staff are all very warm and friendly.,Translate Review To English
Yong Tsen,Reviewed: 25 Aug 2021,5.05.0Superb,,"Not my first W hotel, but first time stay in Singapore. Some area can be better like the room, it's a bit old, and some staffs at the welcome desk try to avoid the eye contact when I approached, so not W standard. Concierge talents are great, restaurant staffs are super friendly! Overall a great experience will definitely come back again!",Translate Review To English
Patrick Lionel,Reviewed: 23 Aug 2021,4.05.0Great,,Very relax staycation however more customer experience could have been better if hotel staff can reach out more,
Alvin,Reviewed: 21 Aug 2021,4.05.0Great,,"Room was nice and the food was good. However it gets noisy when it starts to rain. Sounded like raindrop hitting against a metal and it wad quite loud, thus disturbing sleep in the middle of the night. Hope that something can be done about that.",Translate Review To English
Wei Haur,Reviewed: 19 Aug 2021,5.05.0Superb,,"The room is clean, the food is good, the staffs are very nice and friendly. Smokers: the designated smoking area is at level 2 (outside).",Translate Review To English
