DELIMITER SEPARATION,web-scraper-order,web-scraper-start-url,user,date,rating,review
15,1650540346-15,https://www.traveloka.com/id-id/hotel/singapore/resorts-world-sentosa---equarius-hotel-1000000502230?spec=22-04-2022.23-04-2022.1.1.HOTEL.1000000502230.Resorts%20World%20Sentosa%20-%20Equarius%20Hotel.2,Stephanie,25-Apr-17,9.7,"Memuaskan, saya menginap bersama suami dan ank saya (7months) untuk booking hotel yang deluxe tapi diganti dengan deluxe suite, pelayanannya sangat memuaskan cek in cepat."
16,1650540346-16,https://www.traveloka.com/id-id/hotel/singapore/resorts-world-sentosa---equarius-hotel-1000000502230?spec=22-04-2022.23-04-2022.1.1.HOTEL.1000000502230.Resorts%20World%20Sentosa%20-%20Equarius%20Hotel.2,ANG S. L.,4-Apr-17,9.7,"Kami menginap 2 malam 29-31 maret 2017 .. Kesan pertama hotelnya nyaman dan enak , bersih. Resepsionis juga ramah. Minji juga cantik dan baik. Kami sangat senang tinggal di equarius.. Kami 2 hari main di sea aquarium dan universal. Ada mini van antar jemput jadi tidak ada kesulitan dan enjoy ..."
17,1650540346-17,https://www.traveloka.com/id-id/hotel/singapore/resorts-world-sentosa---equarius-hotel-1000000502230?spec=22-04-2022.23-04-2022.1.1.HOTEL.1000000502230.Resorts%20World%20Sentosa%20-%20Equarius%20Hotel.2,Guest-unyesc,16-Nov-16,10,"Bersih, kamarnya besar, anak saya suka sekali karena dekat USS. Tahun depan akan kembali ke Equarius lagi"
18,1650540346-18,https://www.traveloka.com/id-id/hotel/singapore/resorts-world-sentosa---equarius-hotel-1000000502230?spec=22-04-2022.23-04-2022.1.1.HOTEL.1000000502230.Resorts%20World%20Sentosa%20-%20Equarius%20Hotel.2,Wati A.,2-Oct-16,9.7,"Kamarnya besar,bersih dan rapi. Terutama Anak saya sangat senang menginap disana"
19,1650540346-19,https://www.traveloka.com/id-id/hotel/singapore/resorts-world-sentosa---equarius-hotel-1000000502230?spec=22-04-2022.23-04-2022.1.1.HOTEL.1000000502230.Resorts%20World%20Sentosa%20-%20Equarius%20Hotel.2,Brenda s.,26-Jun-16,9.4,Kamar yang luas dan cocok untuk liburan keluarga.
20,1650540346-20,https://www.traveloka.com/id-id/hotel/singapore/resorts-world-sentosa---equarius-hotel-1000000502230?spec=22-04-2022.23-04-2022.1.1.HOTEL.1000000502230.Resorts%20World%20Sentosa%20-%20Equarius%20Hotel.2,TITI S.,8-May-16,9.4,"Kamar hotel yang luas dan elegan apalagi kalau ditambah Free WiFi, perfect deh."
21,1650540346-21,https://www.traveloka.com/id-id/hotel/singapore/resorts-world-sentosa---equarius-hotel-1000000502230?spec=22-04-2022.23-04-2022.1.1.HOTEL.1000000502230.Resorts%20World%20Sentosa%20-%20Equarius%20Hotel.2,Hendra G.,15-Apr-16,8.7,"Kamar luas dan bagus serta bersih, ada sofa bisa untuk tidur, cuma kalau mau cari makan sulit, harus ke area hotel Michael atau Vivo City cuma harus naik train lagi"
22,1650540346-22,https://www.traveloka.com/id-id/hotel/singapore/resorts-world-sentosa---equarius-hotel-1000000502230?spec=22-04-2022.23-04-2022.1.1.HOTEL.1000000502230.Resorts%20World%20Sentosa%20-%20Equarius%20Hotel.2,Erik w.,23-Jan-16,9.7,"Kamar Luas, View Bagus, keseluruhan memuaskan."
23,1650540346-23,https://www.traveloka.com/id-id/hotel/singapore/resorts-world-sentosa---equarius-hotel-1000000502230?spec=22-04-2022.23-04-2022.1.1.HOTEL.1000000502230.Resorts%20World%20Sentosa%20-%20Equarius%20Hotel.2,Bonny J.,9-Nov-15,10,That was awesome and we really enjoyed it
24,1650540346-24,https://www.traveloka.com/id-id/hotel/singapore/resorts-world-sentosa---equarius-hotel-1000000502230?spec=22-04-2022.23-04-2022.1.1.HOTEL.1000000502230.Resorts%20World%20Sentosa%20-%20Equarius%20Hotel.2,Yunita D. S.,16-Oct-15,10,Big room Nice view Good food Friendly staff
25,1650540346-25,https://www.traveloka.com/id-id/hotel/singapore/resorts-world-sentosa---equarius-hotel-1000000502230?spec=22-04-2022.23-04-2022.1.1.HOTEL.1000000502230.Resorts%20World%20Sentosa%20-%20Equarius%20Hotel.2,Annesya A. S.,18-Sep-15,8.5,Hotel dan service nya sangat bagus
26,1650540346-26,https://www.traveloka.com/id-id/hotel/singapore/resorts-world-sentosa---equarius-hotel-1000000502230?spec=22-04-2022.23-04-2022.1.1.HOTEL.1000000502230.Resorts%20World%20Sentosa%20-%20Equarius%20Hotel.2,Anonim,20-May-15,10,"Kamarnya luas, bersih dan staff hotelnya juga helpfull kami sekeluarga berencana akan stay disini lagi kl liburan k singapore"
27,1650540346-27,https://www.traveloka.com/id-id/hotel/singapore/resorts-world-sentosa---equarius-hotel-1000000502230?spec=22-04-2022.23-04-2022.1.1.HOTEL.1000000502230.Resorts%20World%20Sentosa%20-%20Equarius%20Hotel.2,Andy W.,4-Apr-15,8,"Kamar besar dan bersih, staff ramah. Lokasi agak terpisah dari kumpulan hotel lainnya di komplek resorts world sentosa."
28,1650540346-28,https://www.traveloka.com/id-id/hotel/singapore/resorts-world-sentosa---equarius-hotel-1000000502230?spec=22-04-2022.23-04-2022.1.1.HOTEL.1000000502230.Resorts%20World%20Sentosa%20-%20Equarius%20Hotel.2,LJO,16-Apr-22,9.7,Hotel menyediakan apa yang kami butuhkan untuk bulan madu. Kamarnya sangat nyaman untuk dinikmati dan menginap sehingga kami lupa mencoba fasilitas lainnya. Lokasinya yang terpencil jauh dari hiruk pikuk kota yang membuat kita serasa seperti di perjalanan ke luar negeri namun masih sangat mudah dijangkau oleh angkutan umum dan pesan antar makanan.
29,1650540346-29,https://www.traveloka.com/id-id/hotel/singapore/resorts-world-sentosa---equarius-hotel-1000000502230?spec=22-04-2022.23-04-2022.1.1.HOTEL.1000000502230.Resorts%20World%20Sentosa%20-%20Equarius%20Hotel.2,Evon L.,14-Apr-22,9.1,"Ruangan itu mewah. Kami diberi kamar yang menghadap ke laut dan taman air. Kamar bersih, toilet dan bak mandi luar biasa. Staf yang menyenangkan dan bermanfaat. Kolam itu cukup besar dengan dua bagian. Pemandangan kolam di tempat kami sarapan seperti potongan atau lukisan pemandangan hijau / latar belakang - kecuali sarapan yang disajikan dianggap buruk untuk hotel yang harganya sebanyak ini - hanya bisa memilih satu 3 hidangan ala carte untuk setiap orang dan pilihannya terbatas -hanya nasi goreng/nasi goreng barat, vegan, atau Asia, disajikan dengan roti dan teh/kopi/jus. Selain itu, ini masih salah satu staycation terbaik yang kami miliki di Singapura."
30,1650540346-30,https://www.traveloka.com/id-id/hotel/singapore/resorts-world-sentosa---equarius-hotel-1000000502230?spec=22-04-2022.23-04-2022.1.1.HOTEL.1000000502230.Resorts%20World%20Sentosa%20-%20Equarius%20Hotel.2,Md Faizal A. R.,6-Apr-22,9.1,"Saya memiliki waktu paling tenang di Equarius sehingga saya dapat menghabiskan waktu untuk diri sendiri dan menghargai lingkungan alam serta jauh dari kota yang sibuk, berita dan banyak keramaian khususnya. Makanannya sangat lezat namun kesederhanaan adalah yang paling saya temukan sangat dekat dengan hati saya. Saya bersenang-senang berenang di kolam renang setiap pagi di mana saya memutuskan untuk memperpanjang satu hari lagi. Tapi saya berjanji lain kali saya kembali, saya akan pergi ke gym dan kolam renang pada hari yang sama. Untuk semua orang yang lebih suka pergi keluar, cukup naik shuttle bus yang akan menjemput Anda setiap 10 - 15 menit ke Universal Studio atau hanya untuk makan. Ada begitu banyak preferensi restoran yang bisa Anda pilih. Juga untuk beberapa keluarga kecil yang mengalami kesulitan untuk mandi terutama di bak mandi dengan cermin raksasa besar dari tempat tidur adalah situasi utama di mana harus terlihat mengerikan dari luar saat mandi. Dimana kita membutuhkan cermin di kamar mandi juga. Jadi terima kasih sekali lagi Equarius. Jaga & Tetap Aman. ."
31,1650540346-31,https://www.traveloka.com/id-id/hotel/singapore/resorts-world-sentosa---equarius-hotel-1000000502230?spec=22-04-2022.23-04-2022.1.1.HOTEL.1000000502230.Resorts%20World%20Sentosa%20-%20Equarius%20Hotel.2,Low R. J.,4-Apr-22,6,"Sementara manajer tugas berhasil mengubah kamar untuk kami, tetapi masih tidak bisa menyembunyikan kekecewaan kami dengan hotel. Ruangan itu ditandai siap dan bersih namun bau urin yang tidak menyenangkan di kasur dan selimut benar-benar tak tertahankan. Bagaimana bisa pengurus rumah tangga hotel melewatkannya: (."
32,1650540346-32,https://www.traveloka.com/id-id/hotel/singapore/resorts-world-sentosa---equarius-hotel-1000000502230?spec=22-04-2022.23-04-2022.1.1.HOTEL.1000000502230.Resorts%20World%20Sentosa%20-%20Equarius%20Hotel.2,Su Fei C.,4-Apr-22,6.2,"Permintaan khusus tidak terpenuhi, secara umum hotel ini cukup tua dengan furnitur tidak dalam kondisi terbaiknya. Kurangnya pilihan sarapan."
33,1650540346-33,https://www.traveloka.com/id-id/hotel/singapore/resorts-world-sentosa---equarius-hotel-1000000502230?spec=22-04-2022.23-04-2022.1.1.HOTEL.1000000502230.Resorts%20World%20Sentosa%20-%20Equarius%20Hotel.2,TEH J.,26-Mar-22,9.6,Ini adalah staycation pertama saya dalam 3 tahun dan saya sangat senang untuk mengatakan bahwa pengalaman di rws equarius Hotel luar biasa! Suka kebersihan hotel dan staf layanan pelanggan yang luar biasa. Kamarnya luas dan favorit saya pasti kamar mandi. Saya menikmati waktu saya dengan keluarga saya dan saya tidak sabar untuk memiliki staycation lain di sana lagi! Terima kasih Traveloka!
35,1650540346-35,https://www.traveloka.com/id-id/hotel/singapore/resorts-world-sentosa---equarius-hotel-1000000502230?spec=22-04-2022.23-04-2022.1.1.HOTEL.1000000502230.Resorts%20World%20Sentosa%20-%20Equarius%20Hotel.2,YingPei O.,14-Mar-22,8.5,"Semuanya baik-baik saja kecuali 2 helai rambut ditemukan di tempat tidur. Tapi banyak ruang untuk perbaikan untuk sarapan. Menu ala carte set sangat terbatas (3 pilihan), porsinya kecil, rasanya tidak enak untuk hotel bintang 5. Jelas tidak layak untuk dibayar / dibangunkan."
36,1650540346-36,https://www.traveloka.com/id-id/hotel/singapore/resorts-world-sentosa---equarius-hotel-1000000502230?spec=22-04-2022.23-04-2022.1.1.HOTEL.1000000502230.Resorts%20World%20Sentosa%20-%20Equarius%20Hotel.2,Toh L. Y. A.,28-Feb-22,9.1,"Bisa check in lebih awal sebelum berangkat ke USS agar tidak terlalu banyak barang bawaan untuk perjalanan. Layanan shuttle bus ke area utama rws (festive hotel) datang setiap 15 menit sehingga nyaman untuk berkeliling dengan mudah meskipun hotel equarius lebih jauh. Perhatikan bagi yang memesan dengan sarapan, Anda hanya dapat memesan 1 set dan yogurt memerlukan biaya tambahan. Secara keseluruhan, ini adalah pengalaman menginap yang menyenangkan untuk istirahat santai sejenak!"
37,1650540346-37,https://www.traveloka.com/id-id/hotel/singapore/resorts-world-sentosa---equarius-hotel-1000000502230?spec=22-04-2022.23-04-2022.1.1.HOTEL.1000000502230.Resorts%20World%20Sentosa%20-%20Equarius%20Hotel.2,Selvakumar G.,12-Feb-22,6.7,"Layanan hotel baik-baik saja. Kamar bersih dan luas (sesuai pemesanan web). Sarapan termasuk meninggalkan banyak hal yang diinginkan. Karena protokol covid saat ini, menu saat ini adalah Ala carte, tetapi porsinya sangat kecil. Memiliki sarapan Asia, yang memiliki nasi goreng dan ayam; Ayam itu sebenarnya ayam jenis ""pop corn"", sesuatu yang pasti berasal dari lorong makanan beku, diberi 4 ""pop corn"". Sarapan vegetarian (diambil oleh pasangan saya), tidak mengesankan. Tampak seperti sesuatu yang siapa pun dapat membuat di rumah lebih baik. Untuk hotel bintang 5 yang diklaim, kateringnya meninggalkan ""rasa tidak enak"". Ada banyak hotel lain di Singapura yang menyediakan makanan yang lebih baik dengan harga yang lebih murah."
38,1650540346-38,https://www.traveloka.com/id-id/hotel/singapore/resorts-world-sentosa---equarius-hotel-1000000502230?spec=22-04-2022.23-04-2022.1.1.HOTEL.1000000502230.Resorts%20World%20Sentosa%20-%20Equarius%20Hotel.2,Diana N.,21-Jan-22,9.4,"Layanan sangat baik oleh semua staf di sana, yang merupakan kejutan yang sangat menyenangkan bagi saya karena saya telah membaca banyak ulasan yang tidak terlalu bagus tentang tingkat layanan. Menginap hanya satu malam namun selama interaksi, saya merasa disambut oleh berbagai staf seperti saya biasa. Kamarnya luas dan kamar mandinya cantik! Dan saya sangat suka sandal kamar tidur."
39,1650540346-39,https://www.traveloka.com/id-id/hotel/singapore/resorts-world-sentosa---equarius-hotel-1000000502230?spec=22-04-2022.23-04-2022.1.1.HOTEL.1000000502230.Resorts%20World%20Sentosa%20-%20Equarius%20Hotel.2,Joel W. S.,18-Jan-22,6.5,"Sementara kamar dan kamar mandinya besar (dengan tempat tidur super king), layanannya agak standar dan di bawah yang kami harapkan. Dari meja depan hingga restoran tempat sarapan, kami tidak merasakan standar keramahan yang diharapkan untuk hotel bintang 5 semacam ini. Sarapan juga di bawah standar, hanya set lokal, barat, dan vegetarian. Sepertinya hanya untuk mencentang kotak. Di bawah rata-rata lagi. Tentu saja tidak bernilai uang."
40,1650540346-40,https://www.traveloka.com/id-id/hotel/singapore/resorts-world-sentosa---equarius-hotel-1000000502230?spec=22-04-2022.23-04-2022.1.1.HOTEL.1000000502230.Resorts%20World%20Sentosa%20-%20Equarius%20Hotel.2,LIN J.,10-Jan-22,8.5,Cek di itu lancar. Kamar dan kolam renang sangat bagus. Yang merepotkan adalah berjalan jauh ke kamar hanya karena pemeriksaan ID yang perlu dilakukan. Dengan mudah 100 m ekstra per perjalanan.
41,1650540346-41,https://www.traveloka.com/id-id/hotel/singapore/resorts-world-sentosa---equarius-hotel-1000000502230?spec=22-04-2022.23-04-2022.1.1.HOTEL.1000000502230.Resorts%20World%20Sentosa%20-%20Equarius%20Hotel.2,Brenda H.,10-Jan-22,9.1,"Saya agak frustrasi dengan menunggu lama untuk check-in. Kios yang disediakan sulit digunakan. Namun, semuanya indah setelah itu. Staf yang responsif dan ramah. Anak-anak saya sangat menikmati staycation dan kami pasti akan segera kembali."
42,1650540346-42,https://www.traveloka.com/id-id/hotel/singapore/resorts-world-sentosa---equarius-hotel-1000000502230?spec=22-04-2022.23-04-2022.1.1.HOTEL.1000000502230.Resorts%20World%20Sentosa%20-%20Equarius%20Hotel.2,Alan c.,10-Jan-22,9.1,"Pilihan yang baik untuk retret yang tenang, tidak ramai. Staf ramah dan membantu untuk memberikan saran ke berbagai atraksi di pulau. Kekurangannya adalah kurangnya fasilitas seperti spa dan pilihan restoran yang terbatas (walaupun agak mahal). Ada transfer gratis setiap 10 menit ke RWS."
43,1650540346-43,https://www.traveloka.com/id-id/hotel/singapore/resorts-world-sentosa---equarius-hotel-1000000502230?spec=22-04-2022.23-04-2022.1.1.HOTEL.1000000502230.Resorts%20World%20Sentosa%20-%20Equarius%20Hotel.2,Marie M.,8-Jan-22,6.7,Itu rumit untuk memindai entri yang aman di tepi kolam renang karena kami telah memesan slot. Itu tidak masuk akal bagi kami karena kami telah mendaftarkan diri ke hotel. Kami tidak merasa aman untuk membawa telepon kami ke tepi kolam renang dan meninggalkannya tanpa pengawasan.
44,1650540346-44,https://www.traveloka.com/id-id/hotel/singapore/resorts-world-sentosa---equarius-hotel-1000000502230?spec=22-04-2022.23-04-2022.1.1.HOTEL.1000000502230.Resorts%20World%20Sentosa%20-%20Equarius%20Hotel.2,Amanda L.,3-Jan-22,9.4,"Itu adalah pengalaman yang baik karena semua permintaan kami terpenuhi. Staf RWS penuh perhatian dan memberikan layanan mereka seperti yang dijanjikan. Sayang sekali hujan turun selama dua hari dan tidak bisa menikmati kolam renang. Tapi semuanya baik-baik saja dengan pelayanan prima, pasti akan kembali lagi. Paket meriah adalah kesepakatan yang mencakup restoran pemenang penghargaan table65 bintang Michelin."
45,1650540346-45,https://www.traveloka.com/id-id/hotel/singapore/resorts-world-sentosa---equarius-hotel-1000000502230?spec=22-04-2022.23-04-2022.1.1.HOTEL.1000000502230.Resorts%20World%20Sentosa%20-%20Equarius%20Hotel.2,Leow L. L. C.,21-Dec-21,9.1,Kamarnya luas dan bersih.
47,1650540346-47,https://www.traveloka.com/id-id/hotel/singapore/resorts-world-sentosa---equarius-hotel-1000000502230?spec=22-04-2022.23-04-2022.1.1.HOTEL.1000000502230.Resorts%20World%20Sentosa%20-%20Equarius%20Hotel.2,Gwendolin g.,16-Dec-21,9.4,Cinta kamar. Ini sangat luas dan toiletnya juga luar biasa besar. Pemandangannya luar biasa. Tapi prosedur check in terlalu lama. Saya mencapai 1plus dan kamar baru siap pada jam 5.30 sore! Tidak memiliki mesin kopi jadi cukup mengecewakan untuk hotel bintang 5.
48,1650540346-48,https://www.traveloka.com/id-id/hotel/singapore/resorts-world-sentosa---equarius-hotel-1000000502230?spec=22-04-2022.23-04-2022.1.1.HOTEL.1000000502230.Resorts%20World%20Sentosa%20-%20Equarius%20Hotel.2,Yeo H. S.,12-Dec-21,8.5,Staf yang membantu dan sopan. Hanya itu yang tidak bisa mendapatkan kamar terhubung.
49,1650540346-49,https://www.traveloka.com/id-id/hotel/singapore/resorts-world-sentosa---equarius-hotel-1000000502230?spec=22-04-2022.23-04-2022.1.1.HOTEL.1000000502230.Resorts%20World%20Sentosa%20-%20Equarius%20Hotel.2,Celine,14-Nov-21,6,"1) Kami mengatur check-in lebih awal dan pengaturan tempat tidur berbulan-bulan sebelum check-in. Setibanya di hotel, kami diberitahu bahwa kamar belum siap dan kami harus memberi tahu staf lagi tentang pengaturan tempat tidur kami. Kami juga meminta kamar di lantai atas tetapi pada akhirnya, saya yakin kami diberi kamar di lantai bawah karena hanya itu yang tersedia setelah setidaknya 30 menit pada proses check-in. 2) Permintaan kami untuk pengaturan khusus untuk ulang tahun ayah saya juga tidak dikirim ke meja depan. Pada akhirnya, kami hanya mendapat kartu dan beberapa Ferraro Rochers (yang tampak seperti pekerjaan menit terakhir) ketika kami mengharapkan lebih dari hotel bintang 5. 3) Kami juga membuat reservasi kolam renang sebelumnya tetapi ketika kami memeriksa dengan staf yang bekerja di kolam renang, reservasi kami tidak dicatat. 4) Handuk dan air tidak disediakan untuk orang ketiga yang menginap di kamar setelah pembersihan kamar pada hari kedua. Semua ini membuat kami menginap di hotel tidak menyenangkan. Kami berharap lebih dari hotel bintang 5."
50,1650540346-50,https://www.traveloka.com/id-id/hotel/singapore/resorts-world-sentosa---equarius-hotel-1000000502230?spec=22-04-2022.23-04-2022.1.1.HOTEL.1000000502230.Resorts%20World%20Sentosa%20-%20Equarius%20Hotel.2,Chng S. B.,7-Nov-21,8.5,"Kamarnya sangat besar, luas dan nyaman, kami menikmati tinggal di sana terlepas dari waktu check-in yang tertunda. Kami tidak akan ragu untuk menginap lagi di Equarius Hotel untuk staycation kami selanjutnya. Bersulang!"
51,1650540346-51,https://www.traveloka.com/id-id/hotel/singapore/resorts-world-sentosa---equarius-hotel-1000000502230?spec=22-04-2022.23-04-2022.1.1.HOTEL.1000000502230.Resorts%20World%20Sentosa%20-%20Equarius%20Hotel.2,Song K. w.,3-Nov-21,9.4,"Equarius memiliki kamar yang luas. Kami merasa sangat nyaman tinggal di dalamnya. Balkon yang menghadap ke alam dan pepohonan adalah cinta pada pandangan pertama. Kami pergi selama periode halloween dan kami dapat melihat banyak tempat dengan dekorasi bertema halloween. Staf layanan hebat dan disajikan dengan senyum dan lelucon ringan. Pasti akan kembali berkunjung, sejauh ini hotel terbaik yang pernah kami kunjungi, di Sentosa?"
52,1650540346-52,https://www.traveloka.com/id-id/hotel/singapore/resorts-world-sentosa---equarius-hotel-1000000502230?spec=22-04-2022.23-04-2022.1.1.HOTEL.1000000502230.Resorts%20World%20Sentosa%20-%20Equarius%20Hotel.2,Lin J.,30-Oct-21,9.7,"Ruangan terlihat begitu luas, nyaman dan megah. Itu membuat seseorang ingin tinggal di kamar sepanjang hari. Sempurna untuk keluarga atau liburan pasangan! PSA: Bawa Mandi Gelembung! Layanan antar-jemput tersedia setiap 15 menit untuk membawa Anda ke hotel Michael! Atau Anda dapat berjalan-jalan di sepanjang jalur luar ruangan yang berjarak sekitar 10 menit juga."
53,1650540346-53,https://www.traveloka.com/id-id/hotel/singapore/resorts-world-sentosa---equarius-hotel-1000000502230?spec=22-04-2022.23-04-2022.1.1.HOTEL.1000000502230.Resorts%20World%20Sentosa%20-%20Equarius%20Hotel.2,Foo M. Y.,23-Oct-21,9.4,Staf di sana sangat membantu terlepas dari check in atau check out! Kami check out pergi ke akuarium laut terlebih dahulu dan mereka membantu mengirim barang bawaan ke hotel Michael sehingga kami tidak perlu kembali ke sini untuk mengambil. Mereka juga menggambar kartu ulang tahun untuk ayah saya karena itu adalah hari ulang tahunnya dan juga kakak saya datang setelah pernikahannya dan mereka menggambar kartu yang sangat lucu dengan berkah dengan cokelat. Kamar sangat nyaman dan bak mandi sangat besar! Menikmati kami tinggal sangat banyak.
54,1650540346-54,https://www.traveloka.com/id-id/hotel/singapore/resorts-world-sentosa---equarius-hotel-1000000502230?spec=22-04-2022.23-04-2022.1.1.HOTEL.1000000502230.Resorts%20World%20Sentosa%20-%20Equarius%20Hotel.2,Foo M. K.,22-Oct-21,9.4,Sangat nyaman dan layanan pelanggan sangat baik. Pasti akan datang dan menginap lagi!
55,1650540346-55,https://www.traveloka.com/id-id/hotel/singapore/resorts-world-sentosa---equarius-hotel-1000000502230?spec=22-04-2022.23-04-2022.1.1.HOTEL.1000000502230.Resorts%20World%20Sentosa%20-%20Equarius%20Hotel.2,Rin E. b. R.,19-Oct-21,9.7,"Semua staf luar biasa dan sabar, kamarnya sangat besar! Layanan yang fantastis. Satu-satunya downside adalah saat check-in, mesin check-in mereka tidak dapat mendeteksi pemesanan kami karena itu dari aplikasi agen, karenanya menunggu sedikit lebih lama. Tetapi sekali lagi staf menebusnya, karenanya pengalaman menginap yang luar biasa!"
56,1650540346-56,https://www.traveloka.com/id-id/hotel/singapore/resorts-world-sentosa---equarius-hotel-1000000502230?spec=22-04-2022.23-04-2022.1.1.HOTEL.1000000502230.Resorts%20World%20Sentosa%20-%20Equarius%20Hotel.2,Tay B. K. R.,12-Oct-21,5.8,"Cek di itu mengerikan. Self check in gagal, harus antri untuk check in counter. Dan hanya 1 konter check in. SDA yang melayani pemeriksaan mandiri juga kabur. Hanya staf hotel Kevin yang membantu. Untuk kamar berdebu, bahkan di belakang TV juga penuh debu. Jika Anda pernah menginap di Shangri-La Sentosa, Anda pasti akan kecewa dengan hotel equarius."
