web-scraper-order,web-scraper-start-url,user,date,rating,review
1650527607-148,https://www.traveloka.com/id-id/hotel/singapore/w-singapore---sentosa-cove-sg-clean-399865?spec=22-04-2022.23-04-2022.1.1.HOTEL.399865.W%20Singapore%20-%20Sentosa%20Cove%20%28SG%20Clean%29.2&prevSearchId=1730699409382996331&loginPromo=1&contexts=%7B%22inventoryRateKey%22%3A%22UBh6NEbrm3oRvPz965TEQYx6yJl1TnvT4YG%2Byjorw5RM0tKsNUio4Rxug1zOzHJilcvZa8YdqqIySdppe7dolTIewZlxfjiOGz6oXLTucMvN0%2BgQ3yZPvZcoHwUFNN%2BZpcr%2F%2FNa8o9ElfN8zOYhzzZeg0X586laFpeUViPi9rxBNC36%2FzMAlIt8%2Faj9ZJwyZIvEWeildVo7nbHxIWcXPVNGysXwP9P%2F6jQTjnyKeTv%2ByqYmxSenRKFEfSHS0XO3ksOocFaHL1Wb9vQXntcm%2BDw%3D%3D%22%7D,Hendra W.,9-Sep-17,8.5,Lambat check-in. Selain itu semua baik
1650527607-149,https://www.traveloka.com/id-id/hotel/singapore/w-singapore---sentosa-cove-sg-clean-399865?spec=22-04-2022.23-04-2022.1.1.HOTEL.399865.W%20Singapore%20-%20Sentosa%20Cove%20%28SG%20Clean%29.2&prevSearchId=1730699409382996331&loginPromo=1&contexts=%7B%22inventoryRateKey%22%3A%22UBh6NEbrm3oRvPz965TEQYx6yJl1TnvT4YG%2Byjorw5RM0tKsNUio4Rxug1zOzHJilcvZa8YdqqIySdppe7dolTIewZlxfjiOGz6oXLTucMvN0%2BgQ3yZPvZcoHwUFNN%2BZpcr%2F%2FNa8o9ElfN8zOYhzzZeg0X586laFpeUViPi9rxBNC36%2FzMAlIt8%2Faj9ZJwyZIvEWeildVo7nbHxIWcXPVNGysXwP9P%2F6jQTjnyKeTv%2ByqYmxSenRKFEfSHS0XO3ksOocFaHL1Wb9vQXntcm%2BDw%3D%3D%22%7D,Christiono Z.,19-May-17,8.8,Tempat yang baik untuk retret akhir pekan
1650527607-150,https://www.traveloka.com/id-id/hotel/singapore/w-singapore---sentosa-cove-sg-clean-399865?spec=22-04-2022.23-04-2022.1.1.HOTEL.399865.W%20Singapore%20-%20Sentosa%20Cove%20%28SG%20Clean%29.2&prevSearchId=1730699409382996331&loginPromo=1&contexts=%7B%22inventoryRateKey%22%3A%22UBh6NEbrm3oRvPz965TEQYx6yJl1TnvT4YG%2Byjorw5RM0tKsNUio4Rxug1zOzHJilcvZa8YdqqIySdppe7dolTIewZlxfjiOGz6oXLTucMvN0%2BgQ3yZPvZcoHwUFNN%2BZpcr%2F%2FNa8o9ElfN8zOYhzzZeg0X586laFpeUViPi9rxBNC36%2FzMAlIt8%2Faj9ZJwyZIvEWeildVo7nbHxIWcXPVNGysXwP9P%2F6jQTjnyKeTv%2ByqYmxSenRKFEfSHS0XO3ksOocFaHL1Wb9vQXntcm%2BDw%3D%3D%22%7D,indah f.,1-Oct-16,8.8,mengagumkan kami akan datang kembali untuk tinggal lagi di sini
1650527607-151,https://www.traveloka.com/id-id/hotel/singapore/w-singapore---sentosa-cove-sg-clean-399865?spec=22-04-2022.23-04-2022.1.1.HOTEL.399865.W%20Singapore%20-%20Sentosa%20Cove%20%28SG%20Clean%29.2&prevSearchId=1730699409382996331&loginPromo=1&contexts=%7B%22inventoryRateKey%22%3A%22UBh6NEbrm3oRvPz965TEQYx6yJl1TnvT4YG%2Byjorw5RM0tKsNUio4Rxug1zOzHJilcvZa8YdqqIySdppe7dolTIewZlxfjiOGz6oXLTucMvN0%2BgQ3yZPvZcoHwUFNN%2BZpcr%2F%2FNa8o9ElfN8zOYhzzZeg0X586laFpeUViPi9rxBNC36%2FzMAlIt8%2Faj9ZJwyZIvEWeildVo7nbHxIWcXPVNGysXwP9P%2F6jQTjnyKeTv%2ByqYmxSenRKFEfSHS0XO3ksOocFaHL1Wb9vQXntcm%2BDw%3D%3D%22%7D,hermawan d.,16-Sep-16,9.7,Tempat yang bagus secara keseluruhan ... proce sedikit tinggi meskipun
1650527607-152,https://www.traveloka.com/id-id/hotel/singapore/w-singapore---sentosa-cove-sg-clean-399865?spec=22-04-2022.23-04-2022.1.1.HOTEL.399865.W%20Singapore%20-%20Sentosa%20Cove%20%28SG%20Clean%29.2&prevSearchId=1730699409382996331&loginPromo=1&contexts=%7B%22inventoryRateKey%22%3A%22UBh6NEbrm3oRvPz965TEQYx6yJl1TnvT4YG%2Byjorw5RM0tKsNUio4Rxug1zOzHJilcvZa8YdqqIySdppe7dolTIewZlxfjiOGz6oXLTucMvN0%2BgQ3yZPvZcoHwUFNN%2BZpcr%2F%2FNa8o9ElfN8zOYhzzZeg0X586laFpeUViPi9rxBNC36%2FzMAlIt8%2Faj9ZJwyZIvEWeildVo7nbHxIWcXPVNGysXwP9P%2F6jQTjnyKeTv%2ByqYmxSenRKFEfSHS0XO3ksOocFaHL1Wb9vQXntcm%2BDw%3D%3D%22%7D,habsari b. u.,13-Jun-16,9.7,Layanan makanan Dan luar biasa
1650527607-153,https://www.traveloka.com/id-id/hotel/singapore/w-singapore---sentosa-cove-sg-clean-399865?spec=22-04-2022.23-04-2022.1.1.HOTEL.399865.W%20Singapore%20-%20Sentosa%20Cove%20%28SG%20Clean%29.2&prevSearchId=1730699409382996331&loginPromo=1&contexts=%7B%22inventoryRateKey%22%3A%22UBh6NEbrm3oRvPz965TEQYx6yJl1TnvT4YG%2Byjorw5RM0tKsNUio4Rxug1zOzHJilcvZa8YdqqIySdppe7dolTIewZlxfjiOGz6oXLTucMvN0%2BgQ3yZPvZcoHwUFNN%2BZpcr%2F%2FNa8o9ElfN8zOYhzzZeg0X586laFpeUViPi9rxBNC36%2FzMAlIt8%2Faj9ZJwyZIvEWeildVo7nbHxIWcXPVNGysXwP9P%2F6jQTjnyKeTv%2ByqYmxSenRKFEfSHS0XO3ksOocFaHL1Wb9vQXntcm%2BDw%3D%3D%22%7D,Beyond P.,28-Feb-16,9.1,"Kami adalah keluarga dengan 1 bayi (di bawah 2 yo tinggal selama 1 malam di hotel ini selama hari kerja. Kami sangat puas dengan pelayanan hotel. Kamar yang luas, 4-jenis suasana hati pencahayaan, wifi gratis, fasilitas gratis isi ulang, berbagai kabel charger, dan banyak lagi. kami pasti akan tinggal di hotel ini lagi selama kunjungan berikutnya ke Sentosa."
,,daryl c. w.,9-Feb-16,9.7,hotel yang sangat bagus di sentosa. Semua layanan yang sangat-sangat besar.
,,Rosalina S.,16-Feb-16,9.4,Sangat baik untuk hotel dan layanan. Saya menikmati
,,Zahid Z.,5-Apr-21,8.5,my family love it. will stay again. value for money.
,,Hazel L.,26-Apr-21,9.7,The room was spacious and comfortable and the staff went over and beyond to ensure that our stay was enjoyable!
