web-scraper-order,web-scraper-start-url,user,date,rating,review
1650535777-655,https://www.traveloka.com/id-id/hotel/singapore/shangri-la-rasa-sentosa-singapore-10619?spec=22-04-2022.23-04-2022.1.1.HOTEL.10619.Shangri-La%20Rasa%20Sentosa%2C%20Singapore.2,Didi U.,22-Jan-18,9.7,"Hotel yang tenang, nyaman buat liburan, semuanya sesuai harapan."
1650535777-657,https://www.traveloka.com/id-id/hotel/singapore/shangri-la-rasa-sentosa-singapore-10619?spec=22-04-2022.23-04-2022.1.1.HOTEL.10619.Shangri-La%20Rasa%20Sentosa%2C%20Singapore.2,Guest-mcj5sg,5-Jul-15,8.5,"Ini kali pertama kita menginap di Hotel Shangri-La's kita pilih karena ingin dekat dengan tujuan wisata kita Universal Studio,,walaupun ternyata letakNy tidak bgtu dekat tapi ada shuttle bus yang bisa antar kita ke tujuan wisata secara gratis,,yang rutin datang 10menit sekali,,suasana hotel nyaman banget,,baik para pegawaiNy,,kamarNy,,kolam renang yang langsung dekat pantai,,kebetulan kita datang di bulan puasa tapi hotel pun menyediakan makan sahur yang langsung diantar ke kamar dengan memilih menu yang sudah disediakan,,ternyata pas mknanNy datang lengkappp banget full 1 troly,,anakpun di kasih tanpa kena biaya tambahan,,dan enak2 semua,,ampe tidak ke makan semua sih sangking bykNy,,haha,,ok banget deh"
1650535777-658,https://www.traveloka.com/id-id/hotel/singapore/shangri-la-rasa-sentosa-singapore-10619?spec=22-04-2022.23-04-2022.1.1.HOTEL.10619.Shangri-La%20Rasa%20Sentosa%2C%20Singapore.2,Anonim,20-Dec-14,10,"Bagus udah pasti, dan banyak complimentary-nya. Dari hotel kita bisa jalan keluar 50 meter sudah ada shuttle bus keliling ke beberapa stop di pulau. Tapi hotel juga menyediakan shuttle bus ke VivoCity mall yang berangkat setiap 20 menit, gratis. Staf-nya ramah-ramah dan sangat membantu."
1650535777-659,https://www.traveloka.com/id-id/hotel/singapore/shangri-la-rasa-sentosa-singapore-10619?spec=22-04-2022.23-04-2022.1.1.HOTEL.10619.Shangri-La%20Rasa%20Sentosa%2C%20Singapore.2,chitra,30-Apr-22,8.5,Menginap yang luar biasa. Pasti akan memesan lagi.
1650535777-660,https://www.traveloka.com/id-id/hotel/singapore/shangri-la-rasa-sentosa-singapore-10619?spec=22-04-2022.23-04-2022.1.1.HOTEL.10619.Shangri-La%20Rasa%20Sentosa%2C%20Singapore.2,Sharon L.,27-Apr-22,8.8,"Kedua kalinya menginap di Rasa. Selesai proses check-in jam 14.57 dan diberitahu kamar belum ready karena check-in jam 3 sore. Tidak ada hotline untuk ditanyakan, pada jam 15:30 saya harus mengantri ulang line saat check-in untuk menanyakan statusnya. Saya menunggu 10 menit dalam antrean dan diberi tahu bahwa mereka akan memberi kami koktail gratis karena kamarnya masih belum siap. Pertama-tama pada 14:57, resepsionis bisa saja menawarkan koktail gratis karena dia bisa mengantisipasi penundaan! Kebersihan lantai kamar juga bisa dilakukan lebih baik. Untungnya fasilitas ramah anak-anak, porter, dan sarapan dibuat untuk pengalaman itu."
1650535777-661,https://www.traveloka.com/id-id/hotel/singapore/shangri-la-rasa-sentosa-singapore-10619?spec=22-04-2022.23-04-2022.1.1.HOTEL.10619.Shangri-La%20Rasa%20Sentosa%2C%20Singapore.2,Suriati B.,29-Mar-22,9.4,Staycay yang luar biasa dan menyenangkan. Layak perjalanan. Suka aktivitas air.
1650535777-662,https://www.traveloka.com/id-id/hotel/singapore/shangri-la-rasa-sentosa-singapore-10619?spec=22-04-2022.23-04-2022.1.1.HOTEL.10619.Shangri-La%20Rasa%20Sentosa%2C%20Singapore.2,Christoper G.,13-Mar-22,9.1,Tempat yang bagus untuk anak-anak dengan banyak kegiatan menarik!
1650535777-663,https://www.traveloka.com/id-id/hotel/singapore/shangri-la-rasa-sentosa-singapore-10619?spec=22-04-2022.23-04-2022.1.1.HOTEL.10619.Shangri-La%20Rasa%20Sentosa%2C%20Singapore.2,Megaraj,6-Mar-22,9.4,Ini adalah hari Valentine yang menyenangkan menginap di Shangri-La Rasa Sentosa. Ruangan itu luas dan jelas. Layanan ini tingkat berikutnya. Kolam renang sangat besar dan pantai bersama adalah liburan menginap yang berbeda. Sarapan terlalu enak dan enak dengan banyak pilihan. Apa yang saya katakan salah satu hotel terbaik yang saya tinggali di hotel Singapura. Ini pasti direkomendasikan untuk semua yang menginginkan liburan menginap yang menyenangkan di Singapura. Akan kembali lagi untuk tinggal lebih lama di Shangri-La Rasa Sentosa. Benar-benar pengalaman menginap yang luar biasa!
1650535777-664,https://www.traveloka.com/id-id/hotel/singapore/shangri-la-rasa-sentosa-singapore-10619?spec=22-04-2022.23-04-2022.1.1.HOTEL.10619.Shangri-La%20Rasa%20Sentosa%2C%20Singapore.2,wan y. C.,28-Feb-22,9.1,"staf yang sangat ramah, datang ke sini beberapa kali dan anak-anak saya sangat menikmati!"
1650535777-665,https://www.traveloka.com/id-id/hotel/singapore/shangri-la-rasa-sentosa-singapore-10619?spec=22-04-2022.23-04-2022.1.1.HOTEL.10619.Shangri-La%20Rasa%20Sentosa%2C%20Singapore.2,Jessica Y.,28-Dec-21,5.5,Staf hotel sangat bagus tetapi hotel ini terlalu ramai.
1650535777-666,https://www.traveloka.com/id-id/hotel/singapore/shangri-la-rasa-sentosa-singapore-10619?spec=22-04-2022.23-04-2022.1.1.HOTEL.10619.Shangri-La%20Rasa%20Sentosa%2C%20Singapore.2,tinuttha c.,2-Dec-21,10,"Cocok untuk keluarga, recomended 👍🏻."
1650535777-667,https://www.traveloka.com/id-id/hotel/singapore/shangri-la-rasa-sentosa-singapore-10619?spec=22-04-2022.23-04-2022.1.1.HOTEL.10619.Shangri-La%20Rasa%20Sentosa%2C%20Singapore.2,Teo H. X. J.,24-Nov-21,9.4,"Jauh dari rumah, serta jauh dari kota dan pekerjaan yang ramai! Itu adalah pilihan terbaik yang kami buat untuk tahun ini, untuk istirahat sejenak dari pekerjaan dan bangun dengan langit dan laut yang indah!"
1650535777-668,https://www.traveloka.com/id-id/hotel/singapore/shangri-la-rasa-sentosa-singapore-10619?spec=22-04-2022.23-04-2022.1.1.HOTEL.10619.Shangri-La%20Rasa%20Sentosa%2C%20Singapore.2,Tan S. h.,21-Nov-21,10,".<Layanan> Saya sangat senang dengan layanan yang konsisten, tulus, dan cepat yang diberikan dari meja depan, kepada tim rumah tangga, teknisi, tim yang menyenangkan, dan banyak staf di belakang layar. Saya melihat tim yang menyenangkan segera bergegas untuk merawat seorang gadis kecil di atas kayak yang tampak seperti pingsan tetapi dia benar-benar tertidur. Perhatian seperti itu memastikan para tamu merasa aman. Teknisi datang dan mengganti kunci kami dengan segera dan sopan.<Sistem TI yang efisien> Bahkan situs web TI pun mudah digunakan untuk meminta perlengkapan mandi tambahan. Sarapan Prasmanan memiliki variasi yang sangat besar dan makanan datang sangat cepat. Koneksi internet cukup cepat.<Fasilitas> Ada juga banyak kegiatan untuk tetap terlibat yang tidak akan Anda temukan di hotel lain di SG seperti perahu dayung, dayung berdiri, kayak, Tenis Meja di pasir, bulu tangkis, sepak bola pantai . Bahkan ibuku bisa melakukan kayak dan itu adalah cinta pada pandangan pertama. Juga, saya melihat tim yang menyenangkan segera bergegas untuk merawat seorang gadis kecil di atas kayak yang tampak seperti pingsan tetapi dia benar-benar tertidur. Perhatian seperti itu memastikan para tamu merasa aman. Saya suka pantai pribadi dengan banyak tempat berjemur dan area yang tenang untuk piknik dan membaca pemesanan. Ini benar-benar poin plus. Satu malam di sini benar-benar tidak pernah cukup. Anda bisa bermalas-malasan di tempat tidur dan menyaksikan matahari terbit dan pemandangan laut. Ketika pesanan pengiriman makanan kami dibatalkan, kami senang memiliki ruang makan yang memiliki makanan dan layanan yang baik. Bepergian mudah karena ada shuttle bus pulang pergi gratis ke Vivo. Merekomendasikan hotel ini kepada orang-orang yang ingin berlibur dari kota atau orang-orang dengan keluarga. Waktu check-in paling awal adalah pukul 12:00 dan tidak ada perpanjangan waktu untuk check-out lebih lambat, tergantung ketersediaan."
1650535777-669,https://www.traveloka.com/id-id/hotel/singapore/shangri-la-rasa-sentosa-singapore-10619?spec=22-04-2022.23-04-2022.1.1.HOTEL.10619.Shangri-La%20Rasa%20Sentosa%2C%20Singapore.2,Liew W. L. J.,16-Nov-21,8.4,"Untuk harga saya merasa Anda bisa mendapatkan kamar yang lebih baik di tempat lain, kamar tua dan AC tidak dingin. Tetapi jika Anda suka pantai/kolam renang/pantai/kolam renang ini adalah satu-satunya tempat di SG lol. Layanan sisi kolam renang/pantai adalah 👍🏻."
1650535777-670,https://www.traveloka.com/id-id/hotel/singapore/shangri-la-rasa-sentosa-singapore-10619?spec=22-04-2022.23-04-2022.1.1.HOTEL.10619.Shangri-La%20Rasa%20Sentosa%2C%20Singapore.2,Quek M. T. J.,13-Nov-21,5.3,"Kesulitan mengamankan fasilitas penting untuk bayi. Pengalaman menegangkan untuk sebuah hotel yang konon dikenal ramah anak. Keuntungan utama adalah bahwa staf layanan hotel sopan dan membantu ketika kami meminta bantuan. Itu juga bagus bahwa hotel memiliki pantai pribadi yang terhubung ke kolam renang. Saya menelepon beberapa kali sebelum saya menginap dan mengkonfirmasi lagi pada saat check-in untuk memeriksa bahwa mereka memiliki tempat tidur bayi, kursi tinggi, dan alat sterilisasi botol untuk anak saya. Saat check-in, hanya ada kursi tinggi (tanpa meja yang terpasang) di kamar. Saya segera menelepon layanan kamar tetapi diberitahu bahwa kami mungkin tidak memiliki ranjang bayi karena kekurangan. Ini memberi saya kejutan yang buruk karena saya tidak tahu di mana bayi saya bisa tidur. Untungnya cot dikirim ke kamar saya setelah beberapa saat. Sterilisator botol tidak pernah tiba sehingga tidak ada cara untuk mensterilkan makanan pada hari pertama. Harus menunggu hingga hari ke-2 untuk meminta lagi. Kursi tinggi datang tanpa meja sehingga sulit untuk memberi makan bayi. Peralatan makan anak yang diberikan terlalu besar dan untuk anak yang lebih besar sehingga keluarga dengan bayi perlu menyiapkan Peralatan. Tinggal di beberapa hotel sebelumnya dengan bayi dan ini adalah pertama kalinya kami harus terus menelepon dan meminta fasilitas bayi dasar bahkan setelah saya sudah memasukkan permintaan saya di awal pemesanan saya dan menelepon beberapa kali sebelum kedatangan. Cukup melelahkan bagi orang tua dengan bayi karena ini adalah fasilitas tingkat ""kelangsungan hidup"" yang kita butuhkan untuk bayi kecil. Ini dibandingkan dengan hotel lain, di mana saya hanya perlu menunjukkan sekali sebelum kedatangan dan itu akan diatur ketika saya check in. Saya juga menunjukkan bahwa kami merayakan ulang tahun. Tidak terasa istimewa karena hanya ada sepotong kue kecil di mini bar. Ini mungkin bukan tempat untuk merayakan acara-acara khusus. Kami baik-baik saja bahwa fasilitas hotel sudah ketinggalan zaman tetapi ""aspek lunak"" dari seluruh pengalaman tidak sesuai dengan nama merek."
1650535777-671,https://www.traveloka.com/id-id/hotel/singapore/shangri-la-rasa-sentosa-singapore-10619?spec=22-04-2022.23-04-2022.1.1.HOTEL.10619.Shangri-La%20Rasa%20Sentosa%2C%20Singapore.2,Gracia C.,12-Nov-21,8.8,"Resor Terbaik di Singapura untuk Wisatawan Keluarga! Pantai Pribadi, Kolam Renang Menyenangkan, Kayak semuanya luar biasa! Perlu perbaikan pada Sarapan Gratis."
1650535777-672,https://www.traveloka.com/id-id/hotel/singapore/shangri-la-rasa-sentosa-singapore-10619?spec=22-04-2022.23-04-2022.1.1.HOTEL.10619.Shangri-La%20Rasa%20Sentosa%2C%20Singapore.2,Ollie L.,4-Nov-21,9.1,"Hotel keluarga pasti! Layanan hebat dari check-in, semua staf ramah. Banyak kegiatan yang harus dilakukan. Penyebaran prasmanan sangat baik?"
1650535777-673,https://www.traveloka.com/id-id/hotel/singapore/shangri-la-rasa-sentosa-singapore-10619?spec=22-04-2022.23-04-2022.1.1.HOTEL.10619.Shangri-La%20Rasa%20Sentosa%2C%20Singapore.2,Bryan S.,4-Nov-21,8.8,"Properti tua tetapi harus dikatakan, terawat dengan baik. Tidak ada yang mogok. Kamar tua yang sederhana tapi pemandangannya fantastis. Penyebaran sarapan di atas harapan saya, kualitas dan variasi yang sangat baik."
1650535777-674,https://www.traveloka.com/id-id/hotel/singapore/shangri-la-rasa-sentosa-singapore-10619?spec=22-04-2022.23-04-2022.1.1.HOTEL.10619.Shangri-La%20Rasa%20Sentosa%2C%20Singapore.2,Chow J. H.,1-Nov-21,8.5,"Ini pasti cocok untuk menginap keluarga, anak-anak bersenang-senang di kolam renang dan pantai. Kamarnya nyaman, dan tenda di kamar untuk anak menyenangkan."
1650535777-675,https://www.traveloka.com/id-id/hotel/singapore/shangri-la-rasa-sentosa-singapore-10619?spec=22-04-2022.23-04-2022.1.1.HOTEL.10619.Shangri-La%20Rasa%20Sentosa%2C%20Singapore.2,Fifi S.,14-Oct-21,8.5,"Itu bagus! Saya suka pemandangan dari kamar saya siang dan malam itu santai membuat saya merasa seperti berada di luar negeri untuk sementara waktu. Saya suka fakta bahwa hotel ini juga untuk anak-anak! Banyak kegiatan yang dapat dilakukan di hotel untuk anak-anak. Terima kasih Rasa Sentosa, kami akan kembali lagi ."
1650535777-676,https://www.traveloka.com/id-id/hotel/singapore/shangri-la-rasa-sentosa-singapore-10619?spec=22-04-2022.23-04-2022.1.1.HOTEL.10619.Shangri-La%20Rasa%20Sentosa%2C%20Singapore.2,Rozita B. m.,10-Oct-21,10,"Layanan luar biasa oleh rasa sentosa Shangri-La resort. Tidak percaya kami memiliki resor pintu seperti itu di negara kami sendiri, Singapura. Pasti akan datang lagi."
1650535777-677,https://www.traveloka.com/id-id/hotel/singapore/shangri-la-rasa-sentosa-singapore-10619?spec=22-04-2022.23-04-2022.1.1.HOTEL.10619.Shangri-La%20Rasa%20Sentosa%2C%20Singapore.2,Steven O.,9-Oct-21,9.4,"Bersenang-senang dengan kegiatan air gratis. Meskipun gerimis, kami berhasil kayak, naik perahu dayung dan bermain bola voli. Kamar sudah siap untuk check-in sekitar pukul 13:30 dan bus antar-jemput tersedia untuk membawa kami ke hotel dari halte bus Harbourfront Exit D. Direkomendasikan untuk keluarga/pasangan."
1650535777-678,https://www.traveloka.com/id-id/hotel/singapore/shangri-la-rasa-sentosa-singapore-10619?spec=22-04-2022.23-04-2022.1.1.HOTEL.10619.Shangri-La%20Rasa%20Sentosa%2C%20Singapore.2,Alex y.,3-Oct-21,5.4,"Benar-benar kecewa dengan bagaimana reservasi saya ditangani, pesanan tidak dibuat pada saat kedatangan, bahkan ditugaskan ke kamar dengan pemandangan yang sangat berbeda karena kapasitas penuh; Bahkan ketika saya mendapat konfirmasi dari aplikasi yang menyatakan hak kamar saya."
1650535777-679,https://www.traveloka.com/id-id/hotel/singapore/shangri-la-rasa-sentosa-singapore-10619?spec=22-04-2022.23-04-2022.1.1.HOTEL.10619.Shangri-La%20Rasa%20Sentosa%2C%20Singapore.2,Lucas C. J. H.,1-Oct-21,8.5,Bagus untuk menginap singkat di tepi pantai. Staf yang bertanya-tanya dan layanan hebat. Lingkungan hijau yang indah dan lingkungan yang bersih. Sarapan yang lezat juga!
1650535777-680,https://www.traveloka.com/id-id/hotel/singapore/shangri-la-rasa-sentosa-singapore-10619?spec=22-04-2022.23-04-2022.1.1.HOTEL.10619.Shangri-La%20Rasa%20Sentosa%2C%20Singapore.2,Muhammad I. N. B. K.,29-Sep-21,9.7,Anggota staf sangat ramah dan membantu. Kolam renang sangat bagus. Banyak kegiatan untuk si kecil. Hanya downsight adalah kami memesan waktu pantai selama air surut dan kami tidak bisa mencoba mendayung berdiri. Tapi pengalaman keseluruhan sangat bagus. Pertahankan kerja bagus shang ri la!
1650535777-681,https://www.traveloka.com/id-id/hotel/singapore/shangri-la-rasa-sentosa-singapore-10619?spec=22-04-2022.23-04-2022.1.1.HOTEL.10619.Shangri-La%20Rasa%20Sentosa%2C%20Singapore.2,Paul T.,27-Sep-21,9.4,Ruangan itu bersih dan pemandangannya menakjubkan. Staf yang sangat ramah dan penuh perhatian. Anak saya bersenang-senang di kolam renang dan pantai.
1650535777-682,https://www.traveloka.com/id-id/hotel/singapore/shangri-la-rasa-sentosa-singapore-10619?spec=22-04-2022.23-04-2022.1.1.HOTEL.10619.Shangri-La%20Rasa%20Sentosa%2C%20Singapore.2,Teo X. Y.,23-Sep-21,9.3,Layanan tamu sangat mengagumkan. Rasa Sentosa cocok untuk keluarga dengan anak-anak karena ada banyak kegiatan yang tersedia untuk hiburan anak-anak.
1650535777-683,https://www.traveloka.com/id-id/hotel/singapore/shangri-la-rasa-sentosa-singapore-10619?spec=22-04-2022.23-04-2022.1.1.HOTEL.10619.Shangri-La%20Rasa%20Sentosa%2C%20Singapore.2,UNTUNG E. R.,8-Sep-21,9.7,Proses check in relatif mudah dan fasilitas yang tersedia di hotel luar biasa.
1650535777-684,https://www.traveloka.com/id-id/hotel/singapore/shangri-la-rasa-sentosa-singapore-10619?spec=22-04-2022.23-04-2022.1.1.HOTEL.10619.Shangri-La%20Rasa%20Sentosa%2C%20Singapore.2,Joanne C.,7-Sep-21,9.7,"Kamar luas yang cocok dengan tempat tidur king dan tempat tidur sofa. Terlepas dari 30 menit menunggu untuk check-in, di mana mereka menawarkan minuman kepada para tamu dalam antrian, semuanya luar biasa. Layanan sempurna dan kami tidak sabar menunggu liburan kami berikutnya di Shangri-la Sentosa!"
1650535777-685,https://www.traveloka.com/id-id/hotel/singapore/shangri-la-rasa-sentosa-singapore-10619?spec=22-04-2022.23-04-2022.1.1.HOTEL.10619.Shangri-La%20Rasa%20Sentosa%2C%20Singapore.2,Chua K. H.,3-Sep-21,9.4,Umumnya menikmati saya tinggal. Makan malam ala carte dan sarapannya enak. Seperti pemandangan laut dari balkon.
1650535777-686,https://www.traveloka.com/id-id/hotel/singapore/shangri-la-rasa-sentosa-singapore-10619?spec=22-04-2022.23-04-2022.1.1.HOTEL.10619.Shangri-La%20Rasa%20Sentosa%2C%20Singapore.2,Ger S.,2-Sep-21,9.4,Area kolam sangat bagus untuk anak-anak dan sarapannya juga enak. Meskipun kami hanya bisa mendapatkan 1/2 jam kemudian check out tetapi anak saya sangat menikmati masa tinggalnya!
1650535777-687,https://www.traveloka.com/id-id/hotel/singapore/shangri-la-rasa-sentosa-singapore-10619?spec=22-04-2022.23-04-2022.1.1.HOTEL.10619.Shangri-La%20Rasa%20Sentosa%2C%20Singapore.2,YUN H. P.,31-Aug-21,6.1,Sangat disayangkan untuk menyaksikan toilet yang tidak terawat. Pipa air tidak tersambung sama sekali. Tim perbaikan membutuhkan sekitar setengah jam untuk mengurangi masalah ini.
1650535777-688,https://www.traveloka.com/id-id/hotel/singapore/shangri-la-rasa-sentosa-singapore-10619?spec=22-04-2022.23-04-2022.1.1.HOTEL.10619.Shangri-La%20Rasa%20Sentosa%2C%20Singapore.2,Muneira L.,25-Aug-21,10,"Sangat dibutuhkan istirahat staycay. Pasti kembali ke hotel yang indah ini! Layanan hebat ketika saya check-in dengan nama staf resepsi tamu Nurul, dia menjelaskan kepada saya semua detail dan prosedur check-in memberi saya banyak info yang saya butuhkan dan ditambah check out terlambat dan kamar dengan pemandangan laut dan kolam renang yang indah! Sarapan dikirim ke kamar kami, luas dan bersih! Terima kasih Shangri-la untuk pengalaman menginap dan layanan yang luar biasa!"
1650535777-689,https://www.traveloka.com/id-id/hotel/singapore/shangri-la-rasa-sentosa-singapore-10619?spec=22-04-2022.23-04-2022.1.1.HOTEL.10619.Shangri-La%20Rasa%20Sentosa%2C%20Singapore.2,Tan J. H.,20-Aug-21,10,"Ruangan itu bersih, penuh perhatian staf. Sarapan yang baik dengan pemandangan yang bagus."
1650535777-690,https://www.traveloka.com/id-id/hotel/singapore/shangri-la-rasa-sentosa-singapore-10619?spec=22-04-2022.23-04-2022.1.1.HOTEL.10619.Shangri-La%20Rasa%20Sentosa%2C%20Singapore.2,Norisah M. T.,9-Aug-21,8.5,Layanan check in sangat luar biasa. Saya dihadiri oleh Nina. Dia sopan dan membantu dan ramah. Dia membantu saya dengan deklarasi kesehatan dan pemesanan kegiatan. Dia membuatku merasa diterima?
1650535777-691,https://www.traveloka.com/id-id/hotel/singapore/shangri-la-rasa-sentosa-singapore-10619?spec=22-04-2022.23-04-2022.1.1.HOTEL.10619.Shangri-La%20Rasa%20Sentosa%2C%20Singapore.2,yuting z.,7-Aug-21,8.5,Buku waktu ke-2. Suka hotel ini.
1650535777-692,https://www.traveloka.com/id-id/hotel/singapore/shangri-la-rasa-sentosa-singapore-10619?spec=22-04-2022.23-04-2022.1.1.HOTEL.10619.Shangri-La%20Rasa%20Sentosa%2C%20Singapore.2,Yusmaini,12-Jul-21,9.7,Ini adalah kali kedua kami dan kami bersenang-senang! Kami akan kembali untuk lebih pasti. Terima kasih Pak Nick manajer residen dan sekretarisnya yang luar biasa Ms. Nur untuk semuanya.
1650535777-693,https://www.traveloka.com/id-id/hotel/singapore/shangri-la-rasa-sentosa-singapore-10619?spec=22-04-2022.23-04-2022.1.1.HOTEL.10619.Shangri-La%20Rasa%20Sentosa%2C%20Singapore.2,Muhammad Y. B. A. B.,6-Jul-21,9.4,"Hotel ini sangat ramah anak, banyak kegiatan disiapkan untuk anak-anak. Meskipun perlu memastikan Anda memesan di muka karena saya tidak bisa membiarkan anak-anak saya berpartisipasi di taman bermain anak-anak karena semuanya sudah penuh dipesan. Selain itu, staf hotel sangat ramah. Staf di restoran juga menunjukkan layanan pelanggan yang sangat baik."
1650535777-694,https://www.traveloka.com/id-id/hotel/singapore/shangri-la-rasa-sentosa-singapore-10619?spec=22-04-2022.23-04-2022.1.1.HOTEL.10619.Shangri-La%20Rasa%20Sentosa%2C%20Singapore.2,ANG M. S. A.,1-Jul-21,9.1,Kami memiliki pengalaman menginap yang menyenangkan dan staf pramutamu sepenuhnya memahami kebutuhan kami sebagai keluarga dengan dua anak yang sangat muda. Manajemen kerumunan untuk fasilitas dikelola dengan baik. Sangat dianjurkan!
1650535777-695,https://www.traveloka.com/id-id/hotel/singapore/shangri-la-rasa-sentosa-singapore-10619?spec=22-04-2022.23-04-2022.1.1.HOTEL.10619.Shangri-La%20Rasa%20Sentosa%2C%20Singapore.2,Maryanne S.,25-Jun-21,9.4,Sempurna untuk liburan keluarga! Kolam renang dan pantai dapat membuat anak-anak sibuk sepanjang hari. Makanan juga sangat baik.
1650535777-696,https://www.traveloka.com/id-id/hotel/singapore/shangri-la-rasa-sentosa-singapore-10619?spec=22-04-2022.23-04-2022.1.1.HOTEL.10619.Shangri-La%20Rasa%20Sentosa%2C%20Singapore.2,Ho Wei j.,4-Jun-21,6.9,Kulkas bar benar-benar tidak berfungsi dan kami tidak dapat menikmati minuman dingin. Tapi saya masih harus mengatakan sarapannya enak!
1650535777-697,https://www.traveloka.com/id-id/hotel/singapore/shangri-la-rasa-sentosa-singapore-10619?spec=22-04-2022.23-04-2022.1.1.HOTEL.10619.Shangri-La%20Rasa%20Sentosa%2C%20Singapore.2,NGO J. H.,28-May-21,8.8,Menginap yang menyenangkan. Fasilitas pantai dan kolam renang bagus tetapi dapat ditingkatkan (lebih banyak pelampung dll). Kamar agak tua tetapi melayani tujuannya.
1650535777-698,https://www.traveloka.com/id-id/hotel/singapore/shangri-la-rasa-sentosa-singapore-10619?spec=22-04-2022.23-04-2022.1.1.HOTEL.10619.Shangri-La%20Rasa%20Sentosa%2C%20Singapore.2,Angeline T.,27-May-21,9.7,"Menginap adalah salah satu yang terbaik yang pernah saya miliki. Mereka berusaha keras untuk membuat masa tinggal menyenangkan, dan melakukan yang terbaik untuk memenuhi kebutuhan kita. Sarapan juga indah."
1650535777-699,https://www.traveloka.com/id-id/hotel/singapore/shangri-la-rasa-sentosa-singapore-10619?spec=22-04-2022.23-04-2022.1.1.HOTEL.10619.Shangri-La%20Rasa%20Sentosa%2C%20Singapore.2,Thesar M. Z.,20-May-21,8.8,"Secara keseluruhan kami menikmati staycation kami! Kami tinggal selama Fase 2 Peringatan Ketinggian di mana makan tidak diperbolehkan, area ini sangat kosong yang bagus untuk ukuran jarak yang aman. Salah satu kelemahannya adalah banyak burung di area balkon kadang-kadang mereka akan meninggalkan sebagian kotorannya."
