order,web-scraper-order,web-scraper-start-url,pagination,user,date,review
21,1650604794-21,https://www.traveloka.com/id-id/hotel/singapore/resorts-world-sentosa---hotel-michael-1000000504700?spec=23-04-2022.24-04-2022.1.1.HOTEL.1000000504700.Resorts%20World%20Sentosa%20-%20Hotel%20Michael.2,,Ng Shu X.,28-Dec-21,"Room and facilities were okay but service was poor/not up to expectation. 1) Baby cot reservation. Upon booking the stay on the website, I called up RWS to reserve a cot but it seems like this request was not told/indicated in their system as the hotel recep wasn't aware of it. 2) I also told the call operator that this stay was meant to celebrate my son's first birthday and if we could request some deco. The operator told us it's possible but deco will be simple (basically deco the room with some balloons). Well, nothing happened during our stay … …. 3) Non-smoking room/king bed. All these were requested during the booking on the website. I even went to RWS website to book a check-in time slot between 12 to 12.59pm. During the check-in, recep told us only left with smoking rooms and if we wanted non-smoking room, we had to wait till 3pm. We agreed and confirmed on a non-smoking room with king bed. Guess what? We came at 4pm (gave them more time to prepare) and was given non-smoking but double-bed room. To be fair, these were resolved eventually but I believe all these could have been avoided if the staff were more attentive towards customers’ requests/needs."
22,1650604794-22,https://www.traveloka.com/id-id/hotel/singapore/resorts-world-sentosa---hotel-michael-1000000504700?spec=23-04-2022.24-04-2022.1.1.HOTEL.1000000504700.Resorts%20World%20Sentosa%20-%20Hotel%20Michael.2,,Kristine P.,26-Dec-21,Waiting time too long waited for 4.5hrs. Intended to have an early check-in so I make a slot on the hotel website to reach at 12pm. But turn out that check-in to the room timing is at 430pm. Hotel check-in counter area are full people not really got any safe distancing.
23,1650604794-23,https://www.traveloka.com/id-id/hotel/singapore/resorts-world-sentosa---hotel-michael-1000000504700?spec=23-04-2022.24-04-2022.1.1.HOTEL.1000000504700.Resorts%20World%20Sentosa%20-%20Hotel%20Michael.2,,Nur M.,24-Dec-21,"Had our most awaited staycation in SG at this hotel. There 's expected restrictions due to the pandemic, but everything was smooth. Nested near the Imbiah station, giving easy access to many attractions. Service was good & quick."
24,1650604794-24,https://www.traveloka.com/id-id/hotel/singapore/resorts-world-sentosa---hotel-michael-1000000504700?spec=23-04-2022.24-04-2022.1.1.HOTEL.1000000504700.Resorts%20World%20Sentosa%20-%20Hotel%20Michael.2,,Tay M. S. J.,24-Dec-21,The hotel was near to food places and train station. Happy with my stay!
25,1650604794-25,https://www.traveloka.com/id-id/hotel/singapore/resorts-world-sentosa---hotel-michael-1000000504700?spec=23-04-2022.24-04-2022.1.1.HOTEL.1000000504700.Resorts%20World%20Sentosa%20-%20Hotel%20Michael.2,,Law Y. F.,17-Dec-21,"1. Aircon unit too noisy that disturbed the night sleeping, even turned down the fan speed to lowest. 2. Changing of TV channel is way too slow in respond by the remote control! 3. Neighboring 's child shouting all night long and the door seem no sound insulation purpose at all!"
26,1650604794-26,https://www.traveloka.com/id-id/hotel/singapore/resorts-world-sentosa---hotel-michael-1000000504700?spec=23-04-2022.24-04-2022.1.1.HOTEL.1000000504700.Resorts%20World%20Sentosa%20-%20Hotel%20Michael.2,,Yap l. l. E.,17-Dec-21,"Everything was good, except the check-in process. Waited almost 3 hours from the time I got my queue number at 1pm. 3 counters were opened but only 1 counter was serving the queue. If you want to check in to this hotel, best to do it after 6pm when the crowds have thinned out and the rooms are ready."
27,1650604794-27,https://www.traveloka.com/id-id/hotel/singapore/resorts-world-sentosa---hotel-michael-1000000504700?spec=23-04-2022.24-04-2022.1.1.HOTEL.1000000504700.Resorts%20World%20Sentosa%20-%20Hotel%20Michael.2,,Sophia M. K. E.,13-Dec-21,Waited for 2 plus hours to check in and 1 hours hours for room key.
28,1650604794-28,https://www.traveloka.com/id-id/hotel/singapore/resorts-world-sentosa---hotel-michael-1000000504700?spec=23-04-2022.24-04-2022.1.1.HOTEL.1000000504700.Resorts%20World%20Sentosa%20-%20Hotel%20Michael.2,,JESSIE K.,12-Dec-21,"I'm impressed with the staff at front desk. It was overwhelming with guests from morning till late afternoon, but they kept their cool, answering our queries patiently and tending to our frustrations with gentle smiles. I didn't take their names but checked-in on 9/12/21. Each guest was given a very presentable & sincerely-curated care pack. The rooms are big, spacious and very clean. The bed and pillows are so comfortable! A very environmentally-friendly hotel too, with drinking water in box carton instead of plastic bottles. House-keeping was efficient as well. A very satisfying & comfortable stay, thank you Hotel Micheal!"
29,1650604794-29,https://www.traveloka.com/id-id/hotel/singapore/resorts-world-sentosa---hotel-michael-1000000504700?spec=23-04-2022.24-04-2022.1.1.HOTEL.1000000504700.Resorts%20World%20Sentosa%20-%20Hotel%20Michael.2,,Toh S. Q.,11-Dec-21,"Check in process took about an hour for a weekday on Tuesday. Apart from that, the stay was enjoyable as the location is very prime being close distance to most of the attractions at sentosa."
30,1650604794-30,https://www.traveloka.com/id-id/hotel/singapore/resorts-world-sentosa---hotel-michael-1000000504700?spec=23-04-2022.24-04-2022.1.1.HOTEL.1000000504700.Resorts%20World%20Sentosa%20-%20Hotel%20Michael.2,,Janice A.,5-Dec-21,Pleasant experience. The kids like it.
31,1650604794-31,https://www.traveloka.com/id-id/hotel/singapore/resorts-world-sentosa---hotel-michael-1000000504700?spec=23-04-2022.24-04-2022.1.1.HOTEL.1000000504700.Resorts%20World%20Sentosa%20-%20Hotel%20Michael.2,,Lee C. Y.,4-Dec-21,Is was very disappoint that the check in on the 1 Dec 2021 is very bad till we waited till 5pm which have make us waited for 2hr when the check in is 3pm. Me and family do have do some planning which suppose to go for some Sentosa visit which the time have delayed us abs not possible to go. Hope this do not happen again for other which people come for holiday is suppose to be happy and spend the maximum time with family. Not come here to wait and people would rather to pay more is to enjoy.
32,1650604794-32,https://www.traveloka.com/id-id/hotel/singapore/resorts-world-sentosa---hotel-michael-1000000504700?spec=23-04-2022.24-04-2022.1.1.HOTEL.1000000504700.Resorts%20World%20Sentosa%20-%20Hotel%20Michael.2,,Mohamed K. B. A.,3-Dec-21,"Room did not smell great and the amenities were not fully replenished. Otherwise, it was an OKAY stay but definitely did not meet my expectation as compared to my stay at other RWS hotels. However, check-in was fuss free as it was done digitally. And housekeeping did their part to send the missing items when we called them about it. Hope this review would help!"
33,1650604794-33,https://www.traveloka.com/id-id/hotel/singapore/resorts-world-sentosa---hotel-michael-1000000504700?spec=23-04-2022.24-04-2022.1.1.HOTEL.1000000504700.Resorts%20World%20Sentosa%20-%20Hotel%20Michael.2,,CHAN X. L.,1-Dec-21,"The check in process was horrible. We queued for 1 hour to check in and left our luggage with the conceirge and went USS. We were told by the check in counter tat we need not queue when we return to collect keys later around 130 pm. At Ard 4 plus, we went back to collect keys but were told to join the long queue for check in! It was ridiculous."
34,1650604794-34,https://www.traveloka.com/id-id/hotel/singapore/resorts-world-sentosa---hotel-michael-1000000504700?spec=23-04-2022.24-04-2022.1.1.HOTEL.1000000504700.Resorts%20World%20Sentosa%20-%20Hotel%20Michael.2,,Chan W.,1-Dec-21,"We booked this hotel for our wedding anniversary celebration. I have indicated that when I book the hotel many many months back. I also requested that upon my check-in. They said they will do something but nothing happened. When we ask, they said they stop anniversary decoration since Covid (which is not true because I saw another review in Oct 2021 that they did have some simple deco for their room). The booking of check-in time is completely useless. Because you still need to queue or take a queue no. I have registered my room at 9:30 am and we went off to adventure cove, when we came back at 5 pm, we still have to queue for 30 mins to get our key! The machine for getting queue no for collecting key is not working! In the evening, we wanted to ask for a bottle opener, called for 20 mins, no one answer the call. We went down to ask for a bottle opener, it comes shortly but we need to use it and return it on the spot."
35,1650604794-35,https://www.traveloka.com/id-id/hotel/singapore/resorts-world-sentosa---hotel-michael-1000000504700?spec=23-04-2022.24-04-2022.1.1.HOTEL.1000000504700.Resorts%20World%20Sentosa%20-%20Hotel%20Michael.2,,Mariam B. M.,30-Nov-21,The hotel room is comfortable and clean.
36,1650604794-36,https://www.traveloka.com/id-id/hotel/singapore/resorts-world-sentosa---hotel-michael-1000000504700?spec=23-04-2022.24-04-2022.1.1.HOTEL.1000000504700.Resorts%20World%20Sentosa%20-%20Hotel%20Michael.2,,Tan K.,29-Nov-21,"Worst staycation ever, don't bother wasting your time and money here. Upon reaching the hotel at 3.30pm (our check in slot booked online was 4pm-4.59pm), we were issued a queue number for check-in and was told the wait is approximately 1.5hrs, which I feel it's quite reasonable (as it's school holidays). At 5.10pm we went back to the hotel to our dismay it's not even close to our number. Fine… we went for dinner, after our dinner close to 7pm our queue number has yet to appear on screen, as patience is running out we went to join a queue at the hotel recep to find out the situation and finally got our keys. Upon check in we requested for late check out and the staff offered us to check out at 12pm, which is unreasonable for the price we are paying and the whole afternoon we've wasted? However we requested to check out at 3pm and they agreed on it. But the next day, we couldn't gain access to our room slightly aft 2pm so we went to the receptionist to verify the situation they couldn't find the records after we have spend our night in the room, shortly after I was told that our room has been check out. 🤦🏼‍♀️ (Our luggage is still inside the room.) However the lady assisted on this issue was very nice and smiley we manage to resolve the issue within 10mins (including the wait for my turn). To sum up everything, if you intend to stay at this hotel, please brace yourself to pay for a stay full of hiccups and a long waiting game. Good luck. On the bright side, room is clean and spacious even with a baby cot, room service is efficient and staff is smiley. Location is perfect. P. S. Given the price you're paying I'm sure you get a different hotel with better service and shorter waiting time."
37,1650604794-37,https://www.traveloka.com/id-id/hotel/singapore/resorts-world-sentosa---hotel-michael-1000000504700?spec=23-04-2022.24-04-2022.1.1.HOTEL.1000000504700.Resorts%20World%20Sentosa%20-%20Hotel%20Michael.2,,Rick K.,27-Nov-21,"Very conveniently located, easy access to monorail, USS, Sea Aquarium and shops."
38,1650604794-38,https://www.traveloka.com/id-id/hotel/singapore/resorts-world-sentosa---hotel-michael-1000000504700?spec=23-04-2022.24-04-2022.1.1.HOTEL.1000000504700.Resorts%20World%20Sentosa%20-%20Hotel%20Michael.2,,Ng Swee K.,26-Nov-21,"Very bad experience with my stay. There was totally no WIFI in my room at all and despite raising this issue 4-5 times to the staffs, nothing was being done except for telling me that the technicians would need to troubleshoot and they would contact if there was a need to change to my room. Totally no one contacted me at all. In addition, there was also foul smell from the cabinet that housed the mini fridge. Will not stay at this hotel again!"
39,1650604794-39,https://www.traveloka.com/id-id/hotel/singapore/resorts-world-sentosa---hotel-michael-1000000504700?spec=23-04-2022.24-04-2022.1.1.HOTEL.1000000504700.Resorts%20World%20Sentosa%20-%20Hotel%20Michael.2,,Shannon Y.,23-Nov-21,Room was more spacious than in photos.
40,1650604794-40,https://www.traveloka.com/id-id/hotel/singapore/resorts-world-sentosa---hotel-michael-1000000504700?spec=23-04-2022.24-04-2022.1.1.HOTEL.1000000504700.Resorts%20World%20Sentosa%20-%20Hotel%20Michael.2,,Mariam B. M.,21-Nov-21,Services are good. The counter staff very polite and professional. The room and toilet are very clean and well kept.
41,1650604794-41,https://www.traveloka.com/id-id/hotel/singapore/resorts-world-sentosa---hotel-michael-1000000504700?spec=23-04-2022.24-04-2022.1.1.HOTEL.1000000504700.Resorts%20World%20Sentosa%20-%20Hotel%20Michael.2,,Quek S. C.,21-Nov-21,"Room is spacious and clean but the furnishing could use a little face-lift as it looks a bit dated. Staff are friendly and location is near a monorail station. Overall, still good."
42,1650604794-42,https://www.traveloka.com/id-id/hotel/singapore/resorts-world-sentosa---hotel-michael-1000000504700?spec=23-04-2022.24-04-2022.1.1.HOTEL.1000000504700.Resorts%20World%20Sentosa%20-%20Hotel%20Michael.2,,Tracy T.,19-Nov-21,"The hotel is clean and comfortable. One downside though, is the check-in procedure. Too slow and there was a long line waiting for check-in. The self check-in machine wasn't working either. Overall still a good stay despite the small hiccup."
43,1650604794-43,https://www.traveloka.com/id-id/hotel/singapore/resorts-world-sentosa---hotel-michael-1000000504700?spec=23-04-2022.24-04-2022.1.1.HOTEL.1000000504700.Resorts%20World%20Sentosa%20-%20Hotel%20Michael.2,,Chong,16-Nov-21,"Great location, room is clean and decent sized with a small balcony. Would have preferred a bathroom door that is lockable and a door for the shower rather than a shower curtain. Self check in process was simple and hassle free and with sms notification when room key was ready for collection. Pool is rather small with a separate jacuzzi pool but the total pax restriction was good so that its not too crowded, but also making it harder to book. Overall experience was good and would stay there again."
44,1650604794-44,https://www.traveloka.com/id-id/hotel/singapore/resorts-world-sentosa---hotel-michael-1000000504700?spec=23-04-2022.24-04-2022.1.1.HOTEL.1000000504700.Resorts%20World%20Sentosa%20-%20Hotel%20Michael.2,,Tan,15-Nov-21,"Check in was very slow. Took about 1.5hr. We went to the beach the next morning and had some sand on the room floor because of our shoes. We requested the hsekeeping. But when my husband came back at around 3plus, the floor was still sandy. As the housekeeping guys were at the corridor, my husband asked him to help vacuum the room again. When we went back, the floor was still the same and I accidentally found a bottle cover on the floor so I assumed my room floor was not clean up at all."
45,1650604794-45,https://www.traveloka.com/id-id/hotel/singapore/resorts-world-sentosa---hotel-michael-1000000504700?spec=23-04-2022.24-04-2022.1.1.HOTEL.1000000504700.Resorts%20World%20Sentosa%20-%20Hotel%20Michael.2,,Soo S. L. A.,15-Nov-21,"The room is clean and very spacious, good for a family with 2 children below the age of 12, size wise. However, the downside was that the check-in is unreasonably long over counters, unless you use the self check-in kisok. But even after check-in, the room was not ready for another 1hr+. Wifi reception was relatively weak but acceptable. Other than that, location of hotel is superb."
46,1650604794-46,https://www.traveloka.com/id-id/hotel/singapore/resorts-world-sentosa---hotel-michael-1000000504700?spec=23-04-2022.24-04-2022.1.1.HOTEL.1000000504700.Resorts%20World%20Sentosa%20-%20Hotel%20Michael.2,,HUANG X.,14-Nov-21,"Check in was a breeze. Front desk, concierge and house keeping were friendly. Guard at the pool was friendly and knowledgeable. Room is big and spacious."
47,1650604794-47,https://www.traveloka.com/id-id/hotel/singapore/resorts-world-sentosa---hotel-michael-1000000504700?spec=23-04-2022.24-04-2022.1.1.HOTEL.1000000504700.Resorts%20World%20Sentosa%20-%20Hotel%20Michael.2,,Tan X.,12-Nov-21,"Self check in before 1pm, manage to get high floor but unable to get Queen size bed. Overall good stay."
48,1650604794-48,https://www.traveloka.com/id-id/hotel/singapore/resorts-world-sentosa---hotel-michael-1000000504700?spec=23-04-2022.24-04-2022.1.1.HOTEL.1000000504700.Resorts%20World%20Sentosa%20-%20Hotel%20Michael.2,,Khng H. P.,9-Nov-21,"Checking in was very efficient and we did not have to wait long. The room was very spacious. The screening of hotel guests at the lift lobby whenever we returned to our room was a bit of inconvenient. However, the staff manning the lift lobby were all very friendly, always ready with a friendly banter or greeting, making it kind of enjoyable process."
49,1650604794-49,https://www.traveloka.com/id-id/hotel/singapore/resorts-world-sentosa---hotel-michael-1000000504700?spec=23-04-2022.24-04-2022.1.1.HOTEL.1000000504700.Resorts%20World%20Sentosa%20-%20Hotel%20Michael.2,,Junie L.,6-Nov-21,"Spacious room, wider beds than normal and great location. Some furniture does look old, the wardrobes stank and the pillows smelt kind of musty, but overall still good. View from the 8th floor was nice."
50,1650604794-50,https://www.traveloka.com/id-id/hotel/singapore/resorts-world-sentosa---hotel-michael-1000000504700?spec=23-04-2022.24-04-2022.1.1.HOTEL.1000000504700.Resorts%20World%20Sentosa%20-%20Hotel%20Michael.2,,Elcon T.,6-Nov-21,A very bad experience in hotel micheal. Waited a few hours despite being informed room will be ready at 4-5pm. So purposely go back hotel to get the room when reched hotel was told room is still not yet ready. Have to wait for another 1-2hr. Was like what the fuck! Very very bad customer service. Still prefer equarius hotel.
52,1650604794-52,https://www.traveloka.com/id-id/hotel/singapore/resorts-world-sentosa---hotel-michael-1000000504700?spec=23-04-2022.24-04-2022.1.1.HOTEL.1000000504700.Resorts%20World%20Sentosa%20-%20Hotel%20Michael.2,,Susanti S.,3-Nov-21,Arrived at 1pm. Got the room at almost 5pm.
53,1650604794-53,https://www.traveloka.com/id-id/hotel/singapore/resorts-world-sentosa---hotel-michael-1000000504700?spec=23-04-2022.24-04-2022.1.1.HOTEL.1000000504700.Resorts%20World%20Sentosa%20-%20Hotel%20Michael.2,,Limkayhoe,2-Nov-21,"Stay was good, except that bathroom floor is slippery when wet. Overall facilities are good."
54,1650604794-54,https://www.traveloka.com/id-id/hotel/singapore/resorts-world-sentosa---hotel-michael-1000000504700?spec=23-04-2022.24-04-2022.1.1.HOTEL.1000000504700.Resorts%20World%20Sentosa%20-%20Hotel%20Michael.2,,Hafiz j.,25-Oct-21,"I don't have my photo ID with me. I was unable to use the self check in kiosk. I was advice to take queue number. 20mins wait & I kept seeing people walking in & out successful checking in. Under 5mins of waiting. Only then I realize there ' s a physical queue to check in & only 1 counter serving the queue number counter. They could have told me the options of physical queue or queue number system. Then comes the verification part to enter the lift lobby, due to covid they only allow hotel guest to enter. One of the staff manning the counter seams to hate his job, asking for my room number and my name and ask me""samore?""I was like huh? & he keep repeating""samore?""Only then my wife relise hes asking for all the guest names that is registered to the room. I just brush it off as my kids are the reason I'm on staycation."
55,1650604794-55,https://www.traveloka.com/id-id/hotel/singapore/resorts-world-sentosa---hotel-michael-1000000504700?spec=23-04-2022.24-04-2022.1.1.HOTEL.1000000504700.Resorts%20World%20Sentosa%20-%20Hotel%20Michael.2,,SIM T. T.,21-Oct-21,"Good for family staycation. Package came with 2 Adult tickets to Universal Studios and we were very lucky to be able to check in ard 1pm and headed over to Universal Studios. No time wasted. Started day 2 at the beach, followed by visit to Sea Aquarium and ended with walk at Fort Siloso. Managed to book swimming pool slot on day 3 before late check-out at 1pm. Overall a fun-filled staycation."
56,1650604794-56,https://www.traveloka.com/id-id/hotel/singapore/resorts-world-sentosa---hotel-michael-1000000504700?spec=23-04-2022.24-04-2022.1.1.HOTEL.1000000504700.Resorts%20World%20Sentosa%20-%20Hotel%20Michael.2,,NURHAYANI B. A.,17-Oct-21,Had to wait for an hour and 30 mins just to check in. Feels like we were waiting for our medicine at the clinic. Just bad.
58,1650604794-58,https://www.traveloka.com/id-id/hotel/singapore/resorts-world-sentosa---hotel-michael-1000000504700?spec=23-04-2022.24-04-2022.1.1.HOTEL.1000000504700.Resorts%20World%20Sentosa%20-%20Hotel%20Michael.2,,Norlaila B. M. N.,16-Oct-21,"The rooms are big, nice hotel and friendly staff but it is not Muslim friendly and the restaurant does not cater to halal food. Anyways it's a pleasant staycay for 1 night."
59,1650604794-59,https://www.traveloka.com/id-id/hotel/singapore/resorts-world-sentosa---hotel-michael-1000000504700?spec=23-04-2022.24-04-2022.1.1.HOTEL.1000000504700.Resorts%20World%20Sentosa%20-%20Hotel%20Michael.2,,Patty C.,11-Oct-21,The staff at Hotel MichAel was great. Good customer service. It 's just that we stayed in a room that has a interconnecting room and those people staying next door are just too noisy ….
60,1650604794-60,https://www.traveloka.com/id-id/hotel/singapore/resorts-world-sentosa---hotel-michael-1000000504700?spec=23-04-2022.24-04-2022.1.1.HOTEL.1000000504700.Resorts%20World%20Sentosa%20-%20Hotel%20Michael.2,,Saw K. L.,10-Oct-21,"Nice and clean, staffs are friendly."
61,1650604794-61,https://www.traveloka.com/id-id/hotel/singapore/resorts-world-sentosa---hotel-michael-1000000504700?spec=23-04-2022.24-04-2022.1.1.HOTEL.1000000504700.Resorts%20World%20Sentosa%20-%20Hotel%20Michael.2,,Rasheedah B. M.,10-Oct-21,Great service from the staff. The duty manager was very accommodating. What an excellent hotel.
62,1650604794-62,https://www.traveloka.com/id-id/hotel/singapore/resorts-world-sentosa---hotel-michael-1000000504700?spec=23-04-2022.24-04-2022.1.1.HOTEL.1000000504700.Resorts%20World%20Sentosa%20-%20Hotel%20Michael.2,,Lim H. K. C.,8-Oct-21,Everything is good except that the check in time was at 5pm.
63,1650604794-63,https://www.traveloka.com/id-id/hotel/singapore/resorts-world-sentosa---hotel-michael-1000000504700?spec=23-04-2022.24-04-2022.1.1.HOTEL.1000000504700.Resorts%20World%20Sentosa%20-%20Hotel%20Michael.2,,Alfred T.,8-Oct-21,Everything is fine except checking in have a lot of hiccup and uncertainty.
64,1650604794-64,https://www.traveloka.com/id-id/hotel/singapore/resorts-world-sentosa---hotel-michael-1000000504700?spec=23-04-2022.24-04-2022.1.1.HOTEL.1000000504700.Resorts%20World%20Sentosa%20-%20Hotel%20Michael.2,,koh s. k.,7-Oct-21,"Hotel Michael is centrally located between the mainland and Sentosa. Very convenient to travel around. The guestroom is clean, hygienic, sanitized and spacious. The swimming pool has a right size for a good swim and is clean. Most the gym equipment are out of order which is a pity."
