date,review,attraction,replaced_slang,
2/1/2018,"sudah dua kali saya mengunjungi Madame Tussauds Singapore. Kali terakhir bersama orang tua, mereka sangat menikmati berfoto bersama toko-tokoh terkenal. Saya senang jika mereka senang. Batre HP kami sampai habis hanya untuk berfoto disini, haha.
Tapi sayang sekali banyak perubahan dari terkahir kali saya kesana. misalnya patung keluarga kerajaan Inggris hanya ada sang ratu, patung tokoh idola saya Sharuk khan mereka membingkainya dalam box kaca :(, tapi poin tambahannya ada patung presiden Indonesia ""Joko Widodo"", terima kasih Madame Tussauds Singapore. Semoga kedepannya bisa lebih menarik lagi.",Madame Tussauds,"sudah dua kali saya mengunjungi madame tussauds singapore . kali terakhir bersama orang tua , mereka sangat menikmati berfoto bersama toko-tokoh terkenal . saya senang jika mereka senang . batre hp kami sampai habis hanya untuk berfoto disini , tertawa . tapi sayang sekali banyak perubahan dari terkahir kali saya kesana . misalnya patung keluarga kerajaan inggris hanya ada sang ratu , patung tokoh idola saya sharuk kan mereka membingkainya dalam box kaca : ( , tapi poin tambahannya ada patung presiden indonesia `` joko widodo '' , terima kasih madame tussauds singapore . semoga kedepannya bisa lebih menarik lagi .",
4/1/2018,"Beberapa kali ke sentosa namun baru sekarang terpikir untuk kesini. Tiket beli online di kl**k dengan harga jauh lebih murah. E-tiket tinggal ditunjukkan di pintu masuk dan ditukar tiket fisik. Harga bundling dengan image of singapore, boat ride dan marvell 4D. Sayangnya kami tdk sempat melihat pertunjukan image of spore karena hujan sangat deras saat keluar dari museum. Koleksi patung cukup menarik dan beberapa memang mirip aslinya, termasuk pak jokowi. Seru sekali, apalagi mencoba wahana 4D marvell.",Madame Tussauds,"beberapa kali ke sentosa namun baru sekarang terpikir untuk kesini . tiket beli online di kalau * * ke dengan harga jauh lebih murah . e-tiket tinggal ditunjukkan di pintu masuk dan ditukar tiket fisik . harga bundling dengan image of singapore , boat ride dan marvell 4d . sayangnya kami tidak sempat melihat pertunjukan image of singapura karena hujan sangat deras saat keluar dari museum . koleksi patung cukup menarik dan beberapa memang mirip aslinya , termasuk pak jokowi . seru sekali , apalagi mencoba wahana 4d marvell .",
2/1/2018,"Disini sebelum masuk ke madame tussauds, kita wajib ikut tour ttg sejarah singapore. Show nya sekitar 30 menit, cukup membosankan. Dan di madame tussauds nya ga banyak juga boneka lilin nya, ga sampe 50 biji",Madame Tussauds,"disini sebelum masuk ke madame tussauds , kita wajib ikut tour tentang sejarah singapore . show nya sekitar 30 menit , cukup membosankan . dan di madame tussauds nya ga banyak juga boneka lilin nya , ga sampai 50 biji",
11/1/2019,"Saya datang di pantai pahlawan sekitar jam 9 pagi, suasananya memang agak sepi karena masih pagi, tetapi saat itu lautnya masih tenang tidak begitu berombak, cocok untuk mandi matahari dan berenang-renang di pinggir pantai.",Palawan Beach,"saya datang di pantai pahlawan sekitar jam 9 pagi , suasananya memang agak sepi karena masih pagi , tetapi saat itu lautnya masih tenang tidak begitu berombak , cocok untuk mandi matahari dan berenang-renang di pinggir pantai .",
4/1/2018,"Alternatif pantai lain di Sentosa Island. Naik trem untuk ke palawan beach. Ada jembatan gantung yang bagus, dan 2 menara naik keatasnya untuk melihat keindahan semuanya dari atas. Dan tempat pengambilan foto yang bagus. Semuanya gratis..",Palawan Beach,"alternatif pantai lain di sentosa island . naik trem untuk ke palawan beach . ada jembatan gantung yang bagus , dan 2 menara naik keatasnya untuk melihat keindahan semuanya dari atas . dan tempat pengambilan foto yang bagus . semuanya gratis ..",
1/1/2019,"Tempatnya tidak terlalu besar. Cuaca sangay panas, alangkah bagusnya bila di berikan payung pantai untuk pegunjung.",Palawan Beach,"tempatnya tidak terlalu besar . cuaca sangay panas , alangkah bagusnya bila di berikan payung pantai untuk pegunjung .",
10/1/2018,Pantai ini cukup tenang dan airnya tidak terlalu berombak. Pantai yang bersih. Tapi sebaiknya jangan datang saat matahari terik. Datang sekitar jam 5 sore supaya tidak terlalu terik. Ada arena bermain anak-anak seperti playground untuk anak balita. Ada juga jembatan penyeberangan ke pulau kecil,Palawan Beach,pantai ini cukup tenang dan airnya tidak terlalu berombak . pantai yang bersih . tapi sebaiknya jangan datang saat matahari terik . datang sekitar jam 5 sore supaya tidak terlalu terik . ada arena bermain anak-anak seperti playground untuk anak balita . ada juga jembatan penyeberangan ke pulau kecil,
8/1/2018,"Pantai nya lumayanlah...meski nggak terlalu bagus...banyak bule juga.
Masuknya gratis...banyak bule pakai bikini...kalau bawa orang tia dan anak2 agak risih juga sebenarnya
Pantainya dan lokasinya bersih",Palawan Beach,pantai nya lumayanlah ... meski tidak terlalu bagus ... banyak bule juga . masuknya gratis ... banyak bule pakai bikini ... kalau bawa orang tia dan anak2 agak risih juga sebenarnya pantainya dan lokasinya bersih,
2/1/2018,Aku sangat antusias waktu jalan ke pantai ini karena aku anaknya emang suka pantai. Ternyata begitu sampai sana kesannya biasa aja. Klo liat ke arah laut byk kapal2 yg berjejer. Bersih sih tp kurang menarik menurut aku. Klo buat ngajak keluarga n anak sih mgkn boleh jg karena sepi. Mungkin karena aku kesana pas low sesion.,Palawan Beach,aku sangat antusias waktu jalan ke pantai ini karena aku anaknya emang suka pantai . ternyata begitu sampai sana kesannya biasa saja . kalau lihat ke arah laut banyak kapal2 yang berjejer . bersih sih tapi kurang menarik menurut aku . kalau buat ngajak keluarga dan anak sih mungkin boleh juga karena sepi . mungkin karena aku kesana pas kalau sesion .,
1/1/2020,"Sea aqurium ada di pulau sentosa, letaknya dekat universal studio, namun jauh juga jalan nya y

Awalnya masuk dan lihat sepertinya tidak ada yang istimewa seperti seaworld gitu namun masuk kedalam ketemu aquarium yang besarrr banget takjub deh banyak yang duduk2 disana modelnya kayak theatre
Seperti akuarium pada umumnya ada show lumba2 juga dan ikan hiu besar2

Oh y tiket dewasa kalo beli go show 41 dolar, cukup mahal ya mending beli di agen deh saya dapat cuma 260 ribu per orang

Rekomen kalo ajak orang tua kemari karena di dalam dingin namun kuat jalan aja",S.E.A Aquarium,"sea aqurium ada di pulau sentosa , letaknya dekat universal studio , namun jauh juga jalan nya ya awalnya masuk dan lihat sepertinya tidak ada yang istimewa seperti seaworld gitu namun masuk kedalam ketemu aquarium yang besarrr banget takjub deh banyak yang duduk2 disana modelnya kayak theatre seperti akuarium pada umumnya ada show lumba2 juga dan ikan hiu besar2 oh ya tiket dewasa kalau beli go show 41 dolar , cukup mahal iya lebih baik beli di agen deh saya dapat cuma 260 ribu per orang rekomen kalau ajak orang tua kemari karena di dalam dingin namun kuat jalan saja",
11/1/2019,"Sea aquarium merupakan tempat menyenangkan untuk rekreasi keluarga. Terletak di pulau sentosa dekat dengan universal studio , disini ada kolam khusus hiu , khusus ubur2 , lumba2 dan kolam utama yang berisi banyak sekali biota laut . Suasana yang dingin , sembari menikmati dunia bawah laut bikin kamu semakin betah untuk berlama - lama disini. Anak2 juga pasti akan senang sekali untuk menjelajahi dunia bawah laut.",S.E.A Aquarium,"sea aquarium merupakan tempat menyenangkan untuk rekreasi keluarga . terletak di pulau sentosa dekat dengan universal studio , disini ada kolam khusus hiu , khusus ubur2 , lumba2 dan kolam utama yang berisi banyak sekali biota laut . suasana yang dingin , sembari menikmati dunia bawah laut bikin kamu semakin betah untuk berlama - lama disini . anak2 juga pasti akan senang sekali untuk menjelajahi dunia bawah laut .",
10/1/2019,"Keren. Banget. Disini kita bisa liat macem-macem biota laut dari mulai ikan, koral, belut, ubur-ubur dan masih banyak lagi. Keren lah pokoknya.",S.E.A Aquarium,"keren . banget . disini kita bisa lihat macam-macam biota laut dari mulai ikan , koral , belut , ubur-ubur dan masih banyak lagi . keren lah pokoknya .",
6/1/2019,"Sangat senang bermain di aquarium singapore.........…………………
Anak2 sangat puas dengan berbagai macam satwa air",S.E.A Aquarium,sangat senang bermain di aquarium singapore ......... ………………… anak2 sangat puas dengan berbagai macam satwa air,
3/1/2019,"Terdapat dalam kawasan Sentosa, S.E.A Aquarium adalah salah satu yang terbaik dari yang saya kunjungi. Terdapat berbagai macam konsep aquarium dari berbagai macam lokasi lautan dan yang paling menarik adalah konsep aquarium open ocean yang benar-benar membuat takjub. Dipastikan akan kembali lagi jika berkunjung ke Singapura",S.E.A Aquarium,"terdapat dalam kawasan sentosa , s.e.a aquarium adalah salah satu yang terbaik dari yang saya kunjungi . terdapat berbagai macam konsep aquarium dari berbagai macam lokasi lautan dan yang paling menarik adalah konsep aquarium open ocean yang benar-benar membuat takjub . dipastikan akan kembali lagi jika berkunjung ke singapura",
3/1/2019,"Terletak di area harbour front sentosa island, kalau pakai monorail dari vivo city adanya di station pertama pas sampai sentosa. Bisa masuk museum maritime experiential dulu di awal sebelum masuk..pada saat awal masuk langsung bertemu hiu, dan selanjutnya adalah koleksi ikan2 karang di seluruh dunia dan ada juga aquarium open ocean yang jadi daya tarik utama karena selain display yang sangat lebar, juga ada interaksi dari diver dengan pari manta dan ikan lainnya",S.E.A Aquarium,"terletak di area harbour front sentosa island , kalau pakai monorail dari vivo city adanya di station pertama pas sampai sentosa . bisa masuk museum maritime experiential dulu di awal sebelum masuk .. pada saat awal masuk langsung bertemu hiu , dan selanjutnya adalah koleksi ikan2 karang di seluruh dunia dan ada juga aquarium open ocean yang jadi daya tarik utama karena selain display yang sangat lebar , juga ada interaksi dari diver dengan pari manta dan ikan lainnya",
12/1/2018,"Aquarium terbesar di Asia Tenggara ini sangat menarik dikunjungi bersama keluarga, berbagai jenis biota laut dapat ditemui dan ada beberapa koleksi menarik dan unik. Best time to visit saat feeding time.Tempatnya bersih dan nyaman.",S.E.A Aquarium,"aquarium terbesar di asia tenggara ini sangat menarik dikunjungi bersama keluarga , berbagai jenis biota laut dapat ditemui dan ada beberapa koleksi menarik dan unik . best time to visit saat feeding time.tempatnya bersih dan nyaman .",
1/1/2019,Kalau berlibur bareng anak anak wajib mengunjunhi S.E.A Aquarium. Disini banyak boita laut yang sangat lucu lucu. Tiketnya bisa dibeli di Indonesia. Dan harganya lebih murah daripada beli OTS.,S.E.A Aquarium,kalau berlibur bareng anak anak wajib mengunjunhi s.e.a aquarium . disini banyak boita laut yang sangat lucu lucu . tiketnya bisa dibeli di indonesia . dan harganya lebih murah daripada beli ots .,
12/1/2018,"Waoowww... bagus.. terhibur banget.. bawa anak2 pasti seru ini..
bagus.. banyak kata2 pembelajaran terkait apa yg ada di bawah laut dan hal yg harus dilakukan untuk menjaga biota laut agar terus berkembang dan sehat. anak2 tidak hnya belajar apa yg ada d bawah laut, tp belajar jg bagaimana merawatnya. keren",S.E.A Aquarium,"waoowww ... bagus .. terhibur banget .. bawa anak2 pasti seru ini .. bagus .. banyak kata2 pembelajaran terkait apa yang ada di bawah laut dan hal yang harus dilakukan untuk menjaga biota laut agar terus berkembang dan sehat . anak2 tidak hanya belajar apa yang ada di bawah laut , tapi belajar juga bagaimana merawatnya . keren",
11/1/2018,"Sea Aquarium bagus banget. Kebersihan dijaga. Kaca aquariumnya jg terlihat bersih. Tempatnya jg nyaman n in door. Sehinggu kalau pas hujan, tidak masalah. Macam hewannya jg aneka ragam. Semua aquarium terisi. Tidak ada yg kosong. Ubur2nya kereeennn",S.E.A Aquarium,"sea aquarium bagus banget . kebersihan dijaga . kaca aquariumnya juga terlihat bersih . tempatnya juga nyaman dan in door . sehinggu kalau pas hujan , tidak masalah . macam hewannya juga aneka ragam . semua aquarium terisi . tidak ada yang kosong . ubur2nya kereeennn",
3/1/2018,"Ini pertama kalinya saya pergi ke aquarium. S.E.A Aquarium benar2 menakjubkan. Kita bisa melihat lebih dari 800 jenis biota laut. Bagi yang membawa anak2, tempat ini juga sangat ramah untuk anak2, mereka pasti sangat menikmatinya. Apalagi pada jam2 tertentu, kita bisa melihat proses memberi makan untuk ikan.",S.E.A Aquarium,"ini pertama kalinya saya pergi ke aquarium . s.e.a aquarium benar2 menakjubkan . kita bisa melihat lebih dari 800 jenis biota laut . bagi yang membawa anak2 , tempat ini juga sangat ramah untuk anak2 , mereka pasti sangat menikmatinya . apalagi pada jam2 tertentu , kita bisa melihat proses memberi makan untuk ikan .",
2/1/2018,"Pengalaman pertama datang kesini adalag ""wow ternyata aquariumnya gede banget plus kacanya sebening kristal"" norak ya hahaha tapi emang sih ini aquarium bagus banget kalah jauh dah ancol hahhaa, udah gitu lighting juga bagus banget. Pokoknya SEA aquarium ini keren banget, disana terdapat 100 hewan yang lucu-lucu dan aneh-aneh, ada ikan nemo, naga laut, manta ray, jelly fish sampai kepiting moster alaska, kita serasa berada di bawah laut, dan lumayan banget buat photo-photo, sea juga recomended buat yang bawa anak-anak, karena pas disana banyak banget anak-anak dan mereka seneng liat ikan yang sliwar sliwer alias mondar-mandir, liat ikan makan, bahkan bisa liat ikan pup hahaha",S.E.A Aquarium,"pengalaman pertama datang kesini adalag `` wow ternyata aquariumnya gede banget plus kacanya sebening kristal '' norak iya hahaha tapi emang sih ini aquarium bagus banget kalah jauh deh ancol hahhaa , sudah gitu lighting juga bagus banget . pokoknya sea aquarium ini keren banget , disana terdapat 100 hewan yang lucu-lucu dan aneh-aneh , ada ikan nemo , naga laut , manta ray , jelly fish sampai kepiting moster alaska , kita serasa berada di bawah laut , dan lumayan banget buat photo-photo , sea juga recomended buat yang bawa anak-anak , karena pas disana banyak banget anak-anak dan mereka seneng lihat ikan yang sliwar sliwer alias mondar-mandir , lihat ikan makan , bahkan bisa lihat ikan pup hahaha",
2/1/2018,"Dibanding dgn sea world ancol, ini besarnya 2x lipat. Jumlah ikan dan varian nya jg lbih banyak. Klo udah pernah ke sea world ancol sih kesini ga keren2 amat. Cuma lebih lgede dan lebih banyak aja ikan nya",S.E.A Aquarium,"dibanding dengan sea world ancol , ini besarnya 2x lipat . jumlah ikan dan varian nya juga lbih banyak . kalau sudah pernah ke sea world ancol sih kesini ga keren2 amat . cuma lebih lgede dan lebih banyak saja ikan nya",
1/1/2018,"Karena tema nya masih jalan jalan dengan anak, saya mengujungi tempat ini, anak anak di bawah 4tahun free alias gratis. Letaknya berada di samping USS. Dari MRT Harbour Front naik ke Lt 3 Vivo City lanjut naik monorail dengan membayar 4sgd per orang dan turun di Waterfront Monorail Station.",S.E.A Aquarium,"karena tema nya masih jalan jalan dengan anak , saya mengujungi tempat ini , anak anak di bawah 4tahun free alias gratis . letaknya berada di samping uss . dari mrt harbour front naik ke lt 3 vivo city lanjut naik monorail dengan membayar 4sgd per orang dan turun di waterfront monorail station .",
6/1/2018,"Jalan kaki lewat sentosa boardwalk ke sentosa island sangat menghemat pengeluaran wisata, jangan kawatir capek karna sepanjang perjalanan banyak eskalator yang disediakan dan selama perjalanan akan disuguhi pemandangan laut yg indah. Waktu saya berkunjung loket tiket masuk sentosa island ditutup jadi langsung bisa masuk gratis tanpa membayar sepeserpun.",Sentosa Boardwalk,"jalan kaki lewat sentosa boardwalk ke sentosa island sangat menghemat pengeluaran wisata , jangan kawatir capek karena sepanjang perjalanan banyak eskalator yang disediakan dan selama perjalanan akan disuguhi pemandangan laut yang indah . waktu saya berkunjung loket tiket masuk sentosa island ditutup jadi langsung bisa masuk gratis tanpa membayar sepeserpun .",
9/1/2018,Ini adalah cara termurah untuk pergi ke pulau sentosa. Disediakan travelator dan pemandangan yang indah.,Sentosa Boardwalk,ini adalah cara termurah untuk pergi ke pulau sentosa . disediakan travelator dan pemandangan yang indah .,
3/1/2019,"Alternatif untuk ke Resort Word Sentosa. Saya sangat menikmati jalan kaki ini? Ktn bisa melihat pemandangan sekeliling. Hanya sejauh +- 500m. Tidak kepanasan dan ketika lelah ada Travelator, jadi tidak akan terasa, sudah sampai di Sentosa Island...",Sentosa Boardwalk,"alternatif untuk ke resort word sentosa . saya sangat menikmati jalan kaki ini ? ktn bisa melihat pemandangan sekeliling . hanya sejauh +- 500m . tidak kepanasan dan ketika lelah ada travelator , jadi tidak akan terasa , sudah sampai di sentosa island ...",
8/1/2018,Dengan adanya travelator sangat memudahkan wisatawan untuk menjangkau sentosa island dengan jalan kaki. Pemandangan disekitar boardwalk juga sangat indah,Sentosa Boardwalk,dengan adanya travelator sangat memudahkan wisatawan untuk menjangkau sentosa island dengan jalan kaki . pemandangan disekitar boardwalk juga sangat indah,
6/1/2018,"Bersih tempatnya. Jika ke Universal Studio sampai malam, jangan langsung pulang. Karena akan ada pertunjukan crane dancing dan free. Pertunjukan dimulai pukul 7malam.",Sentosa Boardwalk,"bersih tempatnya . jika ke universal studio sampai malam , jangan langsung pulang . karena akan ada pertunjukan crane dancing dan free . pertunjukan dimulai pukul 7malam .",
4/1/2018,Ketika mendapat kesempatan (waktu luang) saya mencoba menuju sentosa dengan berjalan kaki. Biasanya kami naik sejenis LRT dari vivo city. Lumayan jauh juga tapi tak ada salahnya dicoba.... kondisi jalannya aman dan nyaman...,Sentosa Boardwalk,ketika mendapat kesempatan ( waktu luang ) saya mencoba menuju sentosa dengan berjalan kaki . biasanya kami naik sejenis lrt dari vivo city . lumayan jauh juga tapi tidak ada salahnya dicoba .... kondisi jalannya aman dan nyaman ...,
3/1/2018,"Masuk di sentosa broadwalk gratis, jalan kaki lebih menyenangkan sambil berfoto dan tidak melelahkan karena terdapat elevator dan untuk kembali ke vivo city anda bisa gratis naik monorail",Sentosa Boardwalk,"masuk di sentosa broadwalk gratis , jalan kaki lebih menyenangkan sambil berfoto dan tidak melelahkan karena terdapat elevator dan untuk kembali ke vivo city anda bisa gratis naik monorail",
2/1/2018,"Jembatan yang menghubungkan pulau utama singapura dengan pulau sentosa.
Jembatan yang asri dengan pemandangan yang luar biasa.",Sentosa Boardwalk,jembatan yang menghubungkan pulau utama singapura dengan pulau sentosa . jembatan yang asri dengan pemandangan yang luar biasa .,
2/1/2019,"Pantai Siloso Beach merupakan salah satu tempat wisata alam yang wajib untuk dikunjungi saat liburan ke Singapore. Selain gratis, fasilitas umum di pantai ini cukup lengkap. Mulai dari toilet yang sangat nyaman dan juga bersih. Meja-meja atau tempat bersantai gratis yang tersedia di pinggiran pantai, serta pemandangan yang indah pastinya. Pasir pantai pun bersih, bebas dari sampah. Sangat memanjakan dan membuat jatuh cinta hingga ingin kembali lagi ke sana.",Siloso Beach,"pantai siloso beach merupakan salah satu tempat wisata alam yang wajib untuk dikunjungi saat liburan ke singapore . selain gratis , fasilitas umum di pantai ini cukup lengkap . mulai dari toilet yang sangat nyaman dan juga bersih . meja-meja atau tempat bersantai gratis yang tersedia di pinggiran pantai , serta pemandangan yang indah pastinya . pasir pantai pun bersih , bebas dari sampah . sangat memanjakan dan membuat jatuh cinta hingga ingin kembali lagi ke sana .",
