date,review,english_review
2018-02-01,"sudah dua kali saya mengunjungi Madame Tussauds Singapore. Kali terakhir bersama orang tua, mereka sangat menikmati berfoto bersama toko-tokoh terkenal. Saya senang jika mereka senang. Batre HP kami sampai habis hanya untuk berfoto disini, haha. Tapi sayang sekali banyak perubahan dari terkahir kali saya kesana. misalnya patung keluarga kerajaan Inggris hanya ada sang ratu, patung tokoh idola saya Sharuk khan mereka membingkainya dalam box kaca :(, tapi poin tambahannya ada patung presiden Indonesia ""Joko Widodo"", terima kasih Madame Tussauds Singapore. Semoga kedepannya bisa lebih menarik lagi.","I have visited Madame Tussauds Singapore twice. The last time with parents, they really enjoyed taking pictures with famous shops. I am happy if they are happy. Our cellphone battery is finished just to take pictures here, haha. But unfortunately many changes from the last time I went there. For example, the statue of the British Royal Family is only the queen, the statue of my idol figure Sharuk Khan they scrape it in a glass box :(, but the additional point is there is a statue of the Indonesian President ""Joko Widodo"", thank you Madame Tussauds Singapore. Hopefully in the future it can be even more interesting."
2018-04-01,"Beberapa kali ke sentosa namun baru sekarang terpikir untuk kesini. Tiket beli online di kl**k dengan harga jauh lebih murah. E-tiket tinggal ditunjukkan di pintu masuk dan ditukar tiket fisik. Harga bundling dengan image of singapore, boat ride dan marvell 4D. Sayangnya kami tdk sempat melihat pertunjukan image of spore karena hujan sangat deras saat keluar dari museum. Koleksi patung cukup menarik dan beberapa memang mirip aslinya, termasuk pak jokowi. Seru sekali, apalagi mencoba wahana 4D marvell.","Several times to Sentosa but only now think of here. Tickets buy online at KL ** K at a much cheaper price. The e-ticket is just shown at the entrance and exchanged physical tickets. Bundling prices with Image of Singapore, Boat Ride and Marvell 4D. Unfortunately we did not have time to see the image of spore because the rain was very heavy when it came out of the museum. The statue collection is quite interesting and some are indeed similar to the original, including Mr. Jokowi. Very exciting, let alone try Marvell's 4D rides."
2018-02-01,"Disini sebelum masuk ke madame tussauds, kita wajib ikut tour ttg sejarah singapore. Show nya sekitar 30 menit, cukup membosankan. Dan di madame tussauds nya ga banyak juga boneka lilin nya, ga sampe 50 biji","Here before entering Madame Tussauds, we must take a tour about the history of Singapore. The show is about 30 minutes, quite boring. And in Madame Tussauds there aren't many candle dolls, not up to 50 seeds"
2019-11-01,"Saya datang di pantai pahlawan sekitar jam 9 pagi, suasananya memang agak sepi karena masih pagi, tetapi saat itu lautnya masih tenang tidak begitu berombak, cocok untuk mandi matahari dan berenang-renang di pinggir pantai.","I came to the beach of Pahlawan around 9 am, the atmosphere was rather quiet because it was still morning, but at that time the sea was still calm not so choppy, suitable for bathing in the sun and swimming on the beach."
2018-04-01,"Alternatif pantai lain di Sentosa Island. Naik trem untuk ke palawan beach. Ada jembatan gantung yang bagus, dan 2 menara naik keatasnya untuk melihat keindahan semuanya dari atas. Dan tempat pengambilan foto yang bagus. Semuanya gratis..","Another alternative beach at Sentosa Island. Take a tram to Palawan Beach. There is a good suspension bridge, and 2 towers go up to him to see the beauty of everything from above. And a good place to take photos. Everything is free .."
2019-01-01,"Tempatnya tidak terlalu besar. Cuaca sangay panas, alangkah bagusnya bila di berikan payung pantai untuk pegunjung.","The place is not too big. Sangay's weather is hot, it would be nice if given a beach umbrella for visitors."
2018-10-01,Pantai ini cukup tenang dan airnya tidak terlalu berombak. Pantai yang bersih. Tapi sebaiknya jangan datang saat matahari terik. Datang sekitar jam 5 sore supaya tidak terlalu terik. Ada arena bermain anak-anak seperti playground untuk anak balita. Ada juga jembatan penyeberangan ke pulau kecil,This beach is quite calm and the water is not too choppy. Clean beach. But you should not come during the hot sun. Come around 5 pm so as not too hot. There is a children's playground like a playground for children under five. There is also a crossing bridge to a small island
2018-08-01,Pantai nya lumayanlah...meski nggak terlalu bagus...banyak bule juga. Masuknya gratis...banyak bule pakai bikini...kalau bawa orang tia dan anak2 agak risih juga sebenarnya Pantainya dan lokasinya bersih,The beach is pretty good ... even though it's not too good ... lots of Caucasians too. The entry is free ... lots of foreigners wearing bikini ... if you bring people and children are rather uncomfortable and the beaches are actually clean and the location is clean
2018-02-01,Aku sangat antusias waktu jalan ke pantai ini karena aku anaknya emang suka pantai. Ternyata begitu sampai sana kesannya biasa aja. Klo liat ke arah laut byk kapal2 yg berjejer. Bersih sih tp kurang menarik menurut aku. Klo buat ngajak keluarga n anak sih mgkn boleh jg karena sepi. Mungkin karena aku kesana pas low sesion.,"I was very enthusiastic when I walked to this beach because I was a child like the beach. It turned out that when he got there it was just ordinary. If you look at the sea by ships lined up. It's clean but it's not interesting in my opinion. If to invite the family and children, you may also because it is quiet. Maybe because I went there when the low session."
2020-01-01,"Sea aqurium ada di pulau sentosa, letaknya dekat universal studio, namun jauh juga jalan nya y  Awalnya masuk dan lihat sepertinya tidak ada yang istimewa seperti seaworld gitu namun masuk kedalam ketemu aquarium yang besarrr banget takjub deh banyak yang duduk2 disana modelnya kayak theatre Seperti akuarium pada umumnya ada show lumba2 juga dan ikan hiu besar2  Oh y tiket dewasa kalo beli go show 41 dolar, cukup mahal ya mending beli di agen deh saya dapat cuma 260 ribu per orang  Rekomen kalo ajak orang tua kemari karena di dalam dingin namun kuat jalan aja","Sea Aqurium is on Sentosa Island, it is located near Universal Studio, but far the road is originally in and see it seems that there is nothing special like Seaworld so but entered into a large aquarium meets a lot of amazed there are many who sit there models like theater like an aquarium on Generally there are dolphin shows too and large sharks oh y ad adult tickets if you buy a 41 dollar go show, it's quite expensive, it's better to buy it at an agent, I can only be 260 thousand per person, if you invite my parents to come here because in the cold but strong road"
2019-11-01,"Sea aquarium merupakan tempat menyenangkan untuk rekreasi keluarga. Terletak di pulau sentosa dekat dengan universal studio , disini ada kolam khusus hiu , khusus ubur2 , lumba2 dan kolam utama yang berisi banyak sekali biota laut . Suasana yang dingin , sembari menikmati dunia bawah laut bikin kamu semakin betah untuk berlama - lama disini. Anak2 juga pasti akan senang sekali untuk menjelajahi dunia bawah laut.","Sea Aquarium is a fun place for family recreation. Located on Sentosa Island close to Universal Studio, here there are special ponds of sharks, specifically jellyfish, dolphins and the main pool that contains a lot of marine biota. A cold atmosphere, while enjoying the underwater world makes you more comfortable to linger here. Children will also be very happy to explore the underwater world."
2019-10-01,"Keren. Banget. Disini kita bisa liat macem-macem biota laut dari mulai ikan, koral, belut, ubur-ubur dan masih banyak lagi. Keren lah pokoknya.","Cool. Very. Here we can see various kinds of marine biota ranging from fish, coral, eel, jellyfish and many more. Cool anyway."
2019-06-01,Sangat senang bermain di aquarium singapore.........………………… Anak2 sangat puas dengan berbagai macam satwa air,Very happy to play at Singapore Aquarium ......... ………………… Children are very satisfied with various kinds of animals
2019-03-01,"Terdapat dalam kawasan Sentosa, S.E.A Aquarium adalah salah satu yang terbaik dari yang saya kunjungi. Terdapat berbagai macam konsep aquarium dari berbagai macam lokasi lautan dan yang paling menarik adalah konsep aquarium open ocean yang benar-benar membuat takjub. Dipastikan akan kembali lagi jika berkunjung ke Singapura","There are in the Sentosa region, S.E.A Aquarium is one of the best of what I visit. There are various kinds of aquarium concepts from various ocean locations and the most interesting is the concept of an open ocean aquarium that really amazed. Certainly will return again if you visit Singapore"
2019-03-01,"Terletak di area harbour front sentosa island, kalau pakai monorail dari vivo city adanya di station pertama pas sampai sentosa. Bisa masuk museum maritime experiential dulu di awal sebelum masuk..pada saat awal masuk langsung bertemu hiu, dan selanjutnya adalah koleksi ikan2 karang di seluruh dunia dan ada juga aquarium open ocean yang jadi daya tarik utama karena selain display yang sangat lebar, juga ada interaksi dari diver dengan pari manta dan ikan lainnya","Located in the Harbor Front Sentosa Island area, if you use a monorail from Vivo City in the first station right to Sentosa. Can enter the Maritime Experiential Museum first at the beginning before entering ... at the beginning of entering directly to meet sharks, and then is a collection of coral fish throughout the world and there is also an open ocean aquarium which is the main attraction because in addition to a very wide display, there is also interaction from diver with manta rays and other fish"
2018-12-01,"Aquarium terbesar di Asia Tenggara ini sangat menarik dikunjungi bersama keluarga, berbagai jenis biota laut dapat ditemui dan ada beberapa koleksi menarik dan unik. Best time to visit saat feeding time.Tempatnya bersih dan nyaman.","The largest aquarium in Southeast Asia is very interesting to visit with family, various types of marine life can be found and there are some interesting and unique collections. Best time to visit when feeding time. The place is clean and comfortable."
2019-01-01,Kalau berlibur bareng anak anak wajib mengunjunhi S.E.A Aquarium. Disini banyak boita laut yang sangat lucu lucu. Tiketnya bisa dibeli di Indonesia. Dan harganya lebih murah daripada beli OTS.,"If you are on vacation with children, you must visit S.E.A Aquarium. Here there are a lot of sea boita that is very cute. The ticket can be purchased in Indonesia. And the price is cheaper than buying OTS."
2018-12-01,"Waoowww... bagus.. terhibur banget.. bawa anak2 pasti seru ini.. bagus.. banyak kata2 pembelajaran terkait apa yg ada di bawah laut dan hal yg harus dilakukan untuk menjaga biota laut agar terus berkembang dan sehat. anak2 tidak hnya belajar apa yg ada d bawah laut, tp belajar jg bagaimana merawatnya. keren","Waoowww ... good .. very entertained .. Bringing children must be fun ... good .. Many learning words related to what is under the sea and things that must be done to maintain marine life to continue to grow and be healthy. Children do not only learn what is in the sea, but also learns how to care for it. cool"
2018-11-01,"Sea Aquarium bagus banget. Kebersihan dijaga. Kaca aquariumnya jg terlihat bersih. Tempatnya jg nyaman n in door. Sehinggu kalau pas hujan, tidak masalah. Macam hewannya jg aneka ragam. Semua aquarium terisi. Tidak ada yg kosong. Ubur2nya kereeennn","Sea aquarium is really good. Cleanliness is maintained. The aquarium glass also looks clean. The place is also comfortable n in door. A week when it rains, no problem. Kinds of animals are also diverse. All aquariums are filled. Nothing is empty. The jellyfish are kereeennn"
2018-03-01,"Ini pertama kalinya saya pergi ke aquarium. S.E.A Aquarium benar2 menakjubkan. Kita bisa melihat lebih dari 800 jenis biota laut. Bagi yang membawa anak2, tempat ini juga sangat ramah untuk anak2, mereka pasti sangat menikmatinya. Apalagi pada jam2 tertentu, kita bisa melihat proses memberi makan untuk ikan.","This is my first time going to the aquarium. S.E.A Aquarium is truly amazing. We can see more than 800 types of marine life. For those who bring children, this place is also very friendly for children, they must really enjoy it. Especially at certain hours, we can see the process of feeding for fish."
2018-02-01,"Pengalaman pertama datang kesini adalag ""wow ternyata aquariumnya gede banget plus kacanya sebening kristal"" norak ya hahaha tapi emang sih ini aquarium bagus banget kalah jauh dah ancol hahhaa, udah gitu lighting juga bagus banget. Pokoknya SEA aquarium ini keren banget, disana terdapat 100 hewan yang lucu-lucu dan aneh-aneh, ada ikan nemo, naga laut, manta ray, jelly fish sampai kepiting moster alaska, kita serasa berada di bawah laut, dan lumayan banget buat photo-photo, sea juga recomended buat yang bawa anak-anak, karena pas disana banyak banget anak-anak dan mereka seneng liat ikan yang sliwar sliwer alias mondar-mandir, liat ikan makan, bahkan bisa liat ikan pup hahaha","The first experience came here there is ""wow it turns out that the aquarium is really big plus the glass as clear as crystal"" tacky hahaha but this is really a good aquarium that is far behind hahhaa, already so lighting is also really good. Anyway, this Sea Aquarium is really cool, there are 100 cute and strange animals, there are nemo fish, sea dragons, manta ray, jelly fish to crab moster alaska, we feel like it is under the sea, and pretty good for photo- Photo, Sea is also recommended for those who bring children, because when there are so many children and they are happy to see fish that are sliwar alias pacing, see fish eating, even can see pup hahaha fish"
2018-02-01,"Dibanding dgn sea world ancol, ini besarnya 2x lipat. Jumlah ikan dan varian nya jg lbih banyak. Klo udah pernah ke sea world ancol sih kesini ga keren2 amat. Cuma lebih lgede dan lebih banyak aja ikan nya","Compared to Sea World Ancol, this is 2x. The number of fish and variants is too much. If you've been to Sea World Ancol, it's not very cool here. Just more lgede and more fish"
2018-01-01,"Karena tema nya masih jalan jalan dengan anak, saya mengujungi tempat ini, anak anak di bawah 4tahun free alias gratis. Letaknya berada di samping USS. Dari MRT Harbour Front naik ke Lt 3 Vivo City lanjut naik monorail dengan membayar 4sgd per orang dan turun di Waterfront Monorail Station.","Because the theme is still traveling with children, I visited this place, children under 4 years free alias free. It is located next to the USS. From MRT Harbor Front rose to LT 3 Vivo City, it continued to take the monorail by paying 4sgd per person and getting off at the Waterfront Monorail Station."
2018-06-01,"Jalan kaki lewat sentosa boardwalk ke sentosa island sangat menghemat pengeluaran wisata, jangan kawatir capek karna sepanjang perjalanan banyak eskalator yang disediakan dan selama perjalanan akan disuguhi pemandangan laut yg indah. Waktu saya berkunjung loket tiket masuk sentosa island ditutup jadi langsung bisa masuk gratis tanpa membayar sepeserpun.","Walking through Sentosa Boardwalk to Sentosa Island greatly saves tourism expenses, don't worry tired because throughout the journey many escalators are provided and during the trip will be treated to beautiful sea views. When I visited the Sentosa Island entrance ticket window, it was closed so I could immediately enter it for free without paying a penny."
2018-09-01,Ini adalah cara termurah untuk pergi ke pulau sentosa. Disediakan travelator dan pemandangan yang indah.,This is the cheapest way to go to Sentosa Island. Travelator and beautiful views are provided.
2019-03-01,"Alternatif untuk ke Resort Word Sentosa. Saya sangat menikmati jalan kaki ini? Ktn bisa melihat pemandangan sekeliling. Hanya sejauh +- 500m. Tidak kepanasan dan ketika lelah ada Travelator, jadi tidak akan terasa, sudah sampai di Sentosa Island...","Alternative to Resort Word Sentosa. I really enjoy this foot? KTN can see the surrounding scenery. Only as far as +- 500m. Not hot and when tired there is a travelator, so it will not be felt, it has arrived at Sentosa Island ..."
2018-08-01,Dengan adanya travelator sangat memudahkan wisatawan untuk menjangkau sentosa island dengan jalan kaki. Pemandangan disekitar boardwalk juga sangat indah,"With a travelator, it is very easy for tourists to reach Sentosa Island on foot. The scenery around the boardwalk is also very beautiful"
2018-06-01,"Bersih tempatnya. Jika ke Universal Studio sampai malam, jangan langsung pulang. Karena akan ada pertunjukan crane dancing dan free. Pertunjukan dimulai pukul 7malam.","Clean the place. If you go to Universal Studio until night, don't go straight home. Because there will be a crane dancing and free performance. The show starts at 7 night."
2018-04-01,Ketika mendapat kesempatan (waktu luang) saya mencoba menuju sentosa dengan berjalan kaki. Biasanya kami naik sejenis LRT dari vivo city. Lumayan jauh juga tapi tak ada salahnya dicoba.... kondisi jalannya aman dan nyaman...,When I got a chance (free time) I tried to go to Sentosa on foot. Usually we go up a kind of LRT from Vivo City. Pretty much but there is no harm in trying .... the road conditions are safe and comfortable ...
2018-03-01,"Masuk di sentosa broadwalk gratis, jalan kaki lebih menyenangkan sambil berfoto dan tidak melelahkan karena terdapat elevator dan untuk kembali ke vivo city anda bisa gratis naik monorail","Enter Sentosa Broadwalk for free, walk more fun while taking pictures and not tiring because there is an elevator and to return to Vivo City you can freely ride monorail"
2018-02-01,Jembatan yang menghubungkan pulau utama singapura dengan pulau sentosa. Jembatan yang asri dengan pemandangan yang luar biasa.,The bridge that connects the main island of Singapore to Sentosa Island. Beautiful bridge with extraordinary views.
2019-02-01,"Pantai Siloso Beach merupakan salah satu tempat wisata alam yang wajib untuk dikunjungi saat liburan ke Singapore. Selain gratis, fasilitas umum di pantai ini cukup lengkap. Mulai dari toilet yang sangat nyaman dan juga bersih. Meja-meja atau tempat bersantai gratis yang tersedia di pinggiran pantai, serta pemandangan yang indah pastinya. Pasir pantai pun bersih, bebas dari sampah. Sangat memanjakan dan membuat jatuh cinta hingga ingin kembali lagi ke sana.","Siloso Beach Beach is one of the natural attractions that must be visited while on vacation to Singapore. Besides free, public facilities on this beach are quite complete. Starting from a very comfortable and clean toilet. Free tables or relaxing places are available on the beach, as well as beautiful views. The beach sand is clean, free from garbage. So spoil and make you fall in love so you want to go back there."
2018-04-01,"Pantai yang kecil, nyaman dan bersih. Tidak terlalu ramai. Jadi kita bisa bersantai dan tenang. Naik monorail turun di beach station & naik trem lagi, sampai di siloso point.","Small, comfortable and clean beach. Not too crowded. So we can relax and calm down. Take a monorail down at Beach Station & take another tram, to the Siloso Point."
2018-04-01,"Waktu itu bosan kalau ke sentosa mainnya ke universal terus. Akhirnya melipir ke pantainya. Salah satunya adalah pantai siloso. The water is nice and heading to a port. Jadi dari kejauhan kita bisa lihat banyak kapal"". Banyak yang membawa their cutie dog for a jog in thie beach so.. lucu"" gemas buat doggienya <3. Kalau dibandingkan dengan pantai Indonesia pasti jauh. Tapi jika ingin sekedar berisitirahat karena bosan pemandangan kota reccomended","At that time, I was bored when I went to Sentosa to play Universal. Finally slipped to the beach. One of them is Siloso Beach. The water is nice and heading to a port. So from a distance we can see a lot of ships "". Many brought their hang dog for a jog in thie beach so ... funny"" exasperated for the doggi <3. When compared to the coast of Indonesia, it must be far. But if you want to just take a break because you are bored with the view of the city of Recc recommended"
2018-05-01,"Pantai Siloso ini merupakan pantai buatan, secara terletak di pulau Sentosa, pulau buatan yang merupakan reklamasi laut. Jika ditanya, bagus ngga, hmmm... masih kalah jauh dibanding pantai pantainya Indonesia. Tetapi disini yang saya suka adalah pengaturan dan kebersihannya.","Siloso Beach is an artificial beach, located on Sentosa Island, an artificial island which is a sea reclamation. If asked, it's good or not, hmmm ... still far behind the beach beach Indonesia. But here I like is the arrangement and cleanliness."
2018-04-01,Pantai yang terletak di pulau sentosa ini cukup menarik untuk dikunjungi. Walaupun pantai buatan namun ditata sedemikian rupa hingga menyerupai pantai yang asli. Wajib dikunjungi untuk menambah koleksi pribadi di pantai dan sekedar meninggalkan jejak digital di media sosial.,"The beach, located on Sentosa Island, is quite interesting to visit. Although the artificial beach is arranged in such a way as to resemble the original beach. Must be visited to add private collections on the beach and just leave digital traces on social media."
2018-03-01,Namanya pantai ya pasti panas. Tapi Mau nyebur rasanya.....Ada taman dan jalan setapak. Ada pohon kelapa lumayan untuk berteduh.,"The name is the beach, it's definitely hot. But I want to splash ... there is a park and path. There is a decent coconut tree for shelter."
2018-03-01,"Pantai buatan ini lumayan lah buat hiburan bagi yang ingin cari suasana pantai di singapore. Pantai nya biasa saja sih gak ada yang istimewa, namanya juga buatan. Ya pelengkap lah buat yang jalan jalan le sentosa island palagi yang pakek monorail sayang gak dipakek tiket nya bisa bolak balik 3 tempat free.. Banyak orang bule juga berjemur sama anak anak main.. Kalau untuk pecinta pantai saya gak rekomendasi ke sini.. Tapi kalau cuma buat ngitemi badan berjemur, basah basahan oke lah.. Oh ya pasir nya ini dari indonesia loh, bagi orang barat yang belum tau.. Baca aja tuh sejarah pembuatan nih pantai..","This artificial beach is pretty good for entertainment for those who want to find the atmosphere of the beach in Singapore. The beach is normal, there's nothing special, the name is also artificial. Yes, the complement is for those who walk Le Sentosa Island Palagi who use monorail, unfortunately the ticket can not be used back and forth 3 places free .. Many Caucasians also sunbathe with children playing .. if for beach lovers I don't recommend here .. but If it's just for the body of the body sunbathing, wet wet, okay ... oh yeah, this sand is from Indonesia, for Western people who don't know yet ... just read the history of the making of the beach ..."
2019-07-01,"Kami ambil 2 rounds via Klook. Meski hanya 2 rounds, tetapi skyline luge ini menjadi salah satu highlight trip kami (keluarga dengan 1 remaja 11 tahun) di SG. View yang indah saat naik ke atas, dan jalur yang cukup fun saat turun. 2 rounds ini kami manfaatkan dengan jalur yang berbeda di round 1 dan 2. Sebaiknya ambil waktu agak sore agar tidak terlalu panas.","We take 2 rounds via Klook. Although only 2 rounds, but this Skyline Luge is one of our highlights trips (family with 1 11 -year -old teenager) in SG. Beautiful view when climbing to the top, and the path is quite fun when going down. We use 2 rounds with different paths on round 1 and 2. We recommend that you take a rather late time so it is not too hot."
2019-07-01,"Sebenarnya saya sama sekali tidak tertarik untuk mencoba wahana ini. Namun, karena teman saya kala itu mengajak, jadi mau menolak juga ga enak. Awalnya niat cuma mau one way saja, tapi akhirnya kami memesan yang 3 kali perjalanan. Menyenangkan! Bisa lihat Singapore dari ketinggian! Lugenya juga! Aku kira aku bakal mati kutu karena biasanya dimainin sama anak kecil, tahunya banyak orang dewasa yang ikut main. Harus nyoba! Asli!","Actually I am not at all interested in trying this vehicle. However, because my friend at that time invited, so I wanted to refuse it was also uncomfortable. Initially the intention was just one way, but finally we ordered 3 trips. Pleasant! Can see Singapore from a height! The lugen is too! I thought I would die of lice because I was usually played by a child, he knew that many adults were playing. Must try! Original!"
2018-11-01,"The best experience ever. emang kurang hanya sekali, sayangnya saya waktu itu sendiri. mungkin akan sangat lebih seri jika bersama sama","The Best Experience Ever. It was just lacking once, unfortunately I was at that time. maybe it will be very more series if together"
